"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Churn";17;"haar";1;0;9
"2";2;"Commit.LOC.Churn";17;"haar";1;-2,38012142547392;9
"3";3;"Commit.LOC.Churn";17;"haar";1;0;9
"4";4;"Commit.LOC.Churn";17;"haar";1;0;9
"5";5;"Commit.LOC.Churn";17;"haar";1;2,37092903731849;9
"6";6;"Commit.LOC.Churn";17;"haar";1;0;9
"7";7;"Commit.LOC.Churn";17;"haar";1;-2,50881485964987;9
"8";8;"Commit.LOC.Churn";17;"haar";1;0;9
"9";9;"Commit.LOC.Churn";17;"haar";1;-2,50315800540038;9
"10";10;"Commit.LOC.Churn";17;"haar";1;0;9
"11";11;"Commit.LOC.Churn";17;"haar";1;0;9
"12";12;"Commit.LOC.Churn";17;"haar";1;2,52790674274191;9
"13";13;"Commit.LOC.Churn";17;"haar";1;0;9
"14";14;"Commit.LOC.Churn";17;"haar";1;0;9
"15";15;"Commit.LOC.Churn";17;"haar";1;0;9
"16";16;"Commit.LOC.Churn";17;"haar";1;-5,02540789389279;9
"17";17;"Commit.LOC.Churn";17;"haar";1;0;9
"18";18;"Commit.LOC.Churn";17;"haar";1;-2,73508902962957;9
"19";19;"Commit.LOC.Churn";17;"haar";1;0;9
"20";20;"Commit.LOC.Churn";17;"haar";1;0;9
"21";21;"Commit.LOC.Churn";17;"haar";1;4,92075609027718;9
"22";22;"Commit.LOC.Churn";17;"haar";1;0;9
"23";23;"Commit.LOC.Churn";17;"haar";1;0;9
"24";24;"Commit.LOC.Churn";17;"haar";1;0;9
"25";25;"Commit.LOC.Churn";17;"haar";1;0;9
"26";26;"Commit.LOC.Churn";17;"haar";1;0;9
"27";27;"Commit.LOC.Churn";17;"haar";1;0;9
"28";28;"Commit.LOC.Churn";17;"haar";1;-9,36067956934751;9
"29";29;"Commit.LOC.Churn";17;"haar";1;0;9
"30";30;"Commit.LOC.Churn";17;"haar";1;0;9
"31";31;"Commit.LOC.Churn";17;"haar";1;4,79559819000716;9
"32";32;"Commit.LOC.Churn";17;"haar";1;0;9
"33";33;"Commit.LOC.Churn";17;"haar";1;0;9
"34";34;"Commit.LOC.Churn";17;"haar";1;0;9
"35";35;"Commit.LOC.Churn";17;"haar";1;-4,8408530240031;9
"36";36;"Commit.LOC.Churn";17;"haar";1;0;9
"37";37;"Commit.LOC.Churn";17;"haar";1;0;9
"38";38;"Commit.LOC.Churn";17;"haar";1;-4,83943881044073;9
"39";39;"Commit.LOC.Churn";17;"haar";1;0;9
"40";40;"Commit.LOC.Churn";17;"haar";1;0;9
"41";41;"Commit.LOC.Churn";17;"haar";1;4,83943881044073;9
"42";42;"Commit.LOC.Churn";17;"haar";1;0;9
"43";43;"Commit.LOC.Churn";17;"haar";1;0;9
"44";44;"Commit.LOC.Churn";17;"haar";1;0;9
"45";45;"Commit.LOC.Churn";17;"haar";1;0;9
"46";46;"Commit.LOC.Churn";17;"haar";1;6,77054742986119;9
"47";47;"Commit.LOC.Churn";17;"haar";1;0;9
"48";48;"Commit.LOC.Churn";17;"haar";1;-2,1078853147171;9
"49";49;"Commit.LOC.Churn";17;"haar";1;2,10859242149828;9
"50";50;"Commit.LOC.Churn";17;"haar";1;0;9
"51";51;"Commit.LOC.Churn";17;"haar";1;0;9
"52";52;"Commit.LOC.Churn";17;"haar";1;4,08637008847706;9
"53";53;"Commit.LOC.Churn";17;"haar";1;0;9
"54";54;"Commit.LOC.Churn";17;"haar";1;0;9
"55";55;"Commit.LOC.Churn";17;"haar";1;-4,08142034100875;9
"56";56;"Commit.LOC.Churn";17;"haar";1;0;9
"57";57;"Commit.LOC.Churn";17;"haar";1;0;9
"58";58;"Commit.LOC.Churn";17;"haar";1;-4,08707719525824;9
"59";59;"Commit.LOC.Churn";17;"haar";1;0;9
"60";60;"Commit.LOC.Churn";17;"haar";1;0;9
"61";61;"Commit.LOC.Churn";17;"haar";1;-4,22496301758962;9
"62";62;"Commit.LOC.Churn";17;"haar";1;0;9
"63";63;"Commit.LOC.Churn";17;"haar";1;0;9
"64";64;"Commit.LOC.Churn";17;"haar";1;-4,37274833485761;9
"65";65;"Commit.LOC.Churn";17;"haar";1;0;9
"66";66;"Commit.LOC.Churn";17;"haar";1;0;9
"67";67;"Commit.LOC.Churn";17;"haar";1;-4,31900821948743;9
"68";68;"Commit.LOC.Churn";17;"haar";1;0;9
"69";69;"Commit.LOC.Churn";17;"haar";1;0;9
"70";70;"Commit.LOC.Churn";17;"haar";1;4,26243967699251;9
"71";71;"Commit.LOC.Churn";17;"haar";1;0;9
"72";72;"Commit.LOC.Churn";17;"haar";1;-2,13475537240219;9
"73";73;"Commit.LOC.Churn";17;"haar";1;2,17718177927338;9
"74";74;"Commit.LOC.Churn";17;"haar";1;0;9
"75";75;"Commit.LOC.Churn";17;"haar";1;-2,17718177927338;9
"76";76;"Commit.LOC.Churn";17;"haar";1;2,22950768108118;9
"77";77;"Commit.LOC.Churn";17;"haar";1;0;9
"78";78;"Commit.LOC.Churn";17;"haar";1;0;9
"79";79;"Commit.LOC.Churn";17;"haar";1;4,51699811821967;9
"80";80;"Commit.LOC.Churn";17;"haar";1;0;9
"81";81;"Commit.LOC.Churn";17;"haar";1;0;9
"82";82;"Commit.LOC.Churn";17;"haar";1;0;9
"83";83;"Commit.LOC.Churn";17;"haar";1;-4,61882149471053;9
"84";84;"Commit.LOC.Churn";17;"haar";1;0;9
"85";85;"Commit.LOC.Churn";17;"haar";1;0;9
"86";86;"Commit.LOC.Churn";17;"haar";1;-4,75670731704191;9
"87";87;"Commit.LOC.Churn";17;"haar";1;0;9
"88";88;"Commit.LOC.Churn";17;"haar";1;0;9
