"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";15;"haar";1;0,707106781186547;7
"2";2;"Commits";15;"haar";1;2,82842712474619;7
"3";3;"Commits";15;"haar";1;0;7
"4";4;"Commits";15;"haar";1;-1,41421356237309;7
"5";5;"Commits";15;"haar";1;3,53553390593274;7
"6";6;"Commits";15;"haar";1;-0,707106781186547;7
"7";7;"Commits";15;"haar";1;-0,707106781186547;7
"8";8;"Commits";15;"haar";1;2,12132034355964;7
"9";9;"Commits";15;"haar";1;1,41421356237309;7
"10";10;"Commits";15;"haar";1;0,707106781186547;7
"11";11;"Commits";15;"haar";1;-2,82842712474619;7
"12";12;"Commits";15;"haar";1;0,707106781186547;7
"13";13;"Commits";15;"haar";1;0,707106781186547;7
"14";14;"Commits";15;"haar";1;1,41421356237309;7
"15";15;"Commits";15;"haar";1;0,707106781186547;7
"16";16;"Commits";15;"haar";1;2,12132034355964;7
"17";17;"Commits";15;"haar";1;0;7
"18";18;"Commits";15;"haar";1;-0,707106781186547;7
"19";19;"Commits";15;"haar";1;1,41421356237309;7
"20";20;"Commits";15;"haar";1;0;7
"21";21;"Commits";15;"haar";1;0;7
"22";22;"Commits";15;"haar";1;-0,707106781186547;7
"23";23;"Commits";15;"haar";1;0;7
"24";24;"Commits";15;"haar";1;0;7
"25";25;"Commits";15;"haar";1;0,707106781186547;7
"26";26;"Commits";15;"haar";1;0;7
"27";27;"Commits";15;"haar";1;1,41421356237309;7
"28";28;"Commits";15;"haar";1;0;7
"29";29;"Commits";15;"haar";1;-5,65685424949238;7
"30";30;"Commits";15;"haar";1;0,707106781186548;7
"31";31;"Commits";15;"haar";1;1,41421356237309;7
"32";32;"Commits";15;"haar";1;1,41421356237309;7
"33";33;"Commits";15;"haar";1;-1,41421356237309;7
"34";34;"Commits";15;"haar";1;1,41421356237309;7
"35";35;"Commits";15;"haar";1;-2,12132034355964;7
"36";36;"Commits";15;"haar";1;2,82842712474619;7
"37";37;"Commits";15;"haar";1;-1,41421356237309;7
"38";38;"Commits";15;"haar";1;0,707106781186547;7
"39";39;"Commits";15;"haar";1;1,41421356237309;7
