"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";147;"haar";1;0;11
"2";2;"Cumulative.LOC.Churn";147;"haar";1;0;11
"3";3;"Cumulative.LOC.Churn";147;"haar";1;515,480843484993;11
"4";4;"Cumulative.LOC.Churn";147;"haar";1;1113,69318036881;11
"5";5;"Cumulative.LOC.Churn";147;"haar";1;1913,4309498908;11
"6";6;"Cumulative.LOC.Churn";147;"haar";1;1446,74047430768;11
"7";7;"Cumulative.LOC.Churn";147;"haar";1;0;11
"8";8;"Cumulative.LOC.Churn";147;"haar";1;0;11
"9";9;"Cumulative.LOC.Churn";147;"haar";1;0;11
"10";10;"Cumulative.LOC.Churn";147;"haar";1;0;11
"11";11;"Cumulative.LOC.Churn";147;"haar";1;0;11
"12";12;"Cumulative.LOC.Churn";147;"haar";1;0;11
"13";13;"Cumulative.LOC.Churn";147;"haar";1;0;11
"14";14;"Cumulative.LOC.Churn";147;"haar";1;0;11
"15";15;"Cumulative.LOC.Churn";147;"haar";1;0;11
"16";16;"Cumulative.LOC.Churn";147;"haar";1;0;11
"17";17;"Cumulative.LOC.Churn";147;"haar";1;0;11
"18";18;"Cumulative.LOC.Churn";147;"haar";1;0;11
"19";19;"Cumulative.LOC.Churn";147;"haar";1;0;11
"20";20;"Cumulative.LOC.Churn";147;"haar";1;0;11
"21";21;"Cumulative.LOC.Churn";147;"haar";1;0;11
"22";22;"Cumulative.LOC.Churn";147;"haar";1;0;11
"23";23;"Cumulative.LOC.Churn";147;"haar";1;0;11
"24";24;"Cumulative.LOC.Churn";147;"haar";1;0;11
"25";25;"Cumulative.LOC.Churn";147;"haar";1;0;11
"26";26;"Cumulative.LOC.Churn";147;"haar";1;0;11
"27";27;"Cumulative.LOC.Churn";147;"haar";1;0;11
"28";28;"Cumulative.LOC.Churn";147;"haar";1;0;11
"29";29;"Cumulative.LOC.Churn";147;"haar";1;0;11
"30";30;"Cumulative.LOC.Churn";147;"haar";1;0;11
"31";31;"Cumulative.LOC.Churn";147;"haar";1;0;11
"32";32;"Cumulative.LOC.Churn";147;"haar";1;0;11
"33";33;"Cumulative.LOC.Churn";147;"haar";1;0;11
"34";34;"Cumulative.LOC.Churn";147;"haar";1;0;11
"35";35;"Cumulative.LOC.Churn";147;"haar";1;0;11
"36";36;"Cumulative.LOC.Churn";147;"haar";1;0;11
"37";37;"Cumulative.LOC.Churn";147;"haar";1;0;11
"38";38;"Cumulative.LOC.Churn";147;"haar";1;0;11
"39";39;"Cumulative.LOC.Churn";147;"haar";1;0;11
"40";40;"Cumulative.LOC.Churn";147;"haar";1;0;11
"41";41;"Cumulative.LOC.Churn";147;"haar";1;0;11
"42";42;"Cumulative.LOC.Churn";147;"haar";1;0;11
"43";43;"Cumulative.LOC.Churn";147;"haar";1;0;11
"44";44;"Cumulative.LOC.Churn";147;"haar";1;0;11
"45";45;"Cumulative.LOC.Churn";147;"haar";1;0;11
"46";46;"Cumulative.LOC.Churn";147;"haar";1;0;11
"47";47;"Cumulative.LOC.Churn";147;"haar";1;0;11
"48";48;"Cumulative.LOC.Churn";147;"haar";1;0;11
"49";49;"Cumulative.LOC.Churn";147;"haar";1;0;11
"50";50;"Cumulative.LOC.Churn";147;"haar";1;0;11
"51";51;"Cumulative.LOC.Churn";147;"haar";1;0;11
"52";52;"Cumulative.LOC.Churn";147;"haar";1;0;11
"53";53;"Cumulative.LOC.Churn";147;"haar";1;0;11
"54";54;"Cumulative.LOC.Churn";147;"haar";1;0;11
"55";55;"Cumulative.LOC.Churn";147;"haar";1;0;11
"56";56;"Cumulative.LOC.Churn";147;"haar";1;0;11
"57";57;"Cumulative.LOC.Churn";147;"haar";1;0;11
"58";58;"Cumulative.LOC.Churn";147;"haar";1;0;11
"59";59;"Cumulative.LOC.Churn";147;"haar";1;0;11
"60";60;"Cumulative.LOC.Churn";147;"haar";1;0;11
"61";61;"Cumulative.LOC.Churn";147;"haar";1;0;11
"62";62;"Cumulative.LOC.Churn";147;"haar";1;0;11
"63";63;"Cumulative.LOC.Churn";147;"haar";1;0;11
"64";64;"Cumulative.LOC.Churn";147;"haar";1;0;11
"65";65;"Cumulative.LOC.Churn";147;"haar";1;0;11
"66";66;"Cumulative.LOC.Churn";147;"haar";1;0;11
"67";67;"Cumulative.LOC.Churn";147;"haar";1;0;11
"68";68;"Cumulative.LOC.Churn";147;"haar";1;0;11
"69";69;"Cumulative.LOC.Churn";147;"haar";1;0;11
"70";70;"Cumulative.LOC.Churn";147;"haar";1;0;11
"71";71;"Cumulative.LOC.Churn";147;"haar";1;0;11
"72";72;"Cumulative.LOC.Churn";147;"haar";1;0;11
"73";73;"Cumulative.LOC.Churn";147;"haar";1;0;11
"74";74;"Cumulative.LOC.Churn";147;"haar";1;0;11
"75";75;"Cumulative.LOC.Churn";147;"haar";1;0;11
"76";76;"Cumulative.LOC.Churn";147;"haar";1;0;11
"77";77;"Cumulative.LOC.Churn";147;"haar";1;782,767206773511;11
"78";78;"Cumulative.LOC.Churn";147;"haar";1;888,8332239515;11
"79";79;"Cumulative.LOC.Churn";147;"haar";1;0;11
"80";80;"Cumulative.LOC.Churn";147;"haar";1;0;11
"81";81;"Cumulative.LOC.Churn";147;"haar";1;0;11
"82";82;"Cumulative.LOC.Churn";147;"haar";1;0;11
"83";83;"Cumulative.LOC.Churn";147;"haar";1;0;11
"84";84;"Cumulative.LOC.Churn";147;"haar";1;0;11
"85";85;"Cumulative.LOC.Churn";147;"haar";1;0;11
"86";86;"Cumulative.LOC.Churn";147;"haar";1;0;11
"87";87;"Cumulative.LOC.Churn";147;"haar";1;765,796644025031;11
"88";88;"Cumulative.LOC.Churn";147;"haar";1;1304,61201128918;11
