"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";353;"haar";1;0;8
"2";2;"Files";353;"haar";1;0;8
"3";3;"Files";353;"haar";1;0;8
"4";4;"Files";353;"haar";1;0;8
"5";5;"Files";353;"haar";1;0;8
"6";6;"Files";353;"haar";1;0;8
"7";7;"Files";353;"haar";1;0;8
"8";8;"Files";353;"haar";1;0;8
"9";9;"Files";353;"haar";1;1,56412019998464;8
"10";10;"Files";353;"haar";1;0;8
"11";11;"Files";353;"haar";1;0;8
"12";12;"Files";353;"haar";1;0;8
"13";13;"Files";353;"haar";1;0;8
"14";14;"Files";353;"haar";1;0;8
"15";15;"Files";353;"haar";1;0;8
"16";16;"Files";353;"haar";1;0;8
"17";17;"Files";353;"haar";1;0;8
"18";18;"Files";353;"haar";1;0;8
"19";19;"Files";353;"haar";1;0;8
"20";20;"Files";353;"haar";1;0;8
"21";21;"Files";353;"haar";1;0;8
"22";22;"Files";353;"haar";1;0;8
"23";23;"Files";353;"haar";1;0;8
"24";24;"Files";353;"haar";1;0;8
"25";25;"Files";353;"haar";1;0;8
"26";26;"Files";353;"haar";1;0,0890954544295042;8
"27";27;"Files";353;"haar";1;0;8
"28";28;"Files";353;"haar";1;0;8
"29";29;"Files";353;"haar";1;0;8
"30";30;"Files";353;"haar";1;0;8
"31";31;"Files";353;"haar";1;0;8
"32";32;"Files";353;"haar";1;0;8
"33";33;"Files";353;"haar";1;0;8
"34";34;"Files";353;"haar";1;0;8
"35";35;"Files";353;"haar";1;0;8
"36";36;"Files";353;"haar";1;0;8
"37";37;"Files";353;"haar";1;0;8
"38";38;"Files";353;"haar";1;0;8
"39";39;"Files";353;"haar";1;0;8
"40";40;"Files";353;"haar";1;0;8
"41";41;"Files";353;"haar";1;0;8
"42";42;"Files";353;"haar";1;0;8
"43";43;"Files";353;"haar";1;0;8
"44";44;"Files";353;"haar";1;9,55301261383025;8
"45";45;"Files";353;"haar";1;0;8
"46";46;"Files";353;"haar";1;0;8
"47";47;"Files";353;"haar";1;0;8
"48";48;"Files";353;"haar";1;0;8
"49";49;"Files";353;"haar";1;0;8
"50";50;"Files";353;"haar";1;0;8
"51";51;"Files";353;"haar";1;0;8
"52";52;"Files";353;"haar";1;0;8
"53";53;"Files";353;"haar";1;0;8
"54";54;"Files";353;"haar";1;0;8
"55";55;"Files";353;"haar";1;0;8
"56";56;"Files";353;"haar";1;0;8
"57";57;"Files";353;"haar";1;2,41547676453324;8
"58";58;"Files";353;"haar";1;0;8
"59";59;"Files";353;"haar";1;0;8
"60";60;"Files";353;"haar";1;0;8
"61";61;"Files";353;"haar";1;0;8
"62";62;"Files";353;"haar";1;0;8
"63";63;"Files";353;"haar";1;0;8
"64";64;"Files";353;"haar";1;0;8
"65";65;"Files";353;"haar";1;0;8
"66";66;"Files";353;"haar";1;0;8
"67";67;"Files";353;"haar";1;0;8
"68";68;"Files";353;"haar";1;5,13076680428959;8
"69";69;"Files";353;"haar";1;0;8
"70";70;"Files";353;"haar";1;0;8
"71";71;"Files";353;"haar";1;0;8
"72";72;"Files";353;"haar";1;0;8
"73";73;"Files";353;"haar";1;0;8
"74";74;"Files";353;"haar";1;0;8
"75";75;"Files";353;"haar";1;0;8
"76";76;"Files";353;"haar";1;0;8
"77";77;"Files";353;"haar";1;0;8
"78";78;"Files";353;"haar";1;0;8
"79";79;"Files";353;"haar";1;0;8
"80";80;"Files";353;"haar";1;0;8
"81";81;"Files";353;"haar";1;0;8
"82";82;"Files";353;"haar";1;0;8
"83";83;"Files";353;"haar";1;0;8
"84";84;"Files";353;"haar";1;0;8
"85";85;"Files";353;"haar";1;0;8
"86";86;"Files";353;"haar";1;0;8
"87";87;"Files";353;"haar";1;0;8
"88";88;"Files";353;"haar";1;7,00884241512106;8
"89";89;"Files";353;"haar";1;0;8
"90";90;"Files";353;"haar";1;0;8
"91";91;"Files";353;"haar";1;0;8
"92";92;"Files";353;"haar";1;0;8
"93";93;"Files";353;"haar";1;0;8
"94";94;"Files";353;"haar";1;0;8
"95";95;"Files";353;"haar";1;0;8
"96";96;"Files";353;"haar";1;0;8
"97";97;"Files";353;"haar";1;0;8
"98";98;"Files";353;"haar";1;0;8
"99";99;"Files";353;"haar";1;0;8
"100";100;"Files";353;"haar";1;0;8
"101";101;"Files";353;"haar";1;0;8
"102";102;"Files";353;"haar";1;0;8
"103";103;"Files";353;"haar";1;0;8
"104";104;"Files";353;"haar";1;0;8
"105";105;"Files";353;"haar";1;0;8
"106";106;"Files";353;"haar";1;0;8
"107";107;"Files";353;"haar";1;0;8
"108";108;"Files";353;"haar";1;0;8
"109";109;"Files";353;"haar";1;2,82206316371551;8
"110";110;"Files";353;"haar";1;0;8
"111";111;"Files";353;"haar";1;0;8
"112";112;"Files";353;"haar";1;0;8
"113";113;"Files";353;"haar";1;0;8
"114";114;"Files";353;"haar";1;0;8
"115";115;"Files";353;"haar";1;0;8
"116";116;"Files";353;"haar";1;0;8
"117";117;"Files";353;"haar";1;0;8
"118";118;"Files";353;"haar";1;0;8
"119";119;"Files";353;"haar";1;0;8
"120";120;"Files";353;"haar";1;0;8
"121";121;"Files";353;"haar";1;0;8
"122";122;"Files";353;"haar";1;0;8
"123";123;"Files";353;"haar";1;0;8
"124";124;"Files";353;"haar";1;0;8
"125";125;"Files";353;"haar";1;0;8
"126";126;"Files";353;"haar";1;1,47785317267989;8
"127";127;"Files";353;"haar";1;0;8
"128";128;"Files";353;"haar";1;0;8
"129";129;"Files";353;"haar";1;0;8
"130";130;"Files";353;"haar";1;0;8
"131";131;"Files";353;"haar";1;0;8
"132";132;"Files";353;"haar";1;0;8
"133";133;"Files";353;"haar";1;0;8
"134";134;"Files";353;"haar";1;0;8
"135";135;"Files";353;"haar";1;0;8
"136";136;"Files";353;"haar";1;0;8
"137";137;"Files";353;"haar";1;0;8
"138";138;"Files";353;"haar";1;0;8
"139";139;"Files";353;"haar";1;2,79660731959279;8
"140";140;"Files";353;"haar";1;0;8
"141";141;"Files";353;"haar";1;0;8
"142";142;"Files";353;"haar";1;0;8
"143";143;"Files";353;"haar";1;0;8
"144";144;"Files";353;"haar";1;0;8
"145";145;"Files";353;"haar";1;0;8
"146";146;"Files";353;"haar";1;0;8
"147";147;"Files";353;"haar";1;0;8
"148";148;"Files";353;"haar";1;5,60028570699745;8
"149";149;"Files";353;"haar";1;0;8
"150";150;"Files";353;"haar";1;0;8
"151";151;"Files";353;"haar";1;0;8
"152";152;"Files";353;"haar";1;0;8
"153";153;"Files";353;"haar";1;0;8
"154";154;"Files";353;"haar";1;0;8
"155";155;"Files";353;"haar";1;0;8
"156";156;"Files";353;"haar";1;0;8
"157";157;"Files";353;"haar";1;0;8
"158";158;"Files";353;"haar";1;1,49340952186598;8
"159";159;"Files";353;"haar";1;0;8
"160";160;"Files";353;"haar";1;0;8
"161";161;"Files";353;"haar";1;0;8
"162";162;"Files";353;"haar";1;0;8
"163";163;"Files";353;"haar";1;0;8
"164";164;"Files";353;"haar";1;0;8
"165";165;"Files";353;"haar";1;0;8
"166";166;"Files";353;"haar";1;0;8
"167";167;"Files";353;"haar";1;0;8
"168";168;"Files";353;"haar";1;0;8
"169";169;"Files";353;"haar";1;0;8
"170";170;"Files";353;"haar";1;3,37572777338458;8
"171";171;"Files";353;"haar";1;0;8
"172";172;"Files";353;"haar";1;0;8
"173";173;"Files";353;"haar";1;0;8
"174";174;"Files";353;"haar";1;0;8
"175";175;"Files";353;"haar";1;0;8
"176";176;"Files";353;"haar";1;0;8
"177";177;"Files";353;"haar";1;0;8
"178";178;"Files";353;"haar";1;0;8
"179";179;"Files";353;"haar";1;0;8
"180";180;"Files";353;"haar";1;0;8
"181";181;"Files";353;"haar";1;2,10434978081116;8
"182";182;"Files";353;"haar";1;0;8
"183";183;"Files";353;"haar";1;0;8
"184";184;"Files";353;"haar";1;0;8
"185";185;"Files";353;"haar";1;0;8
"186";186;"Files";353;"haar";1;0;8
"187";187;"Files";353;"haar";1;0;8
"188";188;"Files";353;"haar";1;0;8
"189";189;"Files";353;"haar";1;0;8
"190";190;"Files";353;"haar";1;0;8
"191";191;"Files";353;"haar";1;0;8
"192";192;"Files";353;"haar";1;0;8
"193";193;"Files";353;"haar";1;0;8
"194";194;"Files";353;"haar";1;0;8
"195";195;"Files";353;"haar";1;3,10561298297132;8
"196";196;"Files";353;"haar";1;0;8
"197";197;"Files";353;"haar";1;0;8
"198";198;"Files";353;"haar";1;0;8
"199";199;"Files";353;"haar";1;0;8
"200";200;"Files";353;"haar";1;0;8
"201";201;"Files";353;"haar";1;0;8
"202";202;"Files";353;"haar";1;0;8
"203";203;"Files";353;"haar";1;0;8
"204";204;"Files";353;"haar";1;0;8
"205";205;"Files";353;"haar";1;0;8
"206";206;"Files";353;"haar";1;0;8
"207";207;"Files";353;"haar";1;1,87029743623843;8
"208";208;"Files";353;"haar";1;0;8
"209";209;"Files";353;"haar";1;0;8
"210";210;"Files";353;"haar";1;0;8
"211";211;"Files";353;"haar";1;0;8
"212";212;"Files";353;"haar";1;0;8
"213";213;"Files";353;"haar";1;0;8
"214";214;"Files";353;"haar";1;2,09162185874982;8
"215";215;"Files";353;"haar";1;0;8
"216";216;"Files";353;"haar";1;0;8
"217";217;"Files";353;"haar";1;0;8
"218";218;"Files";353;"haar";1;0;8
"219";219;"Files";353;"haar";1;0;8
"220";220;"Files";353;"haar";1;0;8
"221";221;"Files";353;"haar";1;0;8
"222";222;"Files";353;"haar";1;0;8
"223";223;"Files";353;"haar";1;3,15652467121676;8
"224";224;"Files";353;"haar";1;0;8
"225";225;"Files";353;"haar";1;0;8
"226";226;"Files";353;"haar";1;0;8
"227";227;"Files";353;"haar";1;0;8
"228";228;"Files";353;"haar";1;0;8
"229";229;"Files";353;"haar";1;0;8
