Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;LOC;17;5;2;169;5;10;4;0,002546426;22368,65-20996,51-22207,08-22027,19;0,01924216;20480,62
Cumulative.LOC.Churn;LOC;17;6;13;147;3;1;4;0,004885547;7935,342-7999,422-7998,810-7912,428;0,002152105;7065,151
Cumulative.LOC.Churn;LOC;17;6;11;368;5;6;4;0,001685242;7994,121-7820,520-7935,342-7999,422;0,6662426;-13250,23
Cumulative.LOC.Churn;LOC;17;6;11;368;6;4;4;0,00266916;7994,121-7820,520-7935,342-7999,422;0,9057167;-2276,564
Cumulative.LOC.Churn;LOC;18;3;2;18;4;4;4;0,002370614;49436,54-63663,33-64004,98-64048,72;1,407457;32228,18
Cumulative.LOC.Churn;LOC;18;4;4;18;3;2;4;0,002370614;12226,56-22334,71-22631,10-22598,88;0,7105011;-22898,16
Cumulative.LOC.Churn;LOC;18;4;7;18;5;17;4;0,002463562;22598,88-22611,56-22574,76-22564,63;0,4829104;18742,86
Cumulative.LOC.Churn;LOC;18;4;5;18;6;10;4;0,004379305;22334,71-22631,10-22598,88-22611,56;9,119068;-3366
Cumulative.LOC.Churn;LOC;18;4;7;18;6;11;4;0,002903514;22598,88-22611,56-22574,76-22564,63;1,731971;17661,29
Cumulative.LOC.Churn;LOC;18;4;6;344;4;1;4;0,004445001;22631,10-22598,88-22611,56-22574,76;1,113596;-2482,43
Cumulative.LOC.Churn;LOC;18;4;5;344;6;5;4;0,001823473;22334,71-22631,10-22598,88-22611,56;1,324833;18869,73
Cumulative.LOC.Churn;LOC;18;4;7;368;3;1;4;0,001527352;22598,88-22611,56-22574,76-22564,63;0,0645684;6068,862
Cumulative.LOC.Churn;LOC;18;4;6;368;4;1;4;0,002688441;22631,10-22598,88-22611,56-22574,76;0,3421615;-8370,527
Cumulative.LOC.Churn;LOC;18;4;6;368;4;1;5;0,002688441;22631,10-22598,88-22611,56-22574,76-22564,63;0,3421615;-8370,527
Cumulative.LOC.Churn;LOC;18;4;6;368;4;3;4;0,003689471;22631,10-22598,88-22611,56-22574,76;0,1330227;10591,82
Cumulative.LOC.Churn;LOC;18;4;6;368;5;11;4;0,00446479;22631,10-22598,88-22611,56-22574,76;0,2769833;13742,41
Cumulative.LOC.Churn;LOC;18;4;7;385;4;4;4;0,004346575;22598,88-22611,56-22574,76-22564,63;0,1210875;17125,09
Cumulative.LOC.Churn;LOC;18;5;17;18;4;7;4;0,002463562;7984,954-8011,206-7942,734-7933,580;2,070778;-38812,3
Cumulative.LOC.Churn;LOC;18;5;14;18;5;18;4;0,003732457;8057,647-7975,875-7978,382-7984,954;1,19424;-1509,656
Cumulative.LOC.Churn;LOC;18;5;10;18;6;39;4;0,001493363;7916,959-7869,355-7999,431-7991,227;1,284078;4355,899
Cumulative.LOC.Churn;LOC;18;5;14;18;6;24;4;0,004085234;8057,647-7975,875-7978,382-7984,954;1,358397;4184,585
Cumulative.LOC.Churn;LOC;18;5;10;344;5;13;4;0,003440547;7916,959-7869,355-7999,431-7991,227;0,2272465;6275,915
Cumulative.LOC.Churn;LOC;18;5;16;368;3;1;4;0,004900034;7978,382-7984,954-8011,206-7942,734;0,03347508;-591,5021
Cumulative.LOC.Churn;LOC;18;5;17;368;3;1;4;0,004122713;7984,954-8011,206-7942,734-7933,580;0,1337068;-26245,03
Cumulative.LOC.Churn;LOC;18;5;10;368;5;14;4;0,00100759;7916,959-7869,355-7999,431-7991,227;0,3625842;-3593,606
Cumulative.LOC.Churn;LOC;18;5;18;368;5;1;4;0,003067013;8011,206-7942,734-7933,580-7975,293;0,05480898;6190,401
Cumulative.LOC.Churn;LOC;18;5;18;368;5;13;4;0,002961688;8011,206-7942,734-7933,580-7975,293;0,2430719;226,1952
Cumulative.LOC.Churn;LOC;18;5;14;368;6;12;4;0,001466085;8057,647-7975,875-7978,382-7984,954;0,5846605;1478,069
Cumulative.LOC.Churn;LOC;18;5;10;385;4;2;4;0,003731684;7916,959-7869,355-7999,431-7991,227;0,1424011;1563,124
Cumulative.LOC.Churn;LOC;18;5;14;378;5;12;4;0,004575588;8057,647-7975,875-7978,382-7984,954;0,0006715047;7434,396
Cumulative.LOC.Churn;LOC;18;6;10;18;4;5;4;0,004379305;2818,348-2850,851-2858,170-2844,487;0,1096603;369,1167
Cumulative.LOC.Churn;LOC;18;6;11;18;4;7;4;0,002903514;2850,851-2858,170-2844,487-2822,881;0,5773768;-10197,22
Cumulative.LOC.Churn;LOC;18;6;24;18;5;14;4;0,004085234;2851,200-2791,003-2787,986-2786,304;0,7361617;-3080,531
Cumulative.LOC.Churn;LOC;18;6;39;18;5;10;4;0,001493363;2773,243-2736,170-2833,238-2827,383;0,7787688;-3392,238
Cumulative.LOC.Churn;LOC;18;6;3;18;6;9;4;0,003917493;2338,500-2813,163-2836,583-2858,204;1,062431;-181,136
Cumulative.LOC.Churn;LOC;18;6;5;18;6;23;4;0,00468468;2836,583-2858,204-2820,373-2811,184;0,6164469;1100,59
Cumulative.LOC.Churn;LOC;18;6;10;18;6;22;4;0,004201875;2818,348-2850,851-2858,170-2844,487;0,3169554;1958,264
Cumulative.LOC.Churn;LOC;18;6;10;18;6;32;4;0,002477229;2818,348-2850,851-2858,170-2844,487;2,150735;-3207,54
Cumulative.LOC.Churn;LOC;18;6;29;18;6;40;4;0,004903882;2762,614-2842,138-2848,700-2801,781;0,8192606;520,9774
Cumulative.LOC.Churn;LOC;18;6;32;18;6;35;4;0,003165747;2801,781-2816,894-2822,563-2817,211;1,403652;-1152,602
Cumulative.LOC.Churn;LOC;18;6;10;344;5;3;4;0,00496256;2818,348-2850,851-2858,170-2844,487;0,2157392;1125,915
Cumulative.LOC.Churn;LOC;18;6;32;344;5;3;4;0,001856107;2801,781-2816,894-2822,563-2817,211;0,1003096;2014,872
Cumulative.LOC.Churn;LOC;18;6;5;368;3;1;4;0,003566152;2836,583-2858,204-2820,373-2811,184;0,1101212;-25355,31
Cumulative.LOC.Churn;LOC;18;6;23;368;3;1;4;0,003294019;2816,126-2851,200-2791,003-2787,986;0,1786386;-42916,75
