"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";369;"haar";1;0;5
"2";2;"Relative.Date.Progress";369;"haar";1;0;5
"3";3;"Relative.Date.Progress";369;"haar";1;0;5
"4";4;"Relative.Date.Progress";369;"haar";1;0;5
"5";5;"Relative.Date.Progress";369;"haar";1;0;5
"6";6;"Relative.Date.Progress";369;"haar";1;0;5
"7";7;"Relative.Date.Progress";369;"haar";1;0;5
"8";8;"Relative.Date.Progress";369;"haar";1;0;5
"9";9;"Relative.Date.Progress";369;"haar";1;0;5
"10";10;"Relative.Date.Progress";369;"haar";1;0;5
"11";11;"Relative.Date.Progress";369;"haar";1;0;5
"12";12;"Relative.Date.Progress";369;"haar";1;0;5
"13";13;"Relative.Date.Progress";369;"haar";1;0;5
"14";14;"Relative.Date.Progress";369;"haar";1;0;5
"15";15;"Relative.Date.Progress";369;"haar";1;0;5
"16";16;"Relative.Date.Progress";369;"haar";1;1,41421356237309;5
"17";17;"Relative.Date.Progress";369;"haar";1;38,1837661840736;5
"18";18;"Relative.Date.Progress";369;"haar";1;0;5
"19";19;"Relative.Date.Progress";369;"haar";1;0;5
"20";20;"Relative.Date.Progress";369;"haar";1;0;5
"21";21;"Relative.Date.Progress";369;"haar";1;0;5
"22";22;"Relative.Date.Progress";369;"haar";1;4,24264068711928;5
"23";23;"Relative.Date.Progress";369;"haar";1;0;5
"24";24;"Relative.Date.Progress";369;"haar";1;15,556349186104;5
"25";1;"Relative.Date.Progress";369;"haar";2;0;4
"26";2;"Relative.Date.Progress";369;"haar";2;0;4
"27";3;"Relative.Date.Progress";369;"haar";2;0;4
"28";4;"Relative.Date.Progress";369;"haar";2;2;4
"29";5;"Relative.Date.Progress";369;"haar";2;0;4
"30";6;"Relative.Date.Progress";369;"haar";2;0;4
"31";7;"Relative.Date.Progress";369;"haar";2;0;4
"32";8;"Relative.Date.Progress";369;"haar";2;0,999999999999999;4
"33";9;"Relative.Date.Progress";369;"haar";2;27;4
"34";10;"Relative.Date.Progress";369;"haar";2;9,99999999999999;4
"35";11;"Relative.Date.Progress";369;"haar";2;3,00000000000001;4
"36";12;"Relative.Date.Progress";369;"haar";2;11;4
"37";1;"Relative.Date.Progress";369;"haar";3;0;3
"38";2;"Relative.Date.Progress";369;"haar";3;1,41421356237309;3
"39";3;"Relative.Date.Progress";369;"haar";3;0;3
"40";4;"Relative.Date.Progress";369;"haar";3;6,36396103067892;3
"41";5;"Relative.Date.Progress";369;"haar";3;26,1629509039022;3
"42";6;"Relative.Date.Progress";369;"haar";3;14,1421356237309;3
"43";1;"Relative.Date.Progress";369;"haar";4;1;2
"44";2;"Relative.Date.Progress";369;"haar";4;4,5;2
"45";3;"Relative.Date.Progress";369;"haar";4;41,5;2
