"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";355;"haar";1;0,0339411254969543;11
"2";2;"Relative.LOC.Churn.Progress";355;"haar";1;0,0325269119345812;11
"3";3;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"4";4;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"5";5;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"6";6;"Relative.LOC.Churn.Progress";355;"haar";1;0,142128463018496;11
"7";7;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"8";8;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"9";9;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"10";10;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"11";11;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"12";12;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"13";13;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"14";14;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"15";15;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"16";16;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"17";17;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"18";18;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"19";19;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"20";20;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"21";21;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"22";22;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"23";23;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"24";24;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"25";25;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"26";26;"Relative.LOC.Churn.Progress";355;"haar";1;0,192333044482741;11
"27";27;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"28";28;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"29";29;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"30";30;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"31";31;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"32";32;"Relative.LOC.Churn.Progress";355;"haar";1;0,197282791951047;11
"33";33;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"34";34;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"35";35;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"36";36;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"37";37;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"38";38;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"39";39;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"40";40;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"41";41;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"42";42;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"43";43;"Relative.LOC.Churn.Progress";355;"haar";1;0,191625937701554;11
"44";44;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"45";45;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"46";46;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"47";47;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"48";48;"Relative.LOC.Churn.Progress";355;"haar";1;0,175362481734264;11
"49";49;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"50";50;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"51";51;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"52";52;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"53";53;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"54";54;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"55";55;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"56";56;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"57";57;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"58";58;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"59";59;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"60";60;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"61";61;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"62";62;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"63";63;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"64";64;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"65";65;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"66";66;"Relative.LOC.Churn.Progress";355;"haar";1;0,0883883476483183;11
"67";67;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"68";68;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"69";69;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"70";70;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"71";71;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"72";72;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"73";73;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"74";74;"Relative.LOC.Churn.Progress";355;"haar";1;0,048790367901872;11
"75";75;"Relative.LOC.Churn.Progress";355;"haar";1;0,0410121933088194;11
"76";76;"Relative.LOC.Churn.Progress";355;"haar";1;0,0289913780286484;11
"77";77;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"78";78;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"79";79;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"80";80;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"81";81;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"82";82;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"83";83;"Relative.LOC.Churn.Progress";355;"haar";1;0,115965512114593;11
"84";84;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"85";85;"Relative.LOC.Churn.Progress";355;"haar";1;0,0664680374315356;11
"86";86;"Relative.LOC.Churn.Progress";355;"haar";1;0,0424264068711935;11
"87";87;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"88";88;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"89";89;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"90";90;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"91";91;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"92";92;"Relative.LOC.Churn.Progress";355;"haar";1;0,00424264068711944;11
"93";93;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"94";94;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"95";95;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"96";96;"Relative.LOC.Churn.Progress";355;"haar";1;0,0968736290225567;11
"97";97;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"98";98;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"99";99;"Relative.LOC.Churn.Progress";355;"haar";1;0,10040916292849;11
"100";100;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"101";101;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"102";102;"Relative.LOC.Churn.Progress";355;"haar";1;0,102530483272049;11
"103";103;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"104";104;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"105";105;"Relative.LOC.Churn.Progress";355;"haar";1;0,0537401153701773;11
"106";106;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"107";107;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"108";108;"Relative.LOC.Churn.Progress";355;"haar";1;0,104651803615609;11
"109";109;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"110";110;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"111";111;"Relative.LOC.Churn.Progress";355;"haar";1;0,109601551083915;11
"112";112;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"113";113;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"114";114;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"115";115;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"116";116;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"117";117;"Relative.LOC.Churn.Progress";355;"haar";1;0,0876812408671315;11
"118";118;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"119";119;"Relative.LOC.Churn.Progress";355;"haar";1;0,081317279836453;11
"120";120;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"121";121;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"122";122;"Relative.LOC.Churn.Progress";355;"haar";1;0,106773123959169;11
"123";123;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"124";124;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"125";125;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"126";126;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"127";127;"Relative.LOC.Churn.Progress";355;"haar";1;0,120208152801712;11
"128";128;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"129";129;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"130";130;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"131";131;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"132";132;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"133";133;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"134";134;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"135";135;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"136";136;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"137";137;"Relative.LOC.Churn.Progress";355;"haar";1;0,0756604255869604;11
"138";138;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"139";139;"Relative.LOC.Churn.Progress";355;"haar";1;0,0700035713374687;11
"140";140;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"141";141;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"142";142;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"143";143;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"144";144;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"145";145;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"146";146;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"147";147;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"148";148;"Relative.LOC.Churn.Progress";355;"haar";1;0,103237590053236;11
"149";149;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"150";150;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"151";151;"Relative.LOC.Churn.Progress";355;"haar";1;0,0148492424049183;11
"152";152;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"153";153;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"154";154;"Relative.LOC.Churn.Progress";355;"haar";1;0,0905096679918778;11
"155";155;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"156";156;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"157";157;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"158";158;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"159";159;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"160";160;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"161";161;"Relative.LOC.Churn.Progress";355;"haar";1;0,0940452018978108;11
"162";162;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"163";163;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"164";164;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
"165";165;"Relative.LOC.Churn.Progress";355;"haar";1;0,142835569799682;11
"166";166;"Relative.LOC.Churn.Progress";355;"haar";1;0;11
