Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;15;3;2;18;6;34;4;0,003404215;20,35212-19,85485-19,49617-19,78025;3,309412;14,85755
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;17;5;4;17;6;30;4;0,0001506912;8,432425-8,146400-8,440027-9,024097;1,336564;4,561068
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;17;5;8;385;6;18;4;0,004310066;9,610111-8,233905-8,541143-8,088418;3,401048;-5,374848
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;17;6;30;17;5;4;4;0,0001506912;2,89650-2,68250-2,90175-3,33900;0,7481872;-3,412532
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;17;6;20;378;6;30;4;0,001178663;3,30400-2,99300-3,05500-3,08875;0,4231331;-2,000111
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;18;3;1;378;4;5;4;0,002280342;36,55087-33,36975-37,12938-37,12675;0,3565004;3,58898
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;18;4;5;371;3;1;4;0,003307396;13,51953-13,09403-12,94907-12,85573;0,8823256;-4,462929
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;18;4;5;378;5;21;4;0,003622191;13,51953-13,09403-12,94907-12,85573;0,2033916;6,153766
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;18;5;14;385;6;20;4;0,004261929;4,67025-4,54500-4,60000-4,59675;1,004994;0,5563649
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;18;5;14;378;5;7;4;0,001422597;4,67025-4,54500-4,60000-4,59675;0,08387043;1,875863
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;18;6;40;368;5;1;4;0,004246962;1,659933-1,588869-1,607961-1,600890;0,07134068;0,8059407
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;121;3;1;368;4;3;4;0,004081505;25,89850-26,07525-26,16050-25,72675;0,3413036;15,46425
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;121;5;6;368;6;15;4;0,004168792;3,4655-3,7370-3,4895-3,3825;0,4252037;1,762537
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;126;5;11;378;5;7;4;0,003709755;14,60582-13,82403-14,17714-14,07072;0,5235088;-2,836396
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;126;6;22;368;6;32;4;0,00477369;4,767875-5,264875-4,953875-4,783500;0,5106169;3,052656
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;126;6;2;378;4;2;4;0,004094305;5,092125-4,904375-5,058500-5,033875;0,09299821;-3,585314
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;126;6;2;378;6;12;4;0,001418413;5,092125-4,904375-5,058500-5,033875;0,2861384;1,662004
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;344;5;5;378;5;5;4;0,0003990664;5,53925-6,49400-5,86050-5,43750;0,2821965;-3,5411
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;344;5;15;378;5;13;4;0,003530053;5,97200-5,23475-4,87800-4,78600;0,4981419;-11,27383
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;368;6;21;368;6;24;4;0,004835539;3,898810-4,354187-3,594577-3,989850;1,378277;-1,600309
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;368;6;3;385;6;18;4;0,00361087;5,237363-3,904997-4,214710-3,811659;3,292704;-9,270234
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;371;5;4;385;6;9;4;0,001872996;2,2460-1,7955-3,3340-2,8200;0,3481438;1,611854
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;378;4;2;378;6;12;4;0,004702656;93,30760-91,28874-92,84546-92,45963;3,076817;56,42387
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;378;6;12;378;4;2;4;0,004702656;11,98763-11,33147-11,86538-11,76736;0,3250112;-18,33839
Cumulative.LOC.Churn;Relative.LOC.Churn.Progress;378;6;13;378;6;43;4;0,002184982;11,33147-11,86538-11,76736-12,22685;0,4648863;6,586422
