"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Team.Size";126;"haar";1;0;11
"2";2;"Relative.Team.Size";126;"haar";1;0;11
"3";3;"Relative.Team.Size";126;"haar";1;0;11
"4";4;"Relative.Team.Size";126;"haar";1;0;11
"5";5;"Relative.Team.Size";126;"haar";1;0;11
"6";6;"Relative.Team.Size";126;"haar";1;0;11
"7";7;"Relative.Team.Size";126;"haar";1;0;11
"8";8;"Relative.Team.Size";126;"haar";1;0;11
"9";9;"Relative.Team.Size";126;"haar";1;0;11
"10";10;"Relative.Team.Size";126;"haar";1;0;11
"11";11;"Relative.Team.Size";126;"haar";1;0;11
"12";12;"Relative.Team.Size";126;"haar";1;0;11
"13";13;"Relative.Team.Size";126;"haar";1;0;11
"14";14;"Relative.Team.Size";126;"haar";1;0;11
"15";15;"Relative.Team.Size";126;"haar";1;0,146058562508331;11
"16";16;"Relative.Team.Size";126;"haar";1;0;11
"17";17;"Relative.Team.Size";126;"haar";1;0;11
"18";18;"Relative.Team.Size";126;"haar";1;0;11
"19";19;"Relative.Team.Size";126;"haar";1;0;11
"20";20;"Relative.Team.Size";126;"haar";1;0;11
"21";21;"Relative.Team.Size";126;"haar";1;0;11
"22";22;"Relative.Team.Size";126;"haar";1;0;11
"23";23;"Relative.Team.Size";126;"haar";1;0;11
"24";24;"Relative.Team.Size";126;"haar";1;0;11
"25";25;"Relative.Team.Size";126;"haar";1;0;11
"26";26;"Relative.Team.Size";126;"haar";1;0;11
"27";27;"Relative.Team.Size";126;"haar";1;0;11
"28";28;"Relative.Team.Size";126;"haar";1;0;11
"29";29;"Relative.Team.Size";126;"haar";1;0;11
"30";30;"Relative.Team.Size";126;"haar";1;0,0509562359726462;11
"31";31;"Relative.Team.Size";126;"haar";1;0;11
"32";32;"Relative.Team.Size";126;"haar";1;0;11
"33";33;"Relative.Team.Size";126;"haar";1;0;11
"34";34;"Relative.Team.Size";126;"haar";1;0;11
"35";35;"Relative.Team.Size";126;"haar";1;0;11
"36";36;"Relative.Team.Size";126;"haar";1;0;11
"37";37;"Relative.Team.Size";126;"haar";1;0;11
"38";38;"Relative.Team.Size";126;"haar";1;0;11
"39";39;"Relative.Team.Size";126;"haar";1;0;11
"40";40;"Relative.Team.Size";126;"haar";1;0;11
"41";41;"Relative.Team.Size";126;"haar";1;0,485869332809244;11
"42";42;"Relative.Team.Size";126;"haar";1;0;11
"43";43;"Relative.Team.Size";126;"haar";1;0;11
"44";44;"Relative.Team.Size";126;"haar";1;0;11
"45";45;"Relative.Team.Size";126;"haar";1;0;11
"46";46;"Relative.Team.Size";126;"haar";1;0;11
"47";47;"Relative.Team.Size";126;"haar";1;0;11
"48";48;"Relative.Team.Size";126;"haar";1;0;11
"49";49;"Relative.Team.Size";126;"haar";1;0,304747466342216;11
"50";50;"Relative.Team.Size";126;"haar";1;0,0798422550908975;11
"51";51;"Relative.Team.Size";126;"haar";1;0;11
"52";52;"Relative.Team.Size";126;"haar";1;0,0612354472507546;11
"53";53;"Relative.Team.Size";126;"haar";1;0;11
"54";54;"Relative.Team.Size";126;"haar";1;0;11
"55";55;"Relative.Team.Size";126;"haar";1;0;11
"56";56;"Relative.Team.Size";126;"haar";1;0;11
"57";57;"Relative.Team.Size";126;"haar";1;0,323912888539496;11
"58";58;"Relative.Team.Size";126;"haar";1;0;11
"59";59;"Relative.Team.Size";126;"haar";1;0;11
"60";60;"Relative.Team.Size";126;"haar";1;0;11
"61";61;"Relative.Team.Size";126;"haar";1;0;11
"62";62;"Relative.Team.Size";126;"haar";1;0;11
"63";63;"Relative.Team.Size";126;"haar";1;0;11
"64";64;"Relative.Team.Size";126;"haar";1;0;11
"65";65;"Relative.Team.Size";126;"haar";1;0,171693304646687;11
"66";66;"Relative.Team.Size";126;"haar";1;0,297112775500179;11
"67";67;"Relative.Team.Size";126;"haar";1;0,0658049480474778;11
"68";68;"Relative.Team.Size";126;"haar";1;0;11
"69";69;"Relative.Team.Size";126;"haar";1;0;11
"70";70;"Relative.Team.Size";126;"haar";1;0;11
"71";71;"Relative.Team.Size";126;"haar";1;0;11
"72";72;"Relative.Team.Size";126;"haar";1;0;11
"73";73;"Relative.Team.Size";126;"haar";1;0;11
"74";74;"Relative.Team.Size";126;"haar";1;0;11
"75";75;"Relative.Team.Size";126;"haar";1;0;11
"76";76;"Relative.Team.Size";126;"haar";1;0,593343199588569;11
"77";77;"Relative.Team.Size";126;"haar";1;0;11
"78";78;"Relative.Team.Size";126;"haar";1;0;11
"79";79;"Relative.Team.Size";126;"haar";1;0;11
"80";80;"Relative.Team.Size";126;"haar";1;0;11
"81";81;"Relative.Team.Size";126;"haar";1;0,170395056596428;11
"82";82;"Relative.Team.Size";126;"haar";1;0;11
"83";83;"Relative.Team.Size";126;"haar";1;0;11
"84";84;"Relative.Team.Size";126;"haar";1;0;11
"85";85;"Relative.Team.Size";126;"haar";1;0;11
"86";86;"Relative.Team.Size";126;"haar";1;0;11
"87";87;"Relative.Team.Size";126;"haar";1;0,0168772246533608;11
"88";88;"Relative.Team.Size";126;"haar";1;0;11
"89";89;"Relative.Team.Size";126;"haar";1;0;11
"90";90;"Relative.Team.Size";126;"haar";1;0,277196308712361;11
"91";91;"Relative.Team.Size";126;"haar";1;0;11
"92";92;"Relative.Team.Size";126;"haar";1;0;11
"93";93;"Relative.Team.Size";126;"haar";1;0;11
"94";94;"Relative.Team.Size";126;"haar";1;0;11
"95";95;"Relative.Team.Size";126;"haar";1;0;11
"96";96;"Relative.Team.Size";126;"haar";1;0;11
"97";97;"Relative.Team.Size";126;"haar";1;0;11
"98";98;"Relative.Team.Size";126;"haar";1;0;11
"99";99;"Relative.Team.Size";126;"haar";1;0;11
"100";100;"Relative.Team.Size";126;"haar";1;0;11
"101";101;"Relative.Team.Size";126;"haar";1;0;11
"102";102;"Relative.Team.Size";126;"haar";1;0;11
"103";103;"Relative.Team.Size";126;"haar";1;0;11
"104";104;"Relative.Team.Size";126;"haar";1;0;11
"105";105;"Relative.Team.Size";126;"haar";1;0;11
"106";106;"Relative.Team.Size";126;"haar";1;0;11
"107";107;"Relative.Team.Size";126;"haar";1;0;11
"108";108;"Relative.Team.Size";126;"haar";1;0;11
"109";109;"Relative.Team.Size";126;"haar";1;0;11
"110";110;"Relative.Team.Size";126;"haar";1;0;11
"111";111;"Relative.Team.Size";126;"haar";1;0;11
"112";112;"Relative.Team.Size";126;"haar";1;0;11
"113";113;"Relative.Team.Size";126;"haar";1;0;11
"114";114;"Relative.Team.Size";126;"haar";1;0;11
"115";115;"Relative.Team.Size";126;"haar";1;0,70900925198133;11
"116";116;"Relative.Team.Size";126;"haar";1;0,127552870937897;11
"117";117;"Relative.Team.Size";126;"haar";1;0;11
"118";118;"Relative.Team.Size";126;"haar";1;0;11
"119";119;"Relative.Team.Size";126;"haar";1;0,318889601965946;11
"120";120;"Relative.Team.Size";126;"haar";1;0;11
"121";121;"Relative.Team.Size";126;"haar";1;0,320797093218875;11
"122";122;"Relative.Team.Size";126;"haar";1;0;11
"123";123;"Relative.Team.Size";126;"haar";1;0;11
"124";124;"Relative.Team.Size";126;"haar";1;0;11
"125";125;"Relative.Team.Size";126;"haar";1;0,309307597974088;11
"126";126;"Relative.Team.Size";126;"haar";1;0;11
"127";127;"Relative.Team.Size";126;"haar";1;0;11
"128";128;"Relative.Team.Size";126;"haar";1;0,427029462317893;11
"129";129;"Relative.Team.Size";126;"haar";1;0;11
"130";130;"Relative.Team.Size";126;"haar";1;1,01826947380108;11
"131";131;"Relative.Team.Size";126;"haar";1;0,296219287156585;11
"132";132;"Relative.Team.Size";126;"haar";1;0,200903885777501;11
"133";133;"Relative.Team.Size";126;"haar";1;0;11
"134";134;"Relative.Team.Size";126;"haar";1;1,72605008846639;11
"135";135;"Relative.Team.Size";126;"haar";1;0;11
"136";136;"Relative.Team.Size";126;"haar";1;0,115048630321656;11
"137";137;"Relative.Team.Size";126;"haar";1;0,505042565816812;11
"138";138;"Relative.Team.Size";126;"haar";1;0;11
"139";139;"Relative.Team.Size";126;"haar";1;0;11
"140";140;"Relative.Team.Size";126;"haar";1;0;11
"141";141;"Relative.Team.Size";126;"haar";1;0;11
"142";142;"Relative.Team.Size";126;"haar";1;0,264128565825089;11
"143";143;"Relative.Team.Size";126;"haar";1;0,138919170503733;11
"144";144;"Relative.Team.Size";126;"haar";1;0;11
"145";145;"Relative.Team.Size";126;"haar";1;0;11
"146";146;"Relative.Team.Size";126;"haar";1;0;11
"147";147;"Relative.Team.Size";126;"haar";1;0;11
"148";148;"Relative.Team.Size";126;"haar";1;0;11
"149";149;"Relative.Team.Size";126;"haar";1;0;11
"150";150;"Relative.Team.Size";126;"haar";1;0;11
"151";151;"Relative.Team.Size";126;"haar";1;0;11
"152";152;"Relative.Team.Size";126;"haar";1;0;11
"153";153;"Relative.Team.Size";126;"haar";1;0;11
"154";154;"Relative.Team.Size";126;"haar";1;0;11
"155";155;"Relative.Team.Size";126;"haar";1;0;11
"156";156;"Relative.Team.Size";126;"haar";1;0;11
"157";157;"Relative.Team.Size";126;"haar";1;0;11
"158";158;"Relative.Team.Size";126;"haar";1;0;11
"159";159;"Relative.Team.Size";126;"haar";1;0;11
"160";160;"Relative.Team.Size";126;"haar";1;0;11
"161";161;"Relative.Team.Size";126;"haar";1;0;11
"162";162;"Relative.Team.Size";126;"haar";1;0;11
"163";163;"Relative.Team.Size";126;"haar";1;0;11
"164";164;"Relative.Team.Size";126;"haar";1;0;11
"165";165;"Relative.Team.Size";126;"haar";1;0;11
"166";166;"Relative.Team.Size";126;"haar";1;0;11
"167";167;"Relative.Team.Size";126;"haar";1;0;11
"168";168;"Relative.Team.Size";126;"haar";1;0;11
"169";169;"Relative.Team.Size";126;"haar";1;0;11
"170";170;"Relative.Team.Size";126;"haar";1;0;11
"171";171;"Relative.Team.Size";126;"haar";1;0;11
"172";172;"Relative.Team.Size";126;"haar";1;0;11
"173";173;"Relative.Team.Size";126;"haar";1;0;11
"174";174;"Relative.Team.Size";126;"haar";1;0;11
"175";175;"Relative.Team.Size";126;"haar";1;0;11
"176";176;"Relative.Team.Size";126;"haar";1;0;11
"177";177;"Relative.Team.Size";126;"haar";1;0;11
"178";178;"Relative.Team.Size";126;"haar";1;0;11
"179";179;"Relative.Team.Size";126;"haar";1;0;11
"180";180;"Relative.Team.Size";126;"haar";1;0;11
"181";181;"Relative.Team.Size";126;"haar";1;0;11
"182";182;"Relative.Team.Size";126;"haar";1;0;11
"183";183;"Relative.Team.Size";126;"haar";1;0;11
"184";184;"Relative.Team.Size";126;"haar";1;0;11
"185";185;"Relative.Team.Size";126;"haar";1;0;11
"186";186;"Relative.Team.Size";126;"haar";1;0;11
"187";187;"Relative.Team.Size";126;"haar";1;0;11
"188";188;"Relative.Team.Size";126;"haar";1;0;11
"189";189;"Relative.Team.Size";126;"haar";1;0;11
"190";190;"Relative.Team.Size";126;"haar";1;0;11
"191";191;"Relative.Team.Size";126;"haar";1;0;11
"192";192;"Relative.Team.Size";126;"haar";1;0;11
"193";193;"Relative.Team.Size";126;"haar";1;0;11
"194";194;"Relative.Team.Size";126;"haar";1;0;11
"195";195;"Relative.Team.Size";126;"haar";1;0;11
"196";196;"Relative.Team.Size";126;"haar";1;0;11
"197";197;"Relative.Team.Size";126;"haar";1;0;11
"198";198;"Relative.Team.Size";126;"haar";1;0;11
"199";199;"Relative.Team.Size";126;"haar";1;0;11
"200";200;"Relative.Team.Size";126;"haar";1;0;11
"201";201;"Relative.Team.Size";126;"haar";1;0;11
"202";202;"Relative.Team.Size";126;"haar";1;0;11
"203";203;"Relative.Team.Size";126;"haar";1;0;11
"204";204;"Relative.Team.Size";126;"haar";1;0;11
"205";205;"Relative.Team.Size";126;"haar";1;0;11
"206";206;"Relative.Team.Size";126;"haar";1;0;11
"207";207;"Relative.Team.Size";126;"haar";1;0;11
"208";208;"Relative.Team.Size";126;"haar";1;0;11
"209";209;"Relative.Team.Size";126;"haar";1;0;11
"210";210;"Relative.Team.Size";126;"haar";1;0;11
"211";211;"Relative.Team.Size";126;"haar";1;0;11
"212";212;"Relative.Team.Size";126;"haar";1;0;11
"213";213;"Relative.Team.Size";126;"haar";1;0;11
"214";214;"Relative.Team.Size";126;"haar";1;0;11
"215";215;"Relative.Team.Size";126;"haar";1;0;11
"216";216;"Relative.Team.Size";126;"haar";1;0;11
"217";217;"Relative.Team.Size";126;"haar";1;0;11
"218";218;"Relative.Team.Size";126;"haar";1;0;11
"219";219;"Relative.Team.Size";126;"haar";1;0;11
"220";220;"Relative.Team.Size";126;"haar";1;0;11
"221";221;"Relative.Team.Size";126;"haar";1;0;11
"222";222;"Relative.Team.Size";126;"haar";1;0;11
"223";223;"Relative.Team.Size";126;"haar";1;0;11
"224";224;"Relative.Team.Size";126;"haar";1;0;11
"225";225;"Relative.Team.Size";126;"haar";1;0;11
"226";226;"Relative.Team.Size";126;"haar";1;0;11
"227";227;"Relative.Team.Size";126;"haar";1;0;11
"228";228;"Relative.Team.Size";126;"haar";1;0;11
"229";229;"Relative.Team.Size";126;"haar";1;0;11
"230";230;"Relative.Team.Size";126;"haar";1;0;11
"231";231;"Relative.Team.Size";126;"haar";1;0;11
"232";232;"Relative.Team.Size";126;"haar";1;0;11
"233";233;"Relative.Team.Size";126;"haar";1;0;11
"234";234;"Relative.Team.Size";126;"haar";1;0;11
"235";235;"Relative.Team.Size";126;"haar";1;0;11
"236";236;"Relative.Team.Size";126;"haar";1;0;11
"237";237;"Relative.Team.Size";126;"haar";1;0;11
"238";238;"Relative.Team.Size";126;"haar";1;0;11
"239";239;"Relative.Team.Size";126;"haar";1;0;11
"240";240;"Relative.Team.Size";126;"haar";1;0;11
"241";241;"Relative.Team.Size";126;"haar";1;0;11
"242";242;"Relative.Team.Size";126;"haar";1;0;11
"243";243;"Relative.Team.Size";126;"haar";1;0;11
"244";244;"Relative.Team.Size";126;"haar";1;0;11
"245";245;"Relative.Team.Size";126;"haar";1;0;11
"246";246;"Relative.Team.Size";126;"haar";1;0;11
"247";247;"Relative.Team.Size";126;"haar";1;0,124631812824816;11
"248";248;"Relative.Team.Size";126;"haar";1;0;11
"249";249;"Relative.Team.Size";126;"haar";1;0;11
"250";250;"Relative.Team.Size";126;"haar";1;0;11
"251";251;"Relative.Team.Size";126;"haar";1;0;11
"252";252;"Relative.Team.Size";126;"haar";1;0;11
"253";253;"Relative.Team.Size";126;"haar";1;0;11
"254";254;"Relative.Team.Size";126;"haar";1;0;11
"255";255;"Relative.Team.Size";126;"haar";1;0;11
"256";256;"Relative.Team.Size";126;"haar";1;0;11
"257";257;"Relative.Team.Size";126;"haar";1;0;11
"258";258;"Relative.Team.Size";126;"haar";1;0;11
"259";259;"Relative.Team.Size";126;"haar";1;0;11
"260";260;"Relative.Team.Size";126;"haar";1;0;11
"261";261;"Relative.Team.Size";126;"haar";1;0;11
"262";262;"Relative.Team.Size";126;"haar";1;0;11
"263";263;"Relative.Team.Size";126;"haar";1;0;11
"264";264;"Relative.Team.Size";126;"haar";1;0;11
