"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Active.Developers";170;"haar";1;1,9192898346492;8
"2";2;"Active.Developers";170;"haar";1;2,02030508910442;8
"3";3;"Active.Developers";170;"haar";1;2,43110045722232;8
"4";4;"Active.Developers";170;"haar";1;0,202030508910442;8
"5";5;"Active.Developers";170;"haar";1;2,02030508910442;8
"6";6;"Active.Developers";170;"haar";1;1,61624407128354;8
"7";7;"Active.Developers";170;"haar";1;3,03045763365663;8
"8";8;"Active.Developers";170;"haar";1;3,63654916038796;8
"9";9;"Active.Developers";170;"haar";1;2,12132034355964;8
"10";10;"Active.Developers";170;"haar";1;2,19937758563868;8
"11";11;"Active.Developers";170;"haar";1;3,3335033970223;8
"12";12;"Active.Developers";170;"haar";1;2,12132034355964;8
"13";13;"Active.Developers";170;"haar";1;4,87759371512353;8
"14";14;"Active.Developers";170;"haar";1;5,87572063414536;8
"15";15;"Active.Developers";170;"haar";1;8,48068977176333;8
"16";16;"Active.Developers";170;"haar";1;8,48528137423857;8
"17";17;"Active.Developers";170;"haar";1;8,48528137423857;8
"18";18;"Active.Developers";170;"haar";1;7,98020510196246;8
"19";19;"Active.Developers";170;"haar";1;11,0864241764605;8
"20";20;"Active.Developers";170;"haar";1;4,54568645048495;8
"21";21;"Active.Developers";170;"haar";1;4,59619407771256;8
"22";22;"Active.Developers";170;"haar";1;5,45482374058194;8
"23";23;"Active.Developers";170;"haar";1;8,05377277717682;8
"24";24;"Active.Developers";170;"haar";1;12,6016529932888;8
"25";25;"Active.Developers";170;"haar";1;8,18223561087291;8
"26";26;"Active.Developers";170;"haar";1;7,37411357523114;8
"27";27;"Active.Developers";170;"haar";1;4,98341921979091;8
"28";28;"Active.Developers";170;"haar";1;3,03045763365663;8
"29";29;"Active.Developers";170;"haar";1;5,55583899503716;8
"30";30;"Active.Developers";170;"haar";1;1,81827458019398;8
"31";31;"Active.Developers";170;"haar";1;0,90913729009699;8
"32";32;"Active.Developers";170;"haar";1;1,81827458019398;8
"33";33;"Active.Developers";170;"haar";1;4,54568645048495;8
"34";34;"Active.Developers";170;"haar";1;11,6704687230528;8
"35";35;"Active.Developers";170;"haar";1;12,1218305346265;8
"36";36;"Active.Developers";170;"haar";1;9,8850641859752;8
"37";37;"Active.Developers";170;"haar";1;14,8492424049175;8
"38";38;"Active.Developers";170;"haar";1;14,7259250812968;8
"39";39;"Active.Developers";170;"haar";1;18,1827458019398;8
"40";40;"Active.Developers";170;"haar";1;20,4050813999547;8
"41";41;"Active.Developers";170;"haar";1;21,011172926686;8
"42";42;"Active.Developers";170;"haar";1;17,7786847841189;8
"43";43;"Active.Developers";170;"haar";1;19,3949288554024;8
"44";44;"Active.Developers";170;"haar";1;16,465486476201;8
"45";45;"Active.Developers";170;"haar";1;18,8898525831263;8
"46";46;"Active.Developers";170;"haar";1;22,3243712346039;8
"47";47;"Active.Developers";170;"haar";1;22,3243712346039;8
"48";48;"Active.Developers";170;"haar";1;15,4553339316488;8
"49";49;"Active.Developers";170;"haar";1;21,8765369398524;8
"50";50;"Active.Developers";170;"haar";1;24,0416305603426;8
"51";51;"Active.Developers";170;"haar";1;19,0918830920368;8
"52";52;"Active.Developers";170;"haar";1;23,6375695425217;8
"53";53;"Active.Developers";170;"haar";1;23,2166726489583;8
"54";54;"Active.Developers";170;"haar";1;20,354573772727;8
"55";55;"Active.Developers";170;"haar";1;13,1740727685351;8
"56";56;"Active.Developers";170;"haar";1;13,1319830791787;8
"57";57;"Active.Developers";170;"haar";1;14,4451813870966;8
"58";58;"Active.Developers";170;"haar";1;17,0715780029324;8
"59";59;"Active.Developers";170;"haar";1;15,7583796950145;8
"60";60;"Active.Developers";170;"haar";1;11,8187847712609;8
"61";61;"Active.Developers";170;"haar";1;9,89949493661166;8
"62";62;"Active.Developers";170;"haar";1;10,9096474811639;8
"63";63;"Active.Developers";170;"haar";1;12,9804601974959;8
"64";64;"Active.Developers";170;"haar";1;13,3340135880892;8
"65";65;"Active.Developers";170;"haar";1;14,2691699588792;8
"66";66;"Active.Developers";170;"haar";1;11,1116779900743;8
"67";67;"Active.Developers";170;"haar";1;3,3335033970223;8
"68";68;"Active.Developers";170;"haar";1;10,0005101910669;8
"69";69;"Active.Developers";170;"haar";1;5,95990001285804;8
"70";70;"Active.Developers";170;"haar";1;4,84873221385061;8
"71";71;"Active.Developers";170;"haar";1;0;8
"72";72;"Active.Developers";170;"haar";1;4,84873221385061;8
"73";73;"Active.Developers";170;"haar";1;12,1218305346265;8
"74";74;"Active.Developers";170;"haar";1;12,1218305346265;8
"75";75;"Active.Developers";170;"haar";1;9,69746442770122;8
"76";76;"Active.Developers";170;"haar";1;13,8390898603653;8
"77";77;"Active.Developers";170;"haar";1;14,5967042687794;8
"78";78;"Active.Developers";170;"haar";1;14,7987347776899;8
"79";79;"Active.Developers";170;"haar";1;11,1790214930445;8
"80";80;"Active.Developers";170;"haar";1;7,07106781186547;8
"81";81;"Active.Developers";170;"haar";1;7,07106781186547;8
"82";82;"Active.Developers";170;"haar";1;18,8519718627056;8
"83";83;"Active.Developers";170;"haar";1;21,8024590865852;8
"84";84;"Active.Developers";170;"haar";1;24,0416305603426;8
"85";85;"Active.Developers";170;"haar";1;22,3243712346039;8
"86";86;"Active.Developers";170;"haar";1;22,3243712346039;8
"87";87;"Active.Developers";170;"haar";1;18,8898525831263;8
"88";88;"Active.Developers";170;"haar";1;25,1640222765117;8
"89";89;"Active.Developers";170;"haar";1;17,3674083909798;8
"90";90;"Active.Developers";170;"haar";1;18,1827458019398;8
"91";91;"Active.Developers";170;"haar";1;21,8192949623278;8
"92";92;"Active.Developers";170;"haar";1;25,1149176389293;8
"93";93;"Active.Developers";170;"haar";1;22,9304627613352;8
"94";94;"Active.Developers";170;"haar";1;23,6375695425217;8
"95";95;"Active.Developers";170;"haar";1;23,0314780157904;8
"96";96;"Active.Developers";170;"haar";1;23,7161369626536;8
"97";97;"Active.Developers";170;"haar";1;22,2233559801486;8
"98";98;"Active.Developers";170;"haar";1;21,6846079563875;8
"99";99;"Active.Developers";170;"haar";1;21,1121881811412;8
"100";100;"Active.Developers";170;"haar";1;26,8700576850888;8
"101";101;"Active.Developers";170;"haar";1;19,192898346492;8
"102";102;"Active.Developers";170;"haar";1;24,9507678504396;8
"103";103;"Active.Developers";170;"haar";1;19,3612571039174;8
"104";104;"Active.Developers";170;"haar";1;28,2842712474619;8
"105";105;"Active.Developers";170;"haar";1;29,7111117166419;8
"106";106;"Active.Developers";170;"haar";1;24,4456915781635;8
"107";107;"Active.Developers";170;"haar";1;31,0453548692379;8
"108";108;"Active.Developers";170;"haar";1;29,698484809835;8
"109";109;"Active.Developers";170;"haar";1;27,5771644662754;8
"110";110;"Active.Developers";170;"haar";1;29,7388909116171;8
"111";111;"Active.Developers";170;"haar";1;31,7880575019944;8
"112";112;"Active.Developers";170;"haar";1;28,9913780286484;8
"113";113;"Active.Developers";170;"haar";1;28,8903627741932;8
"114";114;"Active.Developers";170;"haar";1;31,3868826343008;8
"115";115;"Active.Developers";170;"haar";1;32,5269119345812;8
"116";116;"Active.Developers";170;"haar";1;26,1721341088527;8
"117";117;"Active.Developers";170;"haar";1;27,5771644662754;8
"118";118;"Active.Developers";170;"haar";1;23,3345237791561;8
"119";119;"Active.Developers";170;"haar";1;29,3954390464693;8
"120";120;"Active.Developers";170;"haar";1;30,0941278897846;8
"121";121;"Active.Developers";170;"haar";1;30,3190070872028;8
"122";122;"Active.Developers";170;"haar";1;30,5800154465405;8
"123";123;"Active.Developers";170;"haar";1;28,2337636202343;8
"124";124;"Active.Developers";170;"haar";1;29,698484809835;8
"125";125;"Active.Developers";170;"haar";1;30,5402785969618;8
"126";126;"Active.Developers";170;"haar";1;26,8296515833067;8
"127";127;"Active.Developers";170;"haar";1;22,2233559801486;8
"128";128;"Active.Developers";170;"haar";1;20,2030508910442;8
"129";129;"Active.Developers";170;"haar";1;16,1624407128354;8
"130";130;"Active.Developers";170;"haar";1;20,2030508910442;8
"131";131;"Active.Developers";170;"haar";1;28,2842712474619;8
"132";132;"Active.Developers";170;"haar";1;23,519718412324;8
"133";133;"Active.Developers";170;"haar";1;24,9507678504396;8
"134";134;"Active.Developers";170;"haar";1;26,2639661583575;8
"135";135;"Active.Developers";170;"haar";1;22,2233559801486;8
"136";136;"Active.Developers";170;"haar";1;24,2436610692531;8
"137";137;"Active.Developers";170;"haar";1;24,2436610692531;8
"138";138;"Active.Developers";170;"haar";1;26,4904852138025;8
"139";139;"Active.Developers";170;"haar";1;25,2874853652903;8
"140";140;"Active.Developers";170;"haar";1;23,0567318294042;8
"141";141;"Active.Developers";170;"haar";1;26,8700576850888;8
"142";142;"Active.Developers";170;"haar";1;24,6982297143016;8
"143";143;"Active.Developers";170;"haar";1;21,1121881811412;8
"144";144;"Active.Developers";170;"haar";1;19,192898346492;8
"145";145;"Active.Developers";170;"haar";1;19,192898346492;8
"146";146;"Active.Developers";170;"haar";1;22,5660863077646;8
"147";147;"Active.Developers";170;"haar";1;20,3798275863409;8
"148";148;"Active.Developers";170;"haar";1;21,6172644534173;8
"149";149;"Active.Developers";170;"haar";1;21,011172926686;8
"150";150;"Active.Developers";170;"haar";1;14,1589714994735;8
"151";151;"Active.Developers";170;"haar";1;14,1421356237309;8
"152";152;"Active.Developers";170;"haar";1;12,7279220613579;8
"153";153;"Active.Developers";170;"haar";1;7,57614408414158;8
"154";154;"Active.Developers";170;"haar";1;12,795265564328;8
"155";155;"Active.Developers";170;"haar";1;11,3137084989848;8
"156";156;"Active.Developers";170;"haar";1;14,1421356237309;8
"157";157;"Active.Developers";170;"haar";1;9,76480793067137;8
"158";158;"Active.Developers";170;"haar";1;7,52900363206248;8
"159";159;"Active.Developers";170;"haar";1;6,67542473191586;8
"160";160;"Active.Developers";170;"haar";1;2,20970869120796;8
"161";1;"Active.Developers";170;"haar";2;2,78571428571429;7
"162";2;"Active.Developers";170;"haar";2;1,86190476190476;7
"163";3;"Active.Developers";170;"haar";2;2,57142857142857;7
"164";4;"Active.Developers";170;"haar";2;4,71428571428571;7
"165";5;"Active.Developers";170;"haar";2;3,0551948051948;7
"166";6;"Active.Developers";170;"haar";2;3,85714285714286;7
"167";7;"Active.Developers";170;"haar";2;7,60374149659864;7
"168";8;"Active.Developers";170;"haar";2;11,9967532467532;7
"169";9;"Active.Developers";170;"haar";2;11,6428571428571;7
"170";10;"Active.Developers";170;"haar";2;11,0535714285714;7
"171";11;"Active.Developers";170;"haar";2;7,10714285714286;7
"172";12;"Active.Developers";170;"haar";2;14,6055916305916;7
"173";13;"Active.Developers";170;"haar";2;11;7
"174";14;"Active.Developers";170;"haar";2;5,66666666666667;7
"175";15;"Active.Developers";170;"haar";2;5,21428571428571;7
"176";16;"Active.Developers";170;"haar";2;1,92857142857143;7
"177";17;"Active.Developers";170;"haar";2;11,4665532879819;7
"178";18;"Active.Developers";170;"haar";2;15,5612244897959;7
"179";19;"Active.Developers";170;"haar";2;20,9128014842301;7
"180";20;"Active.Developers";170;"haar";2;27,2857142857143;7
"181";21;"Active.Developers";170;"haar";2;27,4285714285714;7
"182";22;"Active.Developers";170;"haar";2;25,3571428571429;7
"183";23;"Active.Developers";170;"haar";2;29,1428571428571;7
"184";24;"Active.Developers";170;"haar";2;26,7142857142857;7
"185";25;"Active.Developers";170;"haar";2;32,4690476190476;7
"186";26;"Active.Developers";170;"haar";2;30,2142857142857;7
"187";27;"Active.Developers";170;"haar";2;30,8095238095238;7
"188";28;"Active.Developers";170;"haar";2;18,6011904761905;7
"189";29;"Active.Developers";170;"haar";2;22,2857142857143;7
"190";30;"Active.Developers";170;"haar";2;19,5;7
"191";31;"Active.Developers";170;"haar";2;14,7142857142857;7
"192";32;"Active.Developers";170;"haar";2;18,6071428571429;7
"193";33;"Active.Developers";170;"haar";2;17,9469696969697;7
"194";34;"Active.Developers";170;"haar";2;9,42857142857143;7
"195";35;"Active.Developers";170;"haar";2;7,64285714285714;7
"196";36;"Active.Developers";170;"haar";2;3,42857142857143;7
"197";37;"Active.Developers";170;"haar";2;17,1428571428571;7
