"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";339;"haar";1;213,015917832447;4
"2";2;"Commit.LOC.Added";339;"haar";1;125,56196128784;4
"3";3;"Commit.LOC.Added";339;"haar";1;0;4
"4";4;"Commit.LOC.Added";339;"haar";1;231,143947038224;4
"5";5;"Commit.LOC.Added";339;"haar";1;0;4
"6";6;"Commit.LOC.Added";339;"haar";1;0;4
"7";7;"Commit.LOC.Added";339;"haar";1;0;4
"8";8;"Commit.LOC.Added";339;"haar";1;0;4
"9";9;"Commit.LOC.Added";339;"haar";1;0;4
"10";10;"Commit.LOC.Added";339;"haar";1;118,288862967064;4
"11";1;"Commit.LOC.Added";339;"haar";2;239,410714285714;3
"12";2;"Commit.LOC.Added";339;"haar";2;163,443452380952;3
"13";3;"Commit.LOC.Added";339;"haar";2;0;3
"14";4;"Commit.LOC.Added";339;"haar";2;0;3
"15";5;"Commit.LOC.Added";339;"haar";2;83,6428571428571;3
