"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Churn";140;"haar";1;32,9237575770838;8
"2";2;"Commit.LOC.Churn";140;"haar";1;755,778379637726;8
"3";3;"Commit.LOC.Churn";140;"haar";1;533,062730729372;8
"4";4;"Commit.LOC.Churn";140;"haar";1;419,040464953135;8
"5";5;"Commit.LOC.Churn";140;"haar";1;512,667313559389;8
"6";6;"Commit.LOC.Churn";140;"haar";1;310,957969021445;8
"7";7;"Commit.LOC.Churn";140;"haar";1;102,114396628698;8
"8";8;"Commit.LOC.Churn";140;"haar";1;362,939391319738;8
"9";9;"Commit.LOC.Churn";140;"haar";1;1397,59992019036;8
"10";10;"Commit.LOC.Churn";140;"haar";1;28,0148972355813;8
"11";11;"Commit.LOC.Churn";140;"haar";1;693,469721835093;8
"12";12;"Commit.LOC.Churn";140;"haar";1;693,570737089548;8
"13";13;"Commit.LOC.Churn";140;"haar";1;941,803098006447;8
"14";14;"Commit.LOC.Churn";140;"haar";1;122,297415207011;8
"15";15;"Commit.LOC.Churn";140;"haar";1;294,657288276944;8
"16";16;"Commit.LOC.Churn";140;"haar";1;70,1887659706361;8
"17";17;"Commit.LOC.Churn";140;"haar";1;750,725168060312;8
"18";18;"Commit.LOC.Churn";140;"haar";1;108,987041619312;8
"19";19;"Commit.LOC.Churn";140;"haar";1;34,9505565039747;8
"20";20;"Commit.LOC.Churn";140;"haar";1;25,5164532753888;8
"21";21;"Commit.LOC.Churn";140;"haar";1;1,85194633167905;8
"22";22;"Commit.LOC.Churn";140;"haar";1;2,28967910098501;8
"23";23;"Commit.LOC.Churn";140;"haar";1;23,0946125498249;8
"24";24;"Commit.LOC.Churn";140;"haar";1;29,4178868807927;8
"25";25;"Commit.LOC.Churn";140;"haar";1;3,18198051533946;8
"26";26;"Commit.LOC.Churn";140;"haar";1;88,624049908714;8
"27";27;"Commit.LOC.Churn";140;"haar";1;218,977020407859;8
"28";28;"Commit.LOC.Churn";140;"haar";1;249,298913645189;8
"29";29;"Commit.LOC.Churn";140;"haar";1;125,369150425169;8
"30";30;"Commit.LOC.Churn";140;"haar";1;115,959499301829;8
"31";31;"Commit.LOC.Churn";140;"haar";1;104,060864377046;8
"32";32;"Commit.LOC.Churn";140;"haar";1;73,9633693121129;8
"33";33;"Commit.LOC.Churn";140;"haar";1;2,18866384652979;8
"34";34;"Commit.LOC.Churn";140;"haar";1;79,8150386951975;8
"35";35;"Commit.LOC.Churn";140;"haar";1;89,1392277064356;8
"36";36;"Commit.LOC.Churn";140;"haar";1;6,51548391236176;8
"37";37;"Commit.LOC.Churn";140;"haar";1;23,0651497672755;8
"38";38;"Commit.LOC.Churn";140;"haar";1;46,0629560315808;8
"39";39;"Commit.LOC.Churn";140;"haar";1;47,4940054696964;8
"40";40;"Commit.LOC.Churn";140;"haar";1;77,2451995212792;8
"41";41;"Commit.LOC.Churn";140;"haar";1;658,737310178239;8
"42";42;"Commit.LOC.Churn";140;"haar";1;21,7435335214863;8
"43";43;"Commit.LOC.Churn";140;"haar";1;374,909698972682;8
"44";44;"Commit.LOC.Churn";140;"haar";1;51,2363801347518;8
"45";45;"Commit.LOC.Churn";140;"haar";1;385,43717207449;8
"46";46;"Commit.LOC.Churn";140;"haar";1;23,6023672568782;8
"47";47;"Commit.LOC.Churn";140;"haar";1;104,07433307764;8
"48";48;"Commit.LOC.Churn";140;"haar";1;339,061189010353;8
"49";49;"Commit.LOC.Churn";140;"haar";1;124,905362133881;8
"50";50;"Commit.LOC.Churn";140;"haar";1;312,51594347084;8
"51";51;"Commit.LOC.Churn";140;"haar";1;68,7456909069901;8
"52";52;"Commit.LOC.Churn";140;"haar";1;114,625764925697;8
"53";53;"Commit.LOC.Churn";140;"haar";1;37,4429876514019;8
"54";54;"Commit.LOC.Churn";140;"haar";1;83,7046070167447;8
"55";55;"Commit.LOC.Churn";140;"haar";1;3,75440029058572;8
"56";56;"Commit.LOC.Churn";140;"haar";1;0,505076272276105;8
"57";57;"Commit.LOC.Churn";140;"haar";1;12,2733534163094;8
"58";58;"Commit.LOC.Churn";140;"haar";1;103,692158698284;8
"59";59;"Commit.LOC.Churn";140;"haar";1;106,791162397464;8
"60";60;"Commit.LOC.Churn";140;"haar";1;174,971889417037;8
"61";61;"Commit.LOC.Churn";140;"haar";1;52,8676963233667;8
"62";62;"Commit.LOC.Churn";140;"haar";1;219,705372460815;8
"63";63;"Commit.LOC.Churn";140;"haar";1;88,0985300730362;8
"64";64;"Commit.LOC.Churn";140;"haar";1;177,670920811076;8
"65";65;"Commit.LOC.Churn";140;"haar";1;62,0133303043813;8
"66";66;"Commit.LOC.Churn";140;"haar";1;4,97500128191964;8
"67";67;"Commit.LOC.Churn";140;"haar";1;91,5164329145854;8
"68";68;"Commit.LOC.Churn";140;"haar";1;152,459534126995;8
"69";69;"Commit.LOC.Churn";140;"haar";1;475,550348761815;8
"70";70;"Commit.LOC.Churn";140;"haar";1;517,141711303936;8
"71";71;"Commit.LOC.Churn";140;"haar";1;105,457280013634;8
"72";72;"Commit.LOC.Churn";140;"haar";1;28,2337636202343;8
"73";73;"Commit.LOC.Churn";140;"haar";1;47,544513096924;8
"74";74;"Commit.LOC.Churn";140;"haar";1;101,974899372546;8
"75";75;"Commit.LOC.Churn";140;"haar";1;24,3951839509359;8
"76";76;"Commit.LOC.Churn";140;"haar";1;89,6047396707167;8
"77";77;"Commit.LOC.Churn";140;"haar";1;76,8136830753243;8
"78";78;"Commit.LOC.Churn";140;"haar";1;246,510346002882;8
"79";79;"Commit.LOC.Churn";140;"haar";1;75,315990757639;8
"80";80;"Commit.LOC.Churn";140;"haar";1;271,596347478604;8
"81";81;"Commit.LOC.Churn";140;"haar";1;366,292317363421;8
"82";82;"Commit.LOC.Churn";140;"haar";1;650,693495617176;8
"83";83;"Commit.LOC.Churn";140;"haar";1;1264,67911787171;8
"84";84;"Commit.LOC.Churn";140;"haar";1;1605,95964700608;8
"85";85;"Commit.LOC.Churn";140;"haar";1;416,359968078419;8
"86";86;"Commit.LOC.Churn";140;"haar";1;93,4407228981393;8
"87";87;"Commit.LOC.Churn";140;"haar";1;67,2934969651916;8
"88";88;"Commit.LOC.Churn";140;"haar";1;39,5786184893427;8
"89";89;"Commit.LOC.Churn";140;"haar";1;57,5007252564917;8
"90";90;"Commit.LOC.Churn";140;"haar";1;99,364908241644;8
"91";91;"Commit.LOC.Churn";140;"haar";1;8,69572982102028;8
