"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";169;"haar";1;0;8
"2";2;"Commit.LOC.Removed";169;"haar";1;6,46497628513415;8
"3";3;"Commit.LOC.Removed";169;"haar";1;152,145809085305;8
"4";4;"Commit.LOC.Removed";169;"haar";1;153,644202026391;8
"5";5;"Commit.LOC.Removed";169;"haar";1;6,24917096879799;8
"6";6;"Commit.LOC.Removed";169;"haar";1;6,75539514169291;8
"7";7;"Commit.LOC.Removed";169;"haar";1;1,71725932573876;8
"8";8;"Commit.LOC.Removed";169;"haar";1;162,600887921421;8
"9";9;"Commit.LOC.Removed";169;"haar";1;20,7417989148054;8
"10";10;"Commit.LOC.Removed";169;"haar";1;0;8
"11";11;"Commit.LOC.Removed";169;"haar";1;89,8362329621766;8
"12";12;"Commit.LOC.Removed";169;"haar";1;6,79327586211362;8
"13";13;"Commit.LOC.Removed";169;"haar";1;5,81174430632372;8
"14";14;"Commit.LOC.Removed";169;"haar";1;0;8
"15";15;"Commit.LOC.Removed";169;"haar";1;65,4578848869833;8
"16";16;"Commit.LOC.Removed";169;"haar";1;1,76776695296637;8
"17";17;"Commit.LOC.Removed";169;"haar";1;81,1758584802157;8
"18";18;"Commit.LOC.Removed";169;"haar";1;15,0512729138279;8
"19";19;"Commit.LOC.Removed";169;"haar";1;10,9433192326489;8
"20";20;"Commit.LOC.Removed";169;"haar";1;21,3983980687643;8
"21";21;"Commit.LOC.Removed";169;"haar";1;79,454831125144;8
"22";22;"Commit.LOC.Removed";169;"haar";1;61,620427609401;8
"23";23;"Commit.LOC.Removed";169;"haar";1;216,593541427737;8
"24";24;"Commit.LOC.Removed";169;"haar";1;38,8908729652601;8
"25";25;"Commit.LOC.Removed";169;"haar";1;14,6808836474921;8
"26";26;"Commit.LOC.Removed";169;"haar";1;0;8
"27";27;"Commit.LOC.Removed";169;"haar";1;96,1328504898854;8
"28";28;"Commit.LOC.Removed";169;"haar";1;1,01015254455221;8
"29";29;"Commit.LOC.Removed";169;"haar";1;0;8
"30";30;"Commit.LOC.Removed";169;"haar";1;626,617826436627;8
"31";31;"Commit.LOC.Removed";169;"haar";1;157,568066960358;8
"32";32;"Commit.LOC.Removed";169;"haar";1;276,670297793865;8
"33";33;"Commit.LOC.Removed";169;"haar";1;9,81868273304749;8
"34";34;"Commit.LOC.Removed";169;"haar";1;2,14657415717345;8
"35";35;"Commit.LOC.Removed";169;"haar";1;10,551142362411;8
"36";36;"Commit.LOC.Removed";169;"haar";1;5,82521300691775;8
"37";37;"Commit.LOC.Removed";169;"haar";1;5,16139847764058;8
"38";38;"Commit.LOC.Removed";169;"haar";1;2,09967421760495;8
"39";39;"Commit.LOC.Removed";169;"haar";1;49,9816140329367;8
"40";40;"Commit.LOC.Removed";169;"haar";1;147,164073453089;8
"41";41;"Commit.LOC.Removed";169;"haar";1;7,62121242843699;8
"42";42;"Commit.LOC.Removed";169;"haar";1;47,9986007169513;8
"43";43;"Commit.LOC.Removed";169;"haar";1;81,2128974068492;8
"44";44;"Commit.LOC.Removed";169;"haar";1;1,6400548098337;8
"45";45;"Commit.LOC.Removed";169;"haar";1;1,08086322267087;8
"46";46;"Commit.LOC.Removed";169;"haar";1;11,6057164101256;8
"47";47;"Commit.LOC.Removed";169;"haar";1;6,355943946992;8
"48";48;"Commit.LOC.Removed";169;"haar";1;22,4935933702724;8
"49";49;"Commit.LOC.Removed";169;"haar";1;57,2756492761103;8
"50";50;"Commit.LOC.Removed";169;"haar";1;0,420896893563421;8
"51";51;"Commit.LOC.Removed";169;"haar";1;7,88199582679767;8
"52";52;"Commit.LOC.Removed";169;"haar";1;0,202030508910442;8
"53";53;"Commit.LOC.Removed";169;"haar";1;7,49918008074713;8
"54";54;"Commit.LOC.Removed";169;"haar";1;695,658385681622;8
"55";55;"Commit.LOC.Removed";169;"haar";1;5,18544972870135;8
"56";56;"Commit.LOC.Removed";169;"haar";1;6,28656702006854;8
"57";57;"Commit.LOC.Removed";169;"haar";1;8,84841826333144;8
"58";58;"Commit.LOC.Removed";169;"haar";1;84,1256689679134;8
"59";59;"Commit.LOC.Removed";169;"haar";1;142,970256805623;8
"60";60;"Commit.LOC.Removed";169;"haar";1;1,69200551212495;8
"61";61;"Commit.LOC.Removed";169;"haar";1;1,21218305346265;8
"62";62;"Commit.LOC.Removed";169;"haar";1;5,01949609638206;8
"63";63;"Commit.LOC.Removed";169;"haar";1;21,7250140581695;8
"64";64;"Commit.LOC.Removed";169;"haar";1;71,9419418312923;8
"65";65;"Commit.LOC.Removed";169;"haar";1;9,23447784478146;8
"66";66;"Commit.LOC.Removed";169;"haar";1;13,4417631928414;8
"67";67;"Commit.LOC.Removed";169;"haar";1;10,6200704183922;8
"68";68;"Commit.LOC.Removed";169;"haar";1;5,29768890031826;8
"69";69;"Commit.LOC.Removed";169;"haar";1;14,2936585054138;8
"70";70;"Commit.LOC.Removed";169;"haar";1;546,947095247794;8
"71";71;"Commit.LOC.Removed";169;"haar";1;0;8
"72";72;"Commit.LOC.Removed";169;"haar";1;28,6714963895402;8
"73";73;"Commit.LOC.Removed";169;"haar";1;28,6883322652828;8
"74";74;"Commit.LOC.Removed";169;"haar";1;17,0874572948259;8
"75";75;"Commit.LOC.Removed";169;"haar";1;224,984541897817;8
"76";76;"Commit.LOC.Removed";169;"haar";1;45,8072172289554;8
"77";77;"Commit.LOC.Removed";169;"haar";1;16,49675310258;8
"78";78;"Commit.LOC.Removed";169;"haar";1;18,6911892493644;8
"79";79;"Commit.LOC.Removed";169;"haar";1;260,621128691917;8
"80";80;"Commit.LOC.Removed";169;"haar";1;392,799784778759;8
"81";81;"Commit.LOC.Removed";169;"haar";1;23,2175144427454;8
"82";82;"Commit.LOC.Removed";169;"haar";1;35,5977756700199;8
"83";83;"Commit.LOC.Removed";169;"haar";1;441,814107324176;8
"84";84;"Commit.LOC.Removed";169;"haar";1;18,7006790523321;8
"85";85;"Commit.LOC.Removed";169;"haar";1;199,458788805351;8
"86";86;"Commit.LOC.Removed";169;"haar";1;96,2271313940436;8
"87";87;"Commit.LOC.Removed";169;"haar";1;147,46543562888;8
"88";88;"Commit.LOC.Removed";169;"haar";1;0,202030508910442;8
"89";89;"Commit.LOC.Removed";169;"haar";1;141,368208933815;8
"90";90;"Commit.LOC.Removed";169;"haar";1;14,8677916878748;8
"91";91;"Commit.LOC.Removed";169;"haar";1;79,3962268782296;8
"92";92;"Commit.LOC.Removed";169;"haar";1;105,692471815659;8
"93";93;"Commit.LOC.Removed";169;"haar";1;180,839241283393;8
"94";94;"Commit.LOC.Removed";169;"haar";1;177,854471942088;8
"95";95;"Commit.LOC.Removed";169;"haar";1;123,095385235303;8
"96";96;"Commit.LOC.Removed";169;"haar";1;69,8545738371467;8
"97";97;"Commit.LOC.Removed";169;"haar";1;540,376716176951;8
"98";98;"Commit.LOC.Removed";169;"haar";1;408,971255643129;8
"99";99;"Commit.LOC.Removed";169;"haar";1;1805,27223335802;8
"100";100;"Commit.LOC.Removed";169;"haar";1;76,1095314909189;8
"101";101;"Commit.LOC.Removed";169;"haar";1;25,3548288682605;8
"102";102;"Commit.LOC.Removed";169;"haar";1;262,484531014233;8
"103";103;"Commit.LOC.Removed";169;"haar";1;4,74771695939539;8
"104";104;"Commit.LOC.Removed";169;"haar";1;194,969542624022;8
"105";105;"Commit.LOC.Removed";169;"haar";1;153,108897704486;8
"106";106;"Commit.LOC.Removed";169;"haar";1;316,898321926622;8
"107";107;"Commit.LOC.Removed";169;"haar";1;3179,50564160531;8
"108";108;"Commit.LOC.Removed";169;"haar";1;0,875465538611916;8
"109";109;"Commit.LOC.Removed";169;"haar";1;0,505076272276105;8
"110";110;"Commit.LOC.Removed";169;"haar";1;196,308716283086;8
"111";111;"Commit.LOC.Removed";169;"haar";1;0,26937401188059;8
"112";112;"Commit.LOC.Removed";169;"haar";1;2,67690424306336;8
