Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Commits;17;5;6;147;6;27;4;4,440892e-16;6,5-1,0-1,0-1,0;0,6481812;-0,375
Date;Commits;17;5;6;340;5;1;4;0;6,5-1,0-1,0-1,0;11;-4,5
Date;Commits;17;6;3;378;5;11;4;3,08642e-14;4,2426407-2,4748737-0,7071068-0,7071068;1;-2,828427
Date;Commits;18;6;26;163;6;12;4;NaN;0,3535534-0,0000000-0,3535534-0,3535534;0,7071068;0
Date;Commits;18;6;26;340;6;7;4;Inf;0,3535534-0,0000000-0,3535534-0,3535534;0,5;5,551115e-17
Date;Commits;18;6;26;340;6;7;5;Inf;0,3535534-0,0000000-0,3535534-0,3535534-0,3535534;0,5;5,551115e-17
Date;Commits;18;6;27;340;6;8;4;NaN;0,0000000-0,3535534-0,3535534-0,3535534;0,5;0
Date;Commits;121;5;3;140;5;2;4;0,004230377;50,00-22,75-46,00-35,75;0,6646341;5,967988
Date;Commits;139;6;34;147;4;1;4;0,004977928; 20,85965- 39,24443-103,23759- 37,47666;0,1625;9,598975
Date;Commits;140;4;3;170;6;8;4;0,004568594; 63,63961-130,10765-226,27417-164,93266;1,540984;49,47429
Date;Commits;147;6;27;340;5;1;4;0;10,60660- 2,12132- 2,12132- 2,12132;16,97056;-6,363961
Date;Commits;149;5;23;168;5;6;4;0,002633106; 40,0-125,5- 36,5-115,5;3,525773;-166,2577
Date;Commits;149;6;28;170;5;10;4;NaN; 0,000000- 6,363961-14,849242- 8,485281;0,146298;-9,472793
Date;Commits;163;6;12;340;6;7;4;NaN;0,5-0,0-0,5-0,5;0,7071068;0
