"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.Developers";363;"haar";1;19,7989898732233;5
"2";2;"Cumulative.Developers";363;"haar";1;19,7989898732233;5
"3";3;"Cumulative.Developers";363;"haar";1;19,7989898732233;5
"4";4;"Cumulative.Developers";363;"haar";1;19,7989898732233;5
"5";5;"Cumulative.Developers";363;"haar";1;19,7989898732233;5
"6";6;"Cumulative.Developers";363;"haar";1;19,7989898732233;5
"7";7;"Cumulative.Developers";363;"haar";1;34,6482322781408;5
"8";8;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"9";9;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"10";10;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"11";11;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"12";12;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"13";13;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"14";14;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"15";15;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"16";16;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"17";17;"Cumulative.Developers";363;"haar";1;42,4264068711928;5
"18";18;"Cumulative.Developers";363;"haar";1;48,7903679018718;5
"19";19;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"20";20;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"21";21;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"22";22;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"23";23;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"24";24;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"25";25;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"26";26;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"27";27;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"28";28;"Cumulative.Developers";363;"haar";1;55,1543289325507;5
"29";1;"Cumulative.Developers";363;"haar";2;28;4
"30";2;"Cumulative.Developers";363;"haar";2;28;4
"31";3;"Cumulative.Developers";363;"haar";2;28;4
"32";4;"Cumulative.Developers";363;"haar";2;54,5;4
"33";5;"Cumulative.Developers";363;"haar";2;60;4
"34";6;"Cumulative.Developers";363;"haar";2;60;4
"35";7;"Cumulative.Developers";363;"haar";2;60;4
"36";8;"Cumulative.Developers";363;"haar";2;60;4
"37";9;"Cumulative.Developers";363;"haar";2;64,5;4
"38";10;"Cumulative.Developers";363;"haar";2;78;4
"39";11;"Cumulative.Developers";363;"haar";2;78;4
"40";12;"Cumulative.Developers";363;"haar";2;78;4
"41";13;"Cumulative.Developers";363;"haar";2;78;4
"42";14;"Cumulative.Developers";363;"haar";2;78;4
"43";1;"Cumulative.Developers";363;"haar";3;39,5979797464466;3
"44";2;"Cumulative.Developers";363;"haar";3;58,3363094478901;3
"45";3;"Cumulative.Developers";363;"haar";3;84,8528137423857;3
"46";4;"Cumulative.Developers";363;"haar";3;84,8528137423857;3
"47";5;"Cumulative.Developers";363;"haar";3;100,762716319083;3
"48";6;"Cumulative.Developers";363;"haar";3;110,308657865101;3
"49";7;"Cumulative.Developers";363;"haar";3;110,308657865101;3
"50";1;"Cumulative.Developers";363;"haar";4;101,25;2
"51";2;"Cumulative.Developers";363;"haar";4;131,25;2
"52";3;"Cumulative.Developers";363;"haar";4;156;2
