"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"2";2;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"3";3;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"4";4;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"5";5;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"6";6;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"7";7;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"8";8;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"9";9;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"10";10;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"11";11;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"12";12;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"13";13;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"14";14;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"15";15;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"16";16;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"17";17;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"18";18;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"19";19;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"20";20;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"21";21;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"22";22;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"23";23;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"24";24;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"25";25;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"26";26;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"27";27;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"28";28;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"29";29;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"30";30;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"31";31;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"32";32;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"33";33;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"34";34;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"35";35;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"36";36;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"37";37;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"38";38;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"39";39;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"40";40;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"41";41;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"42";42;"Cumulative.LOC.Added";126;"haar";1;408,707719525824;9
"43";43;"Cumulative.LOC.Added";126;"haar";1;42999,8704707351;9
"44";44;"Cumulative.LOC.Added";126;"haar";1;85885,8967496993;9
"45";45;"Cumulative.LOC.Added";126;"haar";1;86942,3142807919;9
"46";46;"Cumulative.LOC.Added";126;"haar";1;88040,4511119746;9
"47";47;"Cumulative.LOC.Added";126;"haar";1;88478,8573163103;9
"48";48;"Cumulative.LOC.Added";126;"haar";1;91161,6204441321;9
"49";49;"Cumulative.LOC.Added";126;"haar";1;91976,207456059;9
"50";50;"Cumulative.LOC.Added";126;"haar";1;96870,8005954323;9
"51";51;"Cumulative.LOC.Added";126;"haar";1;100211,880136539;9
"52";52;"Cumulative.LOC.Added";126;"haar";1;101240,720503165;9
"53";53;"Cumulative.LOC.Added";126;"haar";1;106334,717754833;9
"54";54;"Cumulative.LOC.Added";126;"haar";1;115182,74490782;9
"55";55;"Cumulative.LOC.Added";126;"haar";1;124662,925523188;9
"56";56;"Cumulative.LOC.Added";126;"haar";1;127311,747525513;9
"57";57;"Cumulative.LOC.Added";126;"haar";1;130908,092614628;9
"58";58;"Cumulative.LOC.Added";126;"haar";1;133962,086802573;9
"59";59;"Cumulative.LOC.Added";126;"haar";1;137202,757180751;9
"60";60;"Cumulative.LOC.Added";126;"haar";1;142245,842744173;9
"61";61;"Cumulative.LOC.Added";126;"haar";1;142746,474345253;9
"62";62;"Cumulative.LOC.Added";126;"haar";1;144034,115793794;9
"63";63;"Cumulative.LOC.Added";126;"haar";1;149436,411602059;9
"64";64;"Cumulative.LOC.Added";126;"haar";1;158804,869346;9
"65";65;"Cumulative.LOC.Added";126;"haar";1;159842,194994;9
"66";66;"Cumulative.LOC.Added";126;"haar";1;161897,75440691;9
"67";67;"Cumulative.LOC.Added";126;"haar";1;166324,242857137;9
"68";68;"Cumulative.LOC.Added";126;"haar";1;173662,597032291;9
"69";69;"Cumulative.LOC.Added";126;"haar";1;189908,375330052;9
"70";70;"Cumulative.LOC.Added";126;"haar";1;195854,43625305;9
"71";71;"Cumulative.LOC.Added";126;"haar";1;199475,530079506;9
"72";72;"Cumulative.LOC.Added";126;"haar";1;201579,879860317;9
"73";73;"Cumulative.LOC.Added";126;"haar";1;205955,4566223;9
"74";74;"Cumulative.LOC.Added";126;"haar";1;207380,276786391;9
"75";75;"Cumulative.LOC.Added";126;"haar";1;209120,466574891;9
"76";76;"Cumulative.LOC.Added";126;"haar";1;215315,429084866;9
"77";77;"Cumulative.LOC.Added";126;"haar";1;220012,032325507;9
"78";78;"Cumulative.LOC.Added";126;"haar";1;221103,098088878;9
"79";79;"Cumulative.LOC.Added";126;"haar";1;221122,18997197;9
"80";80;"Cumulative.LOC.Added";126;"haar";1;259817,901465623;9
"81";81;"Cumulative.LOC.Added";126;"haar";1;268175,903619248;9
"82";82;"Cumulative.LOC.Added";126;"haar";1;279673,459881341;9
"83";83;"Cumulative.LOC.Added";126;"haar";1;281165,455189644;9
"84";84;"Cumulative.LOC.Added";126;"haar";1;282706,947972631;9
"85";85;"Cumulative.LOC.Added";126;"haar";1;288778,87390268;9
"86";86;"Cumulative.LOC.Added";126;"haar";1;294040,455461489;9
"87";87;"Cumulative.LOC.Added";126;"haar";1;295464,568518799;9
"88";88;"Cumulative.LOC.Added";126;"haar";1;299876,914833403;9
"89";89;"Cumulative.LOC.Added";126;"haar";1;307775,297579257;9
"90";90;"Cumulative.LOC.Added";126;"haar";1;310805,957243422;9
"91";91;"Cumulative.LOC.Added";126;"haar";1;312884,851180111;9
"92";92;"Cumulative.LOC.Added";126;"haar";1;312928,691800544;9
"93";93;"Cumulative.LOC.Added";126;"haar";1;316182,090100784;9
"94";94;"Cumulative.LOC.Added";126;"haar";1;319249,519317571;9
"95";95;"Cumulative.LOC.Added";126;"haar";1;320237,347490888;9
"96";96;"Cumulative.LOC.Added";126;"haar";1;320673,63237488;9
"97";97;"Cumulative.LOC.Added";126;"haar";1;320909,806039797;9
"98";98;"Cumulative.LOC.Added";126;"haar";1;322506,453151716;9
"99";99;"Cumulative.LOC.Added";126;"haar";1;326103,505347612;9
"100";100;"Cumulative.LOC.Added";126;"haar";1;328121,588101118;9
"101";101;"Cumulative.LOC.Added";126;"haar";1;328139,972877429;9
"102";102;"Cumulative.LOC.Added";126;"haar";1;328402,309493249;9
"103";103;"Cumulative.LOC.Added";126;"haar";1;328458,878035744;9
"104";104;"Cumulative.LOC.Added";126;"haar";1;328711,315156628;9
"105";105;"Cumulative.LOC.Added";126;"haar";1;341565,102225037;9
"106";106;"Cumulative.LOC.Added";126;"haar";1;342043,106409119;9
"107";107;"Cumulative.LOC.Added";126;"haar";1;342130,787649986;9
"108";108;"Cumulative.LOC.Added";126;"haar";1;349937,953621067;9
"109";109;"Cumulative.LOC.Added";126;"haar";1;357565,514469726;9
"110";110;"Cumulative.LOC.Added";126;"haar";1;362133,424276191;9
"111";111;"Cumulative.LOC.Added";126;"haar";1;364842,350354917;9
"112";112;"Cumulative.LOC.Added";126;"haar";1;367873,010019083;9
"113";113;"Cumulative.LOC.Added";126;"haar";1;380616,488429626;9
"114";114;"Cumulative.LOC.Added";126;"haar";1;387284,505376216;9
"115";115;"Cumulative.LOC.Added";126;"haar";1;390369,612262533;9
"116";116;"Cumulative.LOC.Added";126;"haar";1;396222,335090414;9
"117";117;"Cumulative.LOC.Added";126;"haar";1;396416,78945524;9
"118";118;"Cumulative.LOC.Added";126;"haar";1;396602,051431911;9
"119";119;"Cumulative.LOC.Added";126;"haar";1;403753,02231005;9
"120";120;"Cumulative.LOC.Added";126;"haar";1;488972,117365091;9
"121";121;"Cumulative.LOC.Added";126;"haar";1;549334,28774108;9
"122";122;"Cumulative.LOC.Added";126;"haar";1;555013,062300789;9
"123";123;"Cumulative.LOC.Added";126;"haar";1;560263,330151099;9
"124";124;"Cumulative.LOC.Added";126;"haar";1;563780,479280721;9
"125";125;"Cumulative.LOC.Added";126;"haar";1;564135,446884877;9
"126";126;"Cumulative.LOC.Added";126;"haar";1;567375,410156274;9
"127";127;"Cumulative.LOC.Added";126;"haar";1;569042,060839531;9
"128";128;"Cumulative.LOC.Added";126;"haar";1;569790,886920807;9
"129";129;"Cumulative.LOC.Added";126;"haar";1;569792,301134369;9
"130";130;"Cumulative.LOC.Added";126;"haar";1;571586,938145021;9
"131";131;"Cumulative.LOC.Added";126;"haar";1;573381,575155672;9
"132";132;"Cumulative.LOC.Added";126;"haar";1;590647,001431904;9
"133";133;"Cumulative.LOC.Added";126;"haar";1;626849,454415093;9
"134";134;"Cumulative.LOC.Added";126;"haar";1;642624,299596584;9
"135";135;"Cumulative.LOC.Added";126;"haar";1;658920,282475809;9
"136";136;"Cumulative.LOC.Added";126;"haar";1;690288,953502807;9
"137";137;"Cumulative.LOC.Added";126;"haar";1;691232,941055691;9
"138";138;"Cumulative.LOC.Added";126;"haar";1;703711,25442329;9
"139";139;"Cumulative.LOC.Added";126;"haar";1;725351,550354723;9
