Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Cumulative.LOC.Added;15;3;2;17;4;3;4;0,002259728; 813897,6- 969597,4-1151866,4-1287069,0;0,9809165;-812844,4
Date;Cumulative.LOC.Added;15;3;1;126;5;17;4;0,004467432; 387463,2- 813897,6- 969597,4-1151866,4;0,33001;-1859485
Date;Cumulative.LOC.Added;15;3;2;137;6;8;4;0,004844494; 813897,6- 969597,4-1151866,4-1287069,0;4,521968;-829461,5
Date;Cumulative.LOC.Added;15;3;2;146;5;18;4;0,002594949; 813897,6- 969597,4-1151866,4-1287069,0;2,955099;-17339858
Date;Cumulative.LOC.Added;15;3;2;146;5;18;5;0,003779915; 813897,6- 969597,4-1151866,4-1287069,0-1360141,0;2,955099;-17339858
Date;Cumulative.LOC.Added;15;3;1;168;5;1;4;0,002725236; 387463,2- 813897,6- 969597,4-1151866,4;0,4820272;295777,3
Date;Cumulative.LOC.Added;15;3;2;168;6;15;4;0,003729614; 813897,6- 969597,4-1151866,4-1287069,0;2,111198;-4290001
Date;Cumulative.LOC.Added;15;3;3;168;6;34;4;0,003190362; 969597,4-1151866,4-1287069,0-1360141,0;1,201903;-6299567
Date;Cumulative.LOC.Added;15;4;8;15;5;10;4;0,001484395;728805,6-900179,5-900200,3-919990,1;4,407594;-1153811
Date;Cumulative.LOC.Added;15;4;8;15;6;14;4;0,003350016;728805,6-900179,5-900200,3-919990,1;2,986798;149786,9
Date;Cumulative.LOC.Added;15;4;10;15;6;33;4;0,00317063;900200,3-919990,1-961212,7-962317,2;0,6859307;653468,4
Date;Cumulative.LOC.Added;15;4;5;139;6;21;4;0,00435554;631546,8-662649,7-708568,0-728805,6;0,4825461;-17838,85
Date;Cumulative.LOC.Added;15;4;5;147;6;23;4;0,003898456;631546,8-662649,7-708568,0-728805,6;0,3383115;-6167,221
Date;Cumulative.LOC.Added;15;4;10;149;6;55;4;0,00434334;900200,3-919990,1-961212,7-962317,2;1,403631;-642373,7
Date;Cumulative.LOC.Added;15;4;5;168;6;38;4;0,003790462;631546,8-662649,7-708568,0-728805,6;0,4424241;-2203493
Date;Cumulative.LOC.Added;15;4;5;169;5;14;4;0,004252822;631546,8-662649,7-708568,0-728805,6;0,04465166;320821
Date;Cumulative.LOC.Added;15;4;5;378;5;10;4;0,004366843;631546,8-662649,7-708568,0-728805,6;0,3377906;-22656721
Date;Cumulative.LOC.Added;15;5;10;15;4;8;4;0,001484395;427130,2-466011,8-466312,0-470816,2;0,2268811;261778
Date;Cumulative.LOC.Added;15;5;13;15;5;23;4;0,002211975;470816,2-500478,5-501588,0-501588,0;1,956936;-829611,4
Date;Cumulative.LOC.Added;15;5;18;15;5;19;4;9,425959e-06;636518,0-636528,0-636535,5-636540,0;1,333333;-212186
Date;Cumulative.LOC.Added;15;5;19;15;5;22;4;0,00240113;636528,0-636535,5-636540,0-636540,0;0,0002680247;636357,4
Date;Cumulative.LOC.Added;15;5;9;15;6;7;4;0,001567033;378824,2-427130,2-466011,8-466312,0;0,8712259;338531,5
Date;Cumulative.LOC.Added;15;5;10;15;6;51;4;0,00362893;427130,2-466011,8-466312,0-470816,2;161,0154;-77016279
Date;Cumulative.LOC.Added;15;5;13;15;6;2;4;1,691673e-05;470816,2-500478,5-501588,0-501588,0;18,42686;-350358,4
Date;Cumulative.LOC.Added;15;5;13;15;6;3;4;0,002211975;470816,2-500478,5-501588,0-501588,0;496,435;-22451433
Date;Cumulative.LOC.Added;15;5;13;15;6;20;4;0,004018673;470816,2-500478,5-501588,0-501588,0;7,360077;-1923252
Date;Cumulative.LOC.Added;15;5;13;15;6;21;4;0,002211975;470816,2-500478,5-501588,0-501588,0;69,85638;-22533432
Date;Cumulative.LOC.Added;15;5;13;15;6;26;4;0,003096774;470816,2-500478,5-501588,0-501588,0;1,697059;-98765,31
Date;Cumulative.LOC.Added;15;5;13;15;6;27;4;0,002211975;470816,2-500478,5-501588,0-501588,0;18,90435;-6204447
Date;Cumulative.LOC.Added;15;5;13;15;6;35;4;0,002211975;470816,2-500478,5-501588,0-501588,0;2097,438;-943542155
Date;Cumulative.LOC.Added;15;5;13;15;6;39;4;0,002211975;470816,2-500478,5-501588,0-501588,0;4660,973;-2097411590
Date;Cumulative.LOC.Added;15;5;13;15;6;45;4;0,002211975;470816,2-500478,5-501588,0-501588,0;1,383762;-164566,5
Date;Cumulative.LOC.Added;15;5;13;15;6;51;4;0,002983049;470816,2-500478,5-501588,0-501588,0;122,8368;-58609871
Date;Cumulative.LOC.Added;15;5;17;15;6;3;4;2,749258e-05;529098,8-636518,0-636528,0-636535,5;1797,796;-82481828
Date;Cumulative.LOC.Added;15;5;17;15;6;8;4;0,004642216;529098,8-636518,0-636528,0-636535,5;2,394643;285577,1
Date;Cumulative.LOC.Added;15;5;17;15;6;21;4;2,749258e-05;529098,8-636518,0-636528,0-636535,5;252,9788;-82778778
Date;Cumulative.LOC.Added;15;5;17;15;6;27;4;2,749258e-05;529098,8-636518,0-636528,0-636535,5;68,46046;-23644783
Date;Cumulative.LOC.Added;15;5;17;15;6;27;5;3,456185e-05;529098,8-636518,0-636528,0-636535,5-636540,0;68,46046;-23644783
Date;Cumulative.LOC.Added;15;5;17;15;6;27;6;3,456185e-05;529098,8-636518,0-636528,0-636535,5-636540,0-636540,0;68,46046;-23644783
Date;Cumulative.LOC.Added;15;5;17;15;6;34;4;2,308095e-05;529098,8-636518,0-636528,0-636535,5;1,745965;-149304,2
Date;Cumulative.LOC.Added;15;5;17;15;6;34;5;2,308095e-05;529098,8-636518,0-636528,0-636535,5-636540,0;1,745965;-149304,2
