"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";350;"haar";1;336772,332462155;7
"2";2;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"3";3;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"4";4;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"5";5;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"6";6;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"7";7;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"8";8;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"9";9;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"10";10;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"11";11;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"12";12;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"13";13;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"14";14;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"15";15;"Cumulative.LOC.Churn";350;"haar";1;348832,745722072;7
"16";16;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"17";17;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"18";18;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"19";19;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"20";20;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"21";21;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"22";22;"Cumulative.LOC.Churn";350;"haar";1;352583,240089486;7
"23";23;"Cumulative.LOC.Churn";350;"haar";1;352903,559461363;7
"24";24;"Cumulative.LOC.Churn";350;"haar";1;354824,768585847;7
"25";25;"Cumulative.LOC.Churn";350;"haar";1;354824,768585847;7
"26";26;"Cumulative.LOC.Churn";350;"haar";1;354824,768585847;7
"27";27;"Cumulative.LOC.Churn";350;"haar";1;354824,768585847;7
"28";28;"Cumulative.LOC.Churn";350;"haar";1;362834,874203128;7
"29";29;"Cumulative.LOC.Churn";350;"haar";1;363017,307752674;7
"30";30;"Cumulative.LOC.Churn";350;"haar";1;366527,385814484;7
"31";31;"Cumulative.LOC.Churn";350;"haar";1;391451,485637748;7
"32";32;"Cumulative.LOC.Churn";350;"haar";1;416375,585461011;7
"33";33;"Cumulative.LOC.Churn";350;"haar";1;416375,585461011;7
"34";34;"Cumulative.LOC.Churn";350;"haar";1;419264,82376894;7
"35";35;"Cumulative.LOC.Churn";350;"haar";1;422154,062076868;7
"36";36;"Cumulative.LOC.Churn";350;"haar";1;422154,062076868;7
"37";37;"Cumulative.LOC.Churn";350;"haar";1;422154,062076868;7
"38";38;"Cumulative.LOC.Churn";350;"haar";1;428110,729601583;7
"39";39;"Cumulative.LOC.Churn";350;"haar";1;434067,397126299;7
"40";40;"Cumulative.LOC.Churn";350;"haar";1;438057,600692534;7
"41";41;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"42";42;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"43";43;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"44";44;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"45";45;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"46";46;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"47";47;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"48";48;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"49";49;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"50";50;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"51";51;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"52";52;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"53";53;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"54";54;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"55";55;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"56";56;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"57";57;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"58";58;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"59";59;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"60";60;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"61";61;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"62";62;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"63";63;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
"64";64;"Cumulative.LOC.Churn";350;"haar";1;440787,739974696;7
