"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Modified";140;"haar";1;369,816846560564;8
"2";2;"Cumulative.LOC.Modified";140;"haar";1;5767,16290735748;8
"3";3;"Cumulative.LOC.Modified";140;"haar";1;11498,2633688744;8
"4";4;"Cumulative.LOC.Modified";140;"haar";1;14997,0277221855;8
"5";5;"Cumulative.LOC.Modified";140;"haar";1;17205,3221998311;8
"6";6;"Cumulative.LOC.Modified";140;"haar";1;20257,9021742134;8
"7";7;"Cumulative.LOC.Modified";140;"haar";1;20730,9566108272;8
"8";8;"Cumulative.LOC.Modified";140;"haar";1;20836,315521224;8
"9";9;"Cumulative.LOC.Modified";140;"haar";1;21153,8064659768;8
"10";10;"Cumulative.LOC.Modified";140;"haar";1;21744,9477350487;8
"11";11;"Cumulative.LOC.Modified";140;"haar";1;21747,7761621735;8
"12";12;"Cumulative.LOC.Modified";140;"haar";1;21750,6045892982;8
"13";13;"Cumulative.LOC.Modified";140;"haar";1;27715,7573953879;8
"14";14;"Cumulative.LOC.Modified";140;"haar";1;38662,4774749369;8
"15";15;"Cumulative.LOC.Modified";140;"haar";1;39710,4097246553;8
"16";16;"Cumulative.LOC.Modified";140;"haar";1;40317,8144496946;8
"17";17;"Cumulative.LOC.Modified";140;"haar";1;44819,2562187281;8
"18";18;"Cumulative.LOC.Modified";140;"haar";1;46024,8732806512;8
"19";19;"Cumulative.LOC.Modified";140;"haar";1;47031,7933370608;8
"20";20;"Cumulative.LOC.Modified";140;"haar";1;47323,8284376909;8
"21";21;"Cumulative.LOC.Modified";140;"haar";1;47462,4213668034;8
"22";22;"Cumulative.LOC.Modified";140;"haar";1;47471,6137549589;8
"23";23;"Cumulative.LOC.Modified";140;"haar";1;47598,8929755724;8
"24";24;"Cumulative.LOC.Modified";140;"haar";1;47808,9036895848;8
"25";25;"Cumulative.LOC.Modified";140;"haar";1;47972,9524628201;8
"26";26;"Cumulative.LOC.Modified";140;"haar";1;48153,9717988039;8
"27";27;"Cumulative.LOC.Modified";140;"haar";1;48705,5150881294;8
"28";28;"Cumulative.LOC.Modified";140;"haar";1;50514,2942344046;8
"29";29;"Cumulative.LOC.Modified";140;"haar";1;51746,0742472315;8
"30";30;"Cumulative.LOC.Modified";140;"haar";1;52602,3805592485;8
"31";31;"Cumulative.LOC.Modified";140;"haar";1;53503,9417052613;8
"32";32;"Cumulative.LOC.Modified";140;"haar";1;54170,7433999202;8
"33";33;"Cumulative.LOC.Modified";140;"haar";1;54572,3800516342;8
"34";34;"Cumulative.LOC.Modified";140;"haar";1;54922,3979083215;8
"35";35;"Cumulative.LOC.Modified";140;"haar";1;56889,5689735825;8
"36";36;"Cumulative.LOC.Modified";140;"haar";1;56910,7821770181;8
"37";37;"Cumulative.LOC.Modified";140;"haar";1;56946,1375160774;8
"38";38;"Cumulative.LOC.Modified";140;"haar";1;57132,8137063107;8
"39";39;"Cumulative.LOC.Modified";140;"haar";1;57488,4884172475;8
"40";40;"Cumulative.LOC.Modified";140;"haar";1;58490,4587261888;8
"41";41;"Cumulative.LOC.Modified";140;"haar";1;65098,3715963771;8
"42";42;"Cumulative.LOC.Modified";140;"haar";1;65371,3148139151;8
