Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Cumulative.LOC.Modified;15;3;2;126;6;26;4;0,004519824; 97473,0-136345,8-185251,1-209161,6;3,903376;-868392,1
Date;Cumulative.LOC.Modified;15;3;3;137;5;23;4;0,003863895;136345,8-185251,1-209161,6-219171,1;77,25968;-18595495
Date;Cumulative.LOC.Modified;15;3;1;168;5;18;4;0,002112877; 37070,0- 97473,0-136345,8-185251,1;1,567932;-2850117
Date;Cumulative.LOC.Modified;15;4;8;15;5;23;4;0,0005374059;115683,0-146301,6-146380,3-149418,9;18,2064;-1847007
Date;Cumulative.LOC.Modified;15;4;10;137;6;45;4;0,003497932;146380,3-149418,9-154833,8-155121,0;16,91831;-2752578
Date;Cumulative.LOC.Modified;15;4;10;147;5;16;4;0,001074312;146380,3-149418,9-154833,8-155121,0;47,1103;-9660101
Date;Cumulative.LOC.Modified;15;4;10;147;5;25;4;0,002916629;146380,3-149418,9-154833,8-155121,0;0,904215;-49554,06
Date;Cumulative.LOC.Modified;15;4;10;147;6;24;4;0,001692267;146380,3-149418,9-154833,8-155121,0;2,13263;-158883,6
Date;Cumulative.LOC.Modified;15;4;10;163;4;8;4;0,004818669;146380,3-149418,9-154833,8-155121,0;6,129329;-562977,6
Date;Cumulative.LOC.Modified;15;4;10;163;6;3;4;0,004278022;146380,3-149418,9-154833,8-155121,0;1012,872;-7175668
Date;Cumulative.LOC.Modified;15;5;23;15;4;8;4;0,0005374059;107802,2-109484,0-109484,0-109656,2;0,05492575;101448,3
Date;Cumulative.LOC.Modified;15;5;13;15;5;17;4;0,004957144;59732,0-78259,5-78748,0-78748,0;0,9988274;-25021,01
Date;Cumulative.LOC.Modified;15;5;18;15;5;19;4;0,0005212309;103401,8-103500,0-103505,0-103508,0;19,65;-1930373
Date;Cumulative.LOC.Modified;15;5;18;15;5;23;4;0,0007817146;103401,8-103500,0-103505,0-103508,0;0,05842129;97103,8
Date;Cumulative.LOC.Modified;15;5;18;15;5;23;5;0,0008846644;103401,8-103500,0-103505,0-103508,0-103508,0;0,05842129;97103,8
Date;Cumulative.LOC.Modified;15;5;13;15;6;34;4;0,003347215;59732,0-78259,5-78748,0-78748,0;1,898959;-60472,51
Date;Cumulative.LOC.Modified;15;5;16;15;6;16;4;0,0004806259; 78748,0- 84852,5-103401,8-103500,0;2,883456;-1552,477
Date;Cumulative.LOC.Modified;15;5;16;15;6;38;4;0,003227053; 78748,0- 84852,5-103401,8-103500,0;4316,533;-315829127
Date;Cumulative.LOC.Modified;15;5;16;15;6;38;5;0,003275204; 78748,0- 84852,5-103401,8-103500,0-103505,0;4316,533;-315829127
Date;Cumulative.LOC.Modified;15;5;16;15;6;38;6;0,003304092; 78748,0- 84852,5-103401,8-103500,0-103505,0-103508,0;4316,533;-315829127
Date;Cumulative.LOC.Modified;15;5;16;15;6;38;7;0,003304092; 78748,0- 84852,5-103401,8-103500,0-103505,0-103508,0-103508,0;4316,533;-315829127
Date;Cumulative.LOC.Modified;15;5;17;15;6;3;4;0,0009975364; 84852,5-103401,8-103500,0-103505,0;718,7014;-3805662
Date;Cumulative.LOC.Modified;15;5;17;15;6;8;4;0,001655716; 84852,5-103401,8-103500,0-103505,0;3,817317;52226,66
Date;Cumulative.LOC.Modified;15;5;17;15;6;21;4;0,0009975364; 84852,5-103401,8-103500,0-103505,0;188,7237;-7363272
Date;Cumulative.LOC.Modified;15;5;17;15;6;27;4;0,0009975364; 84852,5-103401,8-103500,0-103505,0;26,85015;-1391702
Date;Cumulative.LOC.Modified;15;5;17;15;6;27;5;0,001026491; 84852,5-103401,8-103500,0-103505,0-103508,0;26,85015;-1391702
Date;Cumulative.LOC.Modified;15;5;17;15;6;27;6;0,001026491; 84852,5-103401,8-103500,0-103505,0-103508,0-103508,0;26,85015;-1391702
Date;Cumulative.LOC.Modified;15;5;17;15;6;34;4;0,001366316; 84852,5-103401,8-103500,0-103505,0;1,901189;-35493,12
Date;Cumulative.LOC.Modified;15;5;17;15;6;34;5;0,001366316; 84852,5-103401,8-103500,0-103505,0-103508,0;1,901189;-35493,12
Date;Cumulative.LOC.Modified;15;5;17;15;6;34;6;0,001366316; 84852,5-103401,8-103500,0-103505,0-103508,0-103508,0;1,901189;-35493,12
Date;Cumulative.LOC.Modified;15;5;17;15;6;39;4;0,0009975364; 84852,5-103401,8-103500,0-103505,0;4372,1;-319895893
Date;Cumulative.LOC.Modified;15;5;17;15;6;39;5;0,001026491; 84852,5-103401,8-103500,0-103505,0-103508,0;4372,1;-319895893
Date;Cumulative.LOC.Modified;15;5;17;15;6;39;6;0,001026491; 84852,5-103401,8-103500,0-103505,0-103508,0-103508,0;4372,1;-319895893
Date;Cumulative.LOC.Modified;15;5;17;15;6;45;4;0,0009975364; 84852,5-103401,8-103500,0-103505,0;7,799198;-500387,8
Date;Cumulative.LOC.Modified;15;5;17;15;6;45;5;0,001026491; 84852,5-103401,8-103500,0-103505,0-103508,0;7,799198;-500387,8
Date;Cumulative.LOC.Modified;15;5;17;15;6;45;6;0,001026491; 84852,5-103401,8-103500,0-103505,0-103508,0-103508,0;7,799198;-500387,8
Date;Cumulative.LOC.Modified;15;5;18;15;6;2;4;0,002098774;103401,8-103500,0-103505,0-103508,0;0,3473662;101619,6
Date;Cumulative.LOC.Modified;15;5;18;15;6;2;5;0,002098774;103401,8-103500,0-103505,0-103508,0-103508,0;0,3473662;101619,6
Date;Cumulative.LOC.Modified;15;5;18;15;6;3;4;0,0003863768;103401,8-103500,0-103505,0-103508,0;3,806753;82794,82
