"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Removed";137;"haar";1;951,058620695906;6
"2";2;"Cumulative.LOC.Removed";137;"haar";1;10373,9635867878;6
"3";3;"Cumulative.LOC.Removed";137;"haar";1;25221,791778143;6
"4";4;"Cumulative.LOC.Removed";137;"haar";1;31971,1260045686;6
"5";5;"Cumulative.LOC.Removed";137;"haar";1;35894,8615333727;6
"6";6;"Cumulative.LOC.Removed";137;"haar";1;37554,4411488175;6
"7";7;"Cumulative.LOC.Removed";137;"haar";1;42154,170760436;6
"8";8;"Cumulative.LOC.Removed";137;"haar";1;49228,7741062074;6
"9";9;"Cumulative.LOC.Removed";137;"haar";1;56040,3337293774;6
"10";10;"Cumulative.LOC.Removed";137;"haar";1;59425,2538909174;6
"11";11;"Cumulative.LOC.Removed";137;"haar";1;62742,9989082447;6
"12";12;"Cumulative.LOC.Removed";137;"haar";1;65086,3507810969;6
"13";13;"Cumulative.LOC.Removed";137;"haar";1;65343,7376494488;6
"14";14;"Cumulative.LOC.Removed";137;"haar";1;66600,9735063985;6
"15";15;"Cumulative.LOC.Removed";137;"haar";1;71108,7792364628;6
"16";16;"Cumulative.LOC.Removed";137;"haar";1;78505,1161676741;6
"17";17;"Cumulative.LOC.Removed";137;"haar";1;91806,5018285742;6
"18";18;"Cumulative.LOC.Removed";137;"haar";1;96239,3542398327;6
"19";19;"Cumulative.LOC.Removed";137;"haar";1;99408,6068331108;6
"20";20;"Cumulative.LOC.Removed";137;"haar";1;118740,906230751;6
"21";21;"Cumulative.LOC.Removed";137;"haar";1;123690,653699057;6
"22";22;"Cumulative.LOC.Removed";137;"haar";1;136897,287051278;6
"23";23;"Cumulative.LOC.Removed";137;"haar";1;141597,425825825;6
"24";24;"Cumulative.LOC.Removed";137;"haar";1;142327,867130791;6
"25";25;"Cumulative.LOC.Removed";137;"haar";1;145401,660308609;6
