Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Cumulative.LOC.Removed;15;3;2;168;6;8;4;0,003974276;173236,1-211995,4-240645,6-262830,8;0,8177999;21411,71
Date;Cumulative.LOC.Removed;15;4;5;137;5;15;4;0,004893223;136609,5-143882,6-155924,1-159252,6;0,7250285;-21787,12
Date;Cumulative.LOC.Removed;15;4;5;137;6;37;4;0,003885547;136609,5-143882,6-155924,1-159252,6;9,126664;-1507949
Date;Cumulative.LOC.Removed;15;4;3;140;4;6;4;0,001912406; 71079,26-108383,38-136609,49-143882,62;0,209092;-187457,8
Date;Cumulative.LOC.Removed;15;4;6;140;6;4;4;0,00227544;143882,6-155924,1-159252,6-181071,7;1,488831;-137811,4
Date;Cumulative.LOC.Removed;15;4;8;149;5;13;4;0,002914857;159252,6-181071,7-181109,8-190589,0;5,055379;-451841,6
Date;Cumulative.LOC.Removed;15;5;13;15;5;17;4;0,00153797;102548,8-110182,0-110328,0-110328,0;0,5817693;35709,71
Date;Cumulative.LOC.Removed;15;5;13;15;5;18;4;0,001323327;102548,8-110182,0-110328,0-110328,0;141,3565;-17992494
Date;Cumulative.LOC.Removed;15;5;13;15;5;23;4;0,001323327;102548,8-110182,0-110328,0-110328,0;2,763167;-288355,2
Date;Cumulative.LOC.Removed;15;5;17;15;5;18;4;0,0004216642;114889,2-128010,0-128064,0-128064,0;242,9769;-30988578
Date;Cumulative.LOC.Removed;15;5;17;15;5;18;5;0,0004216642;114889,2-128010,0-128064,0-128064,0-128064,0;242,9769;-30988578
Date;Cumulative.LOC.Removed;15;5;17;15;5;23;4;0,0004216642;114889,2-128010,0-128064,0-128064,0;4,749593;-557033,3
Date;Cumulative.LOC.Removed;15;5;17;15;5;23;5;0,0004216642;114889,2-128010,0-128064,0-128064,0-128064,0;4,749593;-557033,3
Date;Cumulative.LOC.Removed;15;5;18;15;5;23;4;9,012444e-05;128010-128064-128064-128064;0,01954751;125244,6
Date;Cumulative.LOC.Removed;15;5;18;15;5;23;5;0,0001109201;128010-128064-128064-128064-128064;0,01954751;125244,6
Date;Cumulative.LOC.Removed;15;5;13;15;6;2;4;0,003420405;102548,8-110182,0-110328,0-110328,0;27,93026;-85290,42
Date;Cumulative.LOC.Removed;15;5;13;15;6;3;4;0,001323327;102548,8-110182,0-110328,0-110328,0;407,3602;-2748398
Date;Cumulative.LOC.Removed;15;5;13;15;6;20;4;0,001134786;102548,8-110182,0-110328,0-110328,0;2,338615;-56453,04
Date;Cumulative.LOC.Removed;15;5;13;15;6;21;4;0,001323327;102548,8-110182,0-110328,0-110328,0;65,82345;-4587618
Date;Cumulative.LOC.Removed;15;5;13;15;6;26;4;0,001939098;102548,8-110182,0-110328,0-110328,0;1,743245;-25455,03
Date;Cumulative.LOC.Removed;15;5;13;15;6;27;4;0,001323327;102548,8-110182,0-110328,0-110328,0;36,96933;-2773932
Date;Cumulative.LOC.Removed;15;5;13;15;6;34;4;0,0006210111;102548,8-110182,0-110328,0-110328,0;1,10103;10562,42
Date;Cumulative.LOC.Removed;15;5;13;15;6;35;4;0,001323327;102548,8-110182,0-110328,0-110328,0;99,95413;-8941156
Date;Cumulative.LOC.Removed;15;5;13;15;6;45;4;0,001323327;102548,8-110182,0-110328,0-110328,0;1,953854;-89086,58
Date;Cumulative.LOC.Removed;15;5;13;15;6;51;4;0,001323327;102548,8-110182,0-110328,0-110328,0;1799,174;-183403326
Date;Cumulative.LOC.Removed;15;5;17;15;6;3;4;0,0004216642;114889,2-128010,0-128064,0-128064,0;700,2092;-4785587
Date;Cumulative.LOC.Removed;15;5;17;15;6;8;4;0,0009156271;114889,2-128010,0-128064,0-128064,0;1,351952;83141,81
Date;Cumulative.LOC.Removed;15;5;17;15;6;20;4;0,003218405;114889,2-128010,0-128064,0-128064,0;4,019832;-158418
Date;Cumulative.LOC.Removed;15;5;17;15;6;20;5;0,003218405;114889,2-128010,0-128064,0-128064,0-128064,0;4,019832;-158418
Date;Cumulative.LOC.Removed;15;5;17;15;6;21;4;0,0004216642;114889,2-128010,0-128064,0-128064,0;113,1436;-7947012
Date;Cumulative.LOC.Removed;15;5;17;15;6;26;4;0,004409463;114889,2-128010,0-128064,0-128064,0;2,996454;-105135,7
Date;Cumulative.LOC.Removed;15;5;17;15;6;26;5;0,004409463;114889,2-128010,0-128064,0-128064,0-128064,0;2,996454;-105135,7
Date;Cumulative.LOC.Removed;15;5;17;15;6;26;6;0,004409463;114889,2-128010,0-128064,0-128064,0-128064,0-128064,0;2,996454;-105135,7
Date;Cumulative.LOC.Removed;15;5;17;15;6;27;4;0,0004216642;114889,2-128010,0-128064,0-128064,0;63,54638;-4829477
Date;Cumulative.LOC.Removed;15;5;17;15;6;27;5;0,0004216642;114889,2-128010,0-128064,0-128064,0-128064,0;63,54638;-4829477
Date;Cumulative.LOC.Removed;15;5;17;15;6;27;6;0,0004216642;114889,2-128010,0-128064,0-128064,0-128064,0-128064,0;63,54638;-4829477
