"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Files";139;"haar";1;23,6559359524227;8
"2";2;"Files";139;"haar";1;23,6559359524227;8
"3";3;"Files";139;"haar";1;48,0832611206852;8
"4";4;"Files";139;"haar";1;48,0832611206852;8
"5";5;"Files";139;"haar";1;48,0832611206852;8
"6";6;"Files";139;"haar";1;48,0832611206852;8
"7";7;"Files";139;"haar";1;48,0832611206852;8
"8";8;"Files";139;"haar";1;48,0832611206852;8
"9";9;"Files";139;"haar";1;48,0832611206852;8
"10";10;"Files";139;"haar";1;48,0832611206852;8
"11";11;"Files";139;"haar";1;48,0832611206852;8
"12";12;"Files";139;"haar";1;48,0832611206852;8
"13";13;"Files";139;"haar";1;48,0832611206852;8
"14";14;"Files";139;"haar";1;64,4982399696587;8
"15";15;"Files";139;"haar";1;434,559580731198;8
"16";16;"Files";139;"haar";1;631,008841478018;8
"17";17;"Files";139;"haar";1;660,058926424028;8
"18";18;"Files";139;"haar";1;664,835264372186;8
"19";19;"Files";139;"haar";1;671,448396363854;8
"20";20;"Files";139;"haar";1;683,611821415021;8
"21";21;"Files";139;"haar";1;722,46061883872;8
"22";22;"Files";139;"haar";1;740,23758303334;8
"23";23;"Files";139;"haar";1;907,427396466888;8
"24";24;"Files";139;"haar";1;3299,7667508889;8
"25";25;"Files";139;"haar";1;3297,8450121996;8
"26";26;"Files";139;"haar";1;3314,64384901551;8
"27";27;"Files";139;"haar";1;3338,28815290832;8
"28";28;"Files";139;"haar";1;3449,59481743619;8
"29";29;"Files";139;"haar";1;3619,41023888206;8
"30";30;"Files";139;"haar";1;3627,98306681016;8
"31";31;"Files";139;"haar";1;3673,51569275585;8
"32";32;"Files";139;"haar";1;3704,02201887929;8
"33";33;"Files";139;"haar";1;3708,22790136181;8
"34";34;"Files";139;"haar";1;3553,05928731364;8
"35";35;"Files";139;"haar";1;3588,2911268429;8
"36";36;"Files";139;"haar";1;3754,52235068485;8
"37";37;"Files";139;"haar";1;3770,03632958367;8
"38";38;"Files";139;"haar";1;3782,94046714446;8
"39";39;"Files";139;"haar";1;3814,69015235222;8
"40";40;"Files";139;"haar";1;3647,01577919934;8
"41";41;"Files";139;"haar";1;3501,59278043578;8
"42";42;"Files";139;"haar";1;3502,31912821782;8
"43";43;"Files";139;"haar";1;3504,94881800495;8
"44";44;"Files";139;"haar";1;3538,04774269361;8
"45";45;"Files";139;"haar";1;3565,14385384308;8
"46";46;"Files";139;"haar";1;3182,72022239929;8
"47";47;"Files";139;"haar";1;3006,61244126885;8
