Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Files;15;3;2;137;6;57;4;0,004521096; 832,4142- 952,6732-1077,5690-1184,5039;1,167286;-4025,785
Date;Files;15;3;2;139;6;29;4;0,004972875; 832,4142- 952,6732-1077,5690-1184,5039;0,5455105;-3859,392
Date;Files;15;3;3;149;6;18;4;0,004668955; 952,6732-1077,5690-1184,5039-1272,0000;5,063612;-2454,624
Date;Files;15;3;3;169;6;26;4;0,002926908; 952,6732-1077,5690-1184,5039-1272,0000;2,607946;-11162,55
Date;Files;15;4;5;17;6;16;4;0,0003717988;627,5691-656,9734-690,3099-698,0709;14,5544;-1812,99
Date;Files;15;4;5;137;6;29;4;0,00310703;627,5691-656,9734-690,3099-698,0709;0,1704386;319,0175
Date;Files;15;4;4;139;5;14;4;0,001979674;549,6424-627,5691-656,9734-690,3099;0,04598437;61,07853
Date;Files;15;4;5;140;6;37;4;0,003024143;627,5691-656,9734-690,3099-698,0709;0,2908898;-913,0924
Date;Files;15;4;10;146;6;21;4;0,001679599;825,9007-849,2407-899,4398-899,4398;0,2762584;-147,1989
Date;Files;15;4;5;147;4;8;4;0,004955276;627,5691-656,9734-690,3099-698,0709;0,7097975;-2566,754
Date;Files;15;4;3;149;5;9;4;0,003941784;394,1665-549,6424-627,5691-656,9734;2,002615;-1457,398
Date;Files;15;4;10;149;5;27;4;0,004832138;825,9007-849,2407-899,4398-899,4398;0,6344859;-28,70652
Date;Files;15;4;4;168;5;19;4;0,002684716;549,6424-627,5691-656,9734-690,3099;0,1335599;-1333,394
Date;Files;15;4;8;344;4;6;4;0,0004285796;698,0709-825,8418-825,9007-849,2407;5,239067;-887,3331
Date;Files;15;4;5;344;5;7;4;0,000841868;627,5691-656,9734-690,3099-698,0709;1,454228;407,5141
Date;Files;15;5;13;15;5;17;4;0,001682067;465,1007-488,2457-488,0000-488,0000;0,2732733;328,6769
Date;Files;15;5;13;15;5;18;4;0,0005034242;465,1007-488,2457-488,0000-488,0000;277,7395;-161711,6
Date;Files;15;5;13;15;5;23;4;0,0005034242;465,1007-488,2457-488,0000-488,0000;1,218654;-286,8184
Date;Files;15;5;17;15;5;18;4;0,0001426941;499,2214-583,9167-584,0000-584,0000;1016,343;-592960,7
Date;Files;15;5;17;15;5;18;5;0,0001426941;499,2214-583,9167-584,0000-584,0000-584,0000;1016,343;-592960,7
Date;Files;15;5;17;15;5;23;4;0,0001426941;499,2214-583,9167-584,0000-584,0000;4,459471;-2252,307
Date;Files;15;5;17;15;5;23;5;0,0001426941;499,2214-583,9167-584,0000-584,0000-584,0000;4,459471;-2252,307
Date;Files;15;5;18;15;5;23;4;3,996803e-15;583,9167-584,0000-584,0000-584,0000;0,004387759;581,2094
Date;Files;15;5;18;15;5;23;5;3,996803e-15;583,9167-584,0000-584,0000-584,0000-584,0000;0,004387759;581,2094
Date;Files;15;5;13;15;6;2;4;0,0005034242;465,1007-488,2457-488,0000-488,0000;36,65974;-756,0273
Date;Files;15;5;13;15;6;21;4;0,0005034242;465,1007-488,2457-488,0000-488,0000;7,195441;-1872,561
Date;Files;15;5;13;15;6;26;4;0,0005842758;465,1007-488,2457-488,0000-488,0000;1,527777;-39,47234
Date;Files;15;5;13;15;6;34;4;0,001619293;465,1007-488,2457-488,0000-488,0000;0,4459961;304,124
Date;Files;15;5;13;15;6;35;4;0,0005034242;465,1007-488,2457-488,0000-488,0000;196,3915;-80611,69
Date;Files;15;5;13;15;6;45;4;0,0006339373;465,1007-488,2457-488,0000-488,0000;0,8617186;100,7137
Date;Files;15;5;17;15;6;2;4;0,0001426941;499,2214-583,9167-584,0000-584,0000;134,1505;-3969,302
Date;Files;15;5;17;15;6;2;5;0,0001426941;499,2214-583,9167-584,0000-584,0000-584,0000;134,1505;-3969,302
Date;Files;15;5;17;15;6;2;6;0,0001426941;499,2214-583,9167-584,0000-584,0000-584,0000-584,0000;134,1505;-3969,302
Date;Files;15;5;17;15;6;21;4;0,0001426941;499,2214-583,9167-584,0000-584,0000;26,33057;-8055,079
Date;Files;15;5;17;15;6;26;4;0,003468669;499,2214-583,9167-584,0000-584,0000;5,590658;-1347,183
Date;Files;15;5;17;15;6;26;5;0,003468669;499,2214-583,9167-584,0000-584,0000-584,0000;5,590658;-1347,183
Date;Files;15;5;17;15;6;26;6;0,003468669;499,2214-583,9167-584,0000-584,0000-584,0000-584,0000;5,590658;-1347,183
Date;Files;15;5;17;15;6;34;4;0,0001866538;499,2214-583,9167-584,0000-584,0000;1,632052;-89,84736
Date;Files;15;5;17;15;6;34;5;0,0001866538;499,2214-583,9167-584,0000-584,0000-584,0000;1,632052;-89,84736
Date;Files;15;5;17;15;6;34;6;0,0001866538;499,2214-583,9167-584,0000-584,0000-584,0000-584,0000;1,632052;-89,84736
