"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";360;"haar";1;9072,46982019869;5
"2";2;"LOC";360;"haar";1;13233,6380969122;5
"3";3;"LOC";360;"haar";1;19639,9875334856;5
"4";4;"LOC";360;"haar";1;42137,6905808319;5
"5";5;"LOC";360;"haar";1;52628,5098384009;5
"6";6;"LOC";360;"haar";1;55097,7603900558;5
"7";7;"LOC";360;"haar";1;57196,0290525487;5
"8";8;"LOC";360;"haar";1;65256,8925904103;5
"9";9;"LOC";360;"haar";1;70786,4171116618;5
"10";10;"LOC";360;"haar";1;71969,0363673206;5
"11";11;"LOC";360;"haar";1;73032,1096812902;5
"12";12;"LOC";360;"haar";1;73032,1096812902;5
"13";13;"LOC";360;"haar";1;78108,7277175893;5
"14";14;"LOC";360;"haar";1;80430,567932845;5
"15";15;"LOC";360;"haar";1;80430,567932845;5
"16";16;"LOC";360;"haar";1;80904,9355677667;5
"17";17;"LOC";360;"haar";1;81561,0374158576;5
"18";18;"LOC";360;"haar";1;96072,3374497117;5
"19";19;"LOC";360;"haar";1;107998,540010965;5
"20";20;"LOC";360;"haar";1;108266,003150949;5
"21";1;"LOC";360;"haar";2;15772,800170068;4
"22";2;"LOC";360;"haar";2;43683,4151205937;4
"23";3;"LOC";360;"haar";2;76173,9761904762;4
"24";4;"LOC";360;"haar";2;86587,2912698413;4
"25";5;"LOC";360;"haar";2;100943,349206349;4
"26";6;"LOC";360;"haar";2;103283;4
"27";7;"LOC";360;"haar";2;112104,211038961;4
"28";8;"LOC";360;"haar";2;114081,428571429;4
"29";9;"LOC";360;"haar";2;125605,763932496;4
"30";10;"LOC";360;"haar";2;152922,125;4
"31";1;"LOC";360;"haar";3;42041,8930157142;3
"32";2;"LOC";360;"haar";3;115089,595935708;3
"33";3;"LOC";360;"haar";3;144409,836420781;3
"34";4;"LOC";360;"haar";3;159937,399575523;3
"35";5;"LOC";360;"haar";3;196948,959013741;3
