Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;LOC;15;3;3;137;6;2;4;0,002811406;172861,1-226977,9-272430,7-297454,5;9,361264;-31050,37
Date;LOC;15;3;3;146;6;32;4;0,003228168;172861,1-226977,9-272430,7-297454,5;4,861306;-3557584
Date;LOC;15;4;10;15;6;38;4;0,004812791;190010,6-195264,7-210016,4-210647,8;2476,828;-235104653
Date;LOC;15;4;5;140;6;10;4;0,0006819198;112497,0-118039,1-126423,4-131022,9;0,3004268;-81420,61
Date;LOC;15;4;5;146;5;15;4;0,001314827;112497,0-118039,1-126423,4-131022,9;0,2906042;-195270,3
Date;LOC;15;4;8;146;6;44;4;0,001313793;131022,9-189972,2-190010,6-195264,7;381,4752;-312090171
Date;LOC;15;4;9;149;4;10;4;0,00264427;189972,2-190010,6-195264,7-210016,4;0,7353682;-27550,69
Date;LOC;15;4;8;149;6;8;4;0,0006074678;131022,9-189972,2-190010,6-195264,7;27,74347;-2087113
Date;LOC;15;4;8;149;6;8;5;0,0006074678;131022,9-189972,2-190010,6-195264,7-210016,4;27,74347;-2087113
Date;LOC;15;4;10;149;6;46;4;0,00409855;190010,6-195264,7-210016,4-210647,8;3,709656;-369903,5
Date;LOC;15;5;13;15;5;23;4;0,002707415;83080,49-89273,64-89516,00-89516,00;0,9218721;-47628,05
Date;LOC;15;5;18;15;5;19;4;9,917187e-05;134313,3-134348,0-134355,5-134360,0;4,627619;-487398,1
Date;LOC;15;5;13;15;6;2;4;0,001492886;83080,49-89273,64-89516,00-89516,00;5,952828;-46075,79
Date;LOC;15;5;13;15;6;3;4;0,002707415;83080,49-89273,64-89516,00-89516,00;339,0988;-7627009
Date;LOC;15;5;13;15;6;26;4;0,002676996;83080,49-89273,64-89516,00-89516,00;1,398501;1231,541
Date;LOC;15;5;13;15;6;27;4;0,002707415;83080,49-89273,64-89516,00-89516,00;18,06929;-1054465
Date;LOC;15;5;13;15;6;39;4;0,002707415;83080,49-89273,64-89516,00-89516,00;973,1598;-92367588
Date;LOC;15;5;13;15;6;45;4;0,003540599;83080,49-89273,64-89516,00-89516,00;0,651862;20822,8
Date;LOC;15;5;13;15;6;51;4;0,001246321;83080,49-89273,64-89516,00-89516,00;39,25665;-4046785
Date;LOC;15;5;17;15;6;2;4;0,004776897; 95778,42-134313,29-134348,00-134355,50;37,03954;-707854,6
Date;LOC;15;5;17;15;6;2;5;0,004776897; 95778,42-134313,29-134348,00-134355,50-134360,00;37,03954;-707854,6
Date;LOC;15;5;17;15;6;3;4;0,0003141453; 95778,42-134313,29-134348,00-134355,50;2109,932;-47877746
Date;LOC;15;5;17;15;6;27;4;0,0003141453; 95778,42-134313,29-134348,00-134355,50;112,4303;-6982229
Date;LOC;15;5;17;15;6;27;5;0,0003476268; 95778,42-134313,29-134348,00-134355,50-134360,00;112,4303;-6982229
Date;LOC;15;5;17;15;6;27;6;0,0003476268; 95778,42-134313,29-134348,00-134355,50-134360,00-134360,00;112,4303;-6982229
Date;LOC;15;5;17;15;6;34;4;0,0003835663; 95778,42-134313,29-134348,00-134355,50;1,579496;-15654,4
