"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";368;"haar";1;7,31431254459365;3
"2";2;"Relative.Date.Progress";368;"haar";1;13,0036937060206;3
"3";3;"Relative.Date.Progress";368;"haar";1;47,1399806745824;3
"4";4;"Relative.Date.Progress";368;"haar";1;74,7744207901338;3
"5";5;"Relative.Date.Progress";368;"haar";1;96,7187726374771;3
"6";6;"Relative.Date.Progress";368;"haar";1;114,600088920123;3
"7";7;"Relative.Date.Progress";368;"haar";1;138,983252055778;3
"8";1;"Relative.Date.Progress";368;"haar";2;42,528;2
"9";2;"Relative.Date.Progress";368;"haar";2;121,264;2
"10";3;"Relative.Date.Progress";368;"haar";2;179,3105;2
