"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";354;"haar";1;49,0498760905672;6
"2";2;"Relative.LOC.Churn.Progress";354;"haar";1;52,9021938344715;6
"3";3;"Relative.LOC.Churn.Progress";354;"haar";1;56,2234743857048;6
"4";4;"Relative.LOC.Churn.Progress";354;"haar";1;64,8798756009905;6
"5";5;"Relative.LOC.Churn.Progress";354;"haar";1;72,2422714067048;6
"6";6;"Relative.LOC.Churn.Progress";354;"haar";1;76,6319903043109;6
"7";7;"Relative.LOC.Churn.Progress";354;"haar";1;82,5236040051572;6
"8";8;"Relative.LOC.Churn.Progress";354;"haar";1;94,2566268253856;6
"9";9;"Relative.LOC.Churn.Progress";354;"haar";1;98,7778675842924;6
"10";10;"Relative.LOC.Churn.Progress";354;"haar";1;105,726605923013;6
"11";11;"Relative.LOC.Churn.Progress";354;"haar";1;115,175673840008;6
"12";12;"Relative.LOC.Churn.Progress";354;"haar";1;117,992080149474;6
"13";13;"Relative.LOC.Churn.Progress";354;"haar";1;123,111533245265;6
"14";14;"Relative.LOC.Churn.Progress";354;"haar";1;123,665904961715;6
"15";15;"Relative.LOC.Churn.Progress";354;"haar";1;123,971375091188;6
"16";16;"Relative.LOC.Churn.Progress";354;"haar";1;126,946880426421;6
"17";17;"Relative.LOC.Churn.Progress";354;"haar";1;128,006126384638;6
"18";18;"Relative.LOC.Churn.Progress";354;"haar";1;128,113606615379;6
"19";19;"Relative.LOC.Churn.Progress";354;"haar";1;128,258563505522;6
"20";20;"Relative.LOC.Churn.Progress";354;"haar";1;130,583530602063;6
"21";21;"Relative.LOC.Churn.Progress";354;"haar";1;134,391300618753;6
"22";22;"Relative.LOC.Churn.Progress";354;"haar";1;136,249577239711;6
"23";23;"Relative.LOC.Churn.Progress";354;"haar";1;139,273165836065;6
"24";24;"Relative.LOC.Churn.Progress";354;"haar";1;139,46125623986;6
"25";25;"Relative.LOC.Churn.Progress";354;"haar";1;139,7115720404;6
"26";26;"Relative.LOC.Churn.Progress";354;"haar";1;139,7115720404;6
"27";27;"Relative.LOC.Churn.Progress";354;"haar";1;139,7115720404;6
"28";28;"Relative.LOC.Churn.Progress";354;"haar";1;139,7115720404;6
"29";29;"Relative.LOC.Churn.Progress";354;"haar";1;140,174019875296;6
"30";30;"Relative.LOC.Churn.Progress";354;"haar";1;140,636467710192;6
"31";31;"Relative.LOC.Churn.Progress";354;"haar";1;140,854256598798;6
"32";32;"Relative.LOC.Churn.Progress";354;"haar";1;141,227608979264;6
"33";33;"Relative.LOC.Churn.Progress";354;"haar";1;141,227608979264;6
"34";34;"Relative.LOC.Churn.Progress";354;"haar";1;141,227608979264;6
"35";35;"Relative.LOC.Churn.Progress";354;"haar";1;141,227608979264;6
"36";36;"Relative.LOC.Churn.Progress";354;"haar";1;141,227608979264;6
"37";37;"Relative.LOC.Churn.Progress";354;"haar";1;141,324482608287;6
"38";1;"Relative.LOC.Churn.Progress";354;"haar";2;77,1635;5
"39";2;"Relative.LOC.Churn.Progress";354;"haar";2;96,96;5
"40";3;"Relative.LOC.Churn.Progress";354;"haar";2;112,54;5
"41";4;"Relative.LOC.Churn.Progress";354;"haar";2;136,496;5
"42";5;"Relative.LOC.Churn.Progress";354;"haar";2;156,2015;5
"43";6;"Relative.LOC.Churn.Progress";354;"haar";2;170,486;5
"44";7;"Relative.LOC.Churn.Progress";354;"haar";2;175,106;5
"45";8;"Relative.LOC.Churn.Progress";354;"haar";2;180,279;5
"46";9;"Relative.LOC.Churn.Progress";354;"haar";2;181,2825;5
"47";10;"Relative.LOC.Churn.Progress";354;"haar";2;187,3655;5
"48";11;"Relative.LOC.Churn.Progress";354;"haar";2;194,824;5
"49";12;"Relative.LOC.Churn.Progress";354;"haar";2;197,405;5
"50";13;"Relative.LOC.Churn.Progress";354;"haar";2;197,582;5
"51";14;"Relative.LOC.Churn.Progress";354;"haar";2;197,909;5
"52";15;"Relative.LOC.Churn.Progress";354;"haar";2;199,044;5
"53";16;"Relative.LOC.Churn.Progress";354;"haar";2;199,726;5
"54";17;"Relative.LOC.Churn.Progress";354;"haar";2;199,726;5
"55";18;"Relative.LOC.Churn.Progress";354;"haar";2;199,7945;5
"56";1;"Relative.LOC.Churn.Progress";354;"haar";3;123,123907613936;4
"57";2;"Relative.LOC.Churn.Progress";354;"haar";3;176,095044359573;4
"58";3;"Relative.LOC.Churn.Progress";354;"haar";3;231,00294657888;4
"59";4;"Relative.LOC.Churn.Progress";354;"haar";3;251,295143431981;4
"60";5;"Relative.LOC.Churn.Progress";354;"haar";3;260,673500670858;4
"61";6;"Relative.LOC.Churn.Progress";354;"haar";3;277,347785678018;4
"62";7;"Relative.LOC.Churn.Progress";354;"haar";3;279,654367998249;4
"63";8;"Relative.LOC.Churn.Progress";354;"haar";3;281,972971133759;4
"64";9;"Relative.LOC.Churn.Progress";354;"haar";3;282,50365477304;4
"65";1;"Relative.LOC.Churn.Progress";354;"haar";4;287,86175;3
"66";2;"Relative.LOC.Churn.Progress";354;"haar";4;362,0165;3
"67";3;"Relative.LOC.Churn.Progress";354;"haar";4;393,86;3
"68";4;"Relative.LOC.Churn.Progress";354;"haar";4;399,14525;3
