"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Team.Size";252;"haar";1;70,7106781186547;3
"2";2;"Relative.Team.Size";252;"haar";1;94,2813755627271;3
"3";3;"Relative.Team.Size";252;"haar";1;94,2813755627271;3
"4";4;"Relative.Team.Size";252;"haar";1;95,2434159846574;3
"5";5;"Relative.Team.Size";252;"haar";1;141,421356237309;3
"6";6;"Relative.Team.Size";252;"haar";1;141,421356237309;3
"7";7;"Relative.Team.Size";252;"haar";1;141,421356237309;3
"8";1;"Relative.Team.Size";252;"haar";2;133,334;2
"9";2;"Relative.Team.Size";252;"haar";2;167,347265306122;2
"10";3;"Relative.Team.Size";252;"haar";2;200;2
