"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Added";146;"haar";1;-29,6578285890513;6
"2";2;"Commit.LOC.Added";146;"haar";1;279,219724519637;6
"3";3;"Commit.LOC.Added";146;"haar";1;20,2535585182718;6
"4";4;"Commit.LOC.Added";146;"haar";1;-111,75406731488;6
"5";5;"Commit.LOC.Added";146;"haar";1;-110,237810062203;6
"6";6;"Commit.LOC.Added";146;"haar";1;-10,2312911954761;6
"7";7;"Commit.LOC.Added";146;"haar";1;-7372,13679523684;6
"8";8;"Commit.LOC.Added";146;"haar";1;-184,189361687594;6
"9";9;"Commit.LOC.Added";146;"haar";1;70,4506332170414;6
"10";10;"Commit.LOC.Added";146;"haar";1;23,571336699604;6
"11";11;"Commit.LOC.Added";146;"haar";1;3869,77802940968;6
"12";12;"Commit.LOC.Added";146;"haar";1;-140,391340132276;6
"13";13;"Commit.LOC.Added";146;"haar";1;-20,5998836258987;6
"14";14;"Commit.LOC.Added";146;"haar";1;-47,8762962266698;6
"15";15;"Commit.LOC.Added";146;"haar";1;-403,889236634114;6
"16";16;"Commit.LOC.Added";146;"haar";1;-19,8109502012395;6
"17";17;"Commit.LOC.Added";146;"haar";1;1,660628232531;6
"18";18;"Commit.LOC.Added";146;"haar";1;-38,7265211419743;6
"19";19;"Commit.LOC.Added";146;"haar";1;63,5650514285009;6
"20";20;"Commit.LOC.Added";146;"haar";1;26,4057262042265;6
"21";21;"Commit.LOC.Added";146;"haar";1;-307,253853583634;6
"22";22;"Commit.LOC.Added";146;"haar";1;41,4421284721824;6
"23";23;"Commit.LOC.Added";146;"haar";1;-62,1057683039286;6
"24";24;"Commit.LOC.Added";146;"haar";1;22,9975472508324;6
"25";25;"Commit.LOC.Added";146;"haar";1;93,5112240388434;6
"26";26;"Commit.LOC.Added";146;"haar";1;31,8534116073655;6
"27";27;"Commit.LOC.Added";146;"haar";1;59,091870249483;6
"28";28;"Commit.LOC.Added";146;"haar";1;-122,589659619468;6
"29";29;"Commit.LOC.Added";146;"haar";1;2,36331092543483;6
"30";30;"Commit.LOC.Added";146;"haar";1;-2,26490475439526;6
"31";31;"Commit.LOC.Added";146;"haar";1;-130,844328064401;6
"32";32;"Commit.LOC.Added";146;"haar";1;35,5170134046167;6
"33";33;"Commit.LOC.Added";146;"haar";1;53,2212143565653;6
"34";34;"Commit.LOC.Added";146;"haar";1;-1,85502026657424;6
"35";35;"Commit.LOC.Added";146;"haar";1;44,7161151252094;6
"36";36;"Commit.LOC.Added";146;"haar";1;22,3773185102644;6
"37";37;"Commit.LOC.Added";146;"haar";1;-7,16455759878561;6
"38";38;"Commit.LOC.Added";146;"haar";1;-98,3415288791649;6
"39";39;"Commit.LOC.Added";146;"haar";1;55,4726071549215;6
"40";40;"Commit.LOC.Added";146;"haar";1;32,2196572022799;6
"41";41;"Commit.LOC.Added";146;"haar";1;-40,8883512306305;6
"42";42;"Commit.LOC.Added";146;"haar";1;-122,087233317543;6
"43";43;"Commit.LOC.Added";146;"haar";1;-44,8844447296032;6
"44";44;"Commit.LOC.Added";146;"haar";1;-2,39406153058874;6
"45";45;"Commit.LOC.Added";146;"haar";1;-4,44467119602973;6
"46";46;"Commit.LOC.Added";146;"haar";1;0;6
