"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Churn";376;"haar";1;70,4066647785894;4
"2";2;"Commit.LOC.Churn";376;"haar";1;-1711,72770164223;4
"3";3;"Commit.LOC.Churn";376;"haar";1;809,682538547762;4
"4";4;"Commit.LOC.Churn";376;"haar";1;5403,19257118665;4
"5";5;"Commit.LOC.Churn";376;"haar";1;-1761,9071768969;4
"6";6;"Commit.LOC.Churn";376;"haar";1;1919,92300788463;4
"7";7;"Commit.LOC.Churn";376;"haar";1;-1458,89597659379;4
"8";8;"Commit.LOC.Churn";376;"haar";1;1311,02647994709;4
"9";9;"Commit.LOC.Churn";376;"haar";1;384,746901169046;4
"10";10;"Commit.LOC.Churn";376;"haar";1;2,67690424306335;4
"11";11;"Commit.LOC.Churn";376;"haar";1;-1119,40775762085;4
"12";12;"Commit.LOC.Churn";376;"haar";1;128,323044909616;4
"13";13;"Commit.LOC.Churn";376;"haar";1;5543,44779049065;4
"14";1;"Commit.LOC.Churn";376;"haar";2;380,324564685791;3
"15";2;"Commit.LOC.Churn";376;"haar";2;-1069,01509453782;3
"16";3;"Commit.LOC.Churn";376;"haar";2;-4299,66370748299;3
"17";4;"Commit.LOC.Churn";376;"haar";2;-654,978571428571;3
"18";5;"Commit.LOC.Churn";376;"haar";2;617,505102040816;3
"19";6;"Commit.LOC.Churn";376;"haar";2;6341,45238095238;3
"20";1;"Commit.LOC.Churn";376;"haar";3;1105,21298157565;2
"21";2;"Commit.LOC.Churn";376;"haar";3;-6901,59747776983;2
"22";3;"Commit.LOC.Churn";376;"haar";3;3929,64131350212;2
