"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Modified";168;"haar";1;0;8
"2";2;"Commit.LOC.Modified";168;"haar";1;0;8
"3";3;"Commit.LOC.Modified";168;"haar";1;0;8
"4";4;"Commit.LOC.Modified";168;"haar";1;0;8
"5";5;"Commit.LOC.Modified";168;"haar";1;0;8
"6";6;"Commit.LOC.Modified";168;"haar";1;0;8
"7";7;"Commit.LOC.Modified";168;"haar";1;0;8
"8";8;"Commit.LOC.Modified";168;"haar";1;0;8
"9";9;"Commit.LOC.Modified";168;"haar";1;0;8
"10";10;"Commit.LOC.Modified";168;"haar";1;0;8
"11";11;"Commit.LOC.Modified";168;"haar";1;0;8
"12";12;"Commit.LOC.Modified";168;"haar";1;-18,1827458019398;8
"13";13;"Commit.LOC.Modified";168;"haar";1;-203,949798745091;8
"14";14;"Commit.LOC.Modified";168;"haar";1;63,9931636973825;8
"15";15;"Commit.LOC.Modified";168;"haar";1;70,4076323552891;8
"16";16;"Commit.LOC.Modified";168;"haar";1;-58,5282384313551;8
"17";17;"Commit.LOC.Modified";168;"haar";1;-32,9634421413341;8
"18";18;"Commit.LOC.Modified";168;"haar";1;0;8
"19";19;"Commit.LOC.Modified";168;"haar";1;63,8416408156997;8
"20";20;"Commit.LOC.Modified";168;"haar";1;16,9705627484771;8
"21";21;"Commit.LOC.Modified";168;"haar";1;-54,4472221513642;8
"22";22;"Commit.LOC.Modified";168;"haar";1;36,2644763494244;8
"23";23;"Commit.LOC.Modified";168;"haar";1;-38,5878272018944;8
"24";24;"Commit.LOC.Modified";168;"haar";1;37,6281822845698;8
"25";25;"Commit.LOC.Modified";168;"haar";1;240,517320857881;8
"26";26;"Commit.LOC.Modified";168;"haar";1;-127,211877110608;8
"27";27;"Commit.LOC.Modified";168;"haar";1;98,6245600997808;8
"28";28;"Commit.LOC.Modified";168;"haar";1;41,5172695810959;8
"29";29;"Commit.LOC.Modified";168;"haar";1;-81,8223561087291;8
"30";30;"Commit.LOC.Modified";168;"haar";1;-49,6085914629591;8
"31";31;"Commit.LOC.Modified";168;"haar";1;0;8
"32";32;"Commit.LOC.Modified";168;"haar";1;92,8330188443481;8
"33";33;"Commit.LOC.Modified";168;"haar";1;-216,357839167341;8
"34";34;"Commit.LOC.Modified";168;"haar";1;271,857303552614;8
"35";35;"Commit.LOC.Modified";168;"haar";1;292,762410462122;8
"36";36;"Commit.LOC.Modified";168;"haar";1;-147,153971927643;8
"37";37;"Commit.LOC.Modified";168;"haar";1;-169,503596975861;8
"38";38;"Commit.LOC.Modified";168;"haar";1;612,657518270916;8
"39";39;"Commit.LOC.Modified";168;"haar";1;-186,162696023101;8
"40";40;"Commit.LOC.Modified";168;"haar";1;698,951482976863;8
"41";41;"Commit.LOC.Modified";168;"haar";1;-5,10463752513717;8
"42";42;"Commit.LOC.Modified";168;"haar";1;4,54568645048495;8
"43";43;"Commit.LOC.Modified";168;"haar";1;-14,0613234201668;8
"44";44;"Commit.LOC.Modified";168;"haar";1;-86,9741340859453;8
"45";45;"Commit.LOC.Modified";168;"haar";1;-7,28993419651844;8
"46";46;"Commit.LOC.Modified";168;"haar";1;313,151497780121;8
"47";47;"Commit.LOC.Modified";168;"haar";1;58,5770624710084;8
"48";48;"Commit.LOC.Modified";168;"haar";1;-67,0741289582668;8
"49";49;"Commit.LOC.Modified";168;"haar";1;123,12412648032;8
"50";50;"Commit.LOC.Modified";168;"haar";1;17,4116626929316;8
"51";51;"Commit.LOC.Modified";168;"haar";1;-6,41086097024742;8
"52";52;"Commit.LOC.Modified";168;"haar";1;34,7349370382149;8
"53";53;"Commit.LOC.Modified";168;"haar";1;-19,4875261719864;8
"54";54;"Commit.LOC.Modified";168;"haar";1;6,14846182117446;8
"55";55;"Commit.LOC.Modified";168;"haar";1;2,48148782819463;8
"56";56;"Commit.LOC.Modified";168;"haar";1;-39,1770828528832;8
"57";57;"Commit.LOC.Modified";168;"haar";1;80,5161727490373;8
"58";58;"Commit.LOC.Modified";168;"haar";1;-37,2569913098653;8
"59";59;"Commit.LOC.Modified";168;"haar";1;66,0190807450678;8
"60";60;"Commit.LOC.Modified";168;"haar";1;-36,0624458405139;8
"61";61;"Commit.LOC.Modified";168;"haar";1;21,429263840959;8
"62";62;"Commit.LOC.Modified";168;"haar";1;145,217846217252;8
"63";63;"Commit.LOC.Modified";168;"haar";1;-181,110638232975;8
"64";64;"Commit.LOC.Modified";168;"haar";1;115,299292460211;8
"65";65;"Commit.LOC.Modified";168;"haar";1;24,6706320826922;8
"66";66;"Commit.LOC.Modified";168;"haar";1;-45,6914443735288;8
"67";67;"Commit.LOC.Modified";168;"haar";1;-102,522065334178;8
"68";68;"Commit.LOC.Modified";168;"haar";1;-11,2935054480937;8
"69";69;"Commit.LOC.Modified";168;"haar";1;-5,92286108622446;8
"70";70;"Commit.LOC.Modified";168;"haar";1;-0,839689302659025;8
"71";71;"Commit.LOC.Modified";168;"haar";1;34,4991145215641;8
"72";72;"Commit.LOC.Modified";168;"haar";1;-155,967552878861;8
"73";73;"Commit.LOC.Modified";168;"haar";1;29,5920580238911;8
"74";74;"Commit.LOC.Modified";168;"haar";1;12,0869562205884;8
"75";75;"Commit.LOC.Modified";168;"haar";1;126,905945197115;8
"76";76;"Commit.LOC.Modified";168;"haar";1;-0,769399521433934;8
"77";77;"Commit.LOC.Modified";168;"haar";1;57,448096746216;8
"78";78;"Commit.LOC.Modified";168;"haar";1;-10,4670388673247;8
"79";79;"Commit.LOC.Modified";168;"haar";1;2,04339429012276;8
"80";80;"Commit.LOC.Modified";168;"haar";1;-17,57328710006;8
"81";81;"Commit.LOC.Modified";168;"haar";1;15,7853170962025;8
"82";82;"Commit.LOC.Modified";168;"haar";1;-11,3197003976186;8
"83";83;"Commit.LOC.Modified";168;"haar";1;-75,4813640228132;8
"84";84;"Commit.LOC.Modified";168;"haar";1;10,1701875477829;8
"85";85;"Commit.LOC.Modified";168;"haar";1;0,686706386697061;8
"86";86;"Commit.LOC.Modified";168;"haar";1;-2,913448297246;8
"87";87;"Commit.LOC.Modified";168;"haar";1;22,8067375755899;8
"88";88;"Commit.LOC.Modified";168;"haar";1;83,2984615571652;8
"89";89;"Commit.LOC.Modified";168;"haar";1;15,235768125557;8
"90";90;"Commit.LOC.Modified";168;"haar";1;-51,188722216362;8
"91";91;"Commit.LOC.Modified";168;"haar";1;-6,9649799299138;8
"92";92;"Commit.LOC.Modified";168;"haar";1;4,37058944782313;8
"93";93;"Commit.LOC.Modified";168;"haar";1;26,811344881057;8
"94";94;"Commit.LOC.Modified";168;"haar";1;1,56414760383434;8
"95";95;"Commit.LOC.Modified";168;"haar";1;12,919337222641;8
"96";96;"Commit.LOC.Modified";168;"haar";1;-13,2398857373468;8
"97";97;"Commit.LOC.Modified";168;"haar";1;-1,23557285389607;8
"98";98;"Commit.LOC.Modified";168;"haar";1;32,6808737730532;8
"99";99;"Commit.LOC.Modified";168;"haar";1;-2,7661343844988;8
