"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commit.LOC.Removed";138;"haar";1;-1,62919474493164;9
"2";2;"Commit.LOC.Removed";138;"haar";1;24,442324403015;9
"3";3;"Commit.LOC.Removed";138;"haar";1;408,467798620703;9
"4";4;"Commit.LOC.Removed";138;"haar";1;-503,262206664847;9
"5";5;"Commit.LOC.Removed";138;"haar";1;77,4594591663059;9
"6";6;"Commit.LOC.Removed";138;"haar";1;-24,9844396019247;9
"7";7;"Commit.LOC.Removed";138;"haar";1;-3,24547581813989;9
"8";8;"Commit.LOC.Removed";138;"haar";1;0;9
"9";9;"Commit.LOC.Removed";138;"haar";1;2,02030508910442;9
"10";10;"Commit.LOC.Removed";138;"haar";1;2,66680271761784;9
"11";11;"Commit.LOC.Removed";138;"haar";1;0,46130299534551;9
"12";12;"Commit.LOC.Removed";138;"haar";1;0;9
"13";13;"Commit.LOC.Removed";138;"haar";1;0;9
"14";14;"Commit.LOC.Removed";138;"haar";1;0;9
"15";15;"Commit.LOC.Removed";138;"haar";1;0;9
"16";16;"Commit.LOC.Removed";138;"haar";1;-17,8797000385741;9
"17";17;"Commit.LOC.Removed";138;"haar";1;-35,624713071208;9
"18";18;"Commit.LOC.Removed";138;"haar";1;0;9
"19";19;"Commit.LOC.Removed";138;"haar";1;0;9
"20";20;"Commit.LOC.Removed";138;"haar";1;-10,034181942552;9
"21";21;"Commit.LOC.Removed";138;"haar";1;-9,52672283866452;9
"22";22;"Commit.LOC.Removed";138;"haar";1;5,75065412862937;9
"23";23;"Commit.LOC.Removed";138;"haar";1;-55,6125885195889;9
"24";24;"Commit.LOC.Removed";138;"haar";1;0,0769640033944539;9
"25";25;"Commit.LOC.Removed";138;"haar";1;-5,37689768714505;9
"26";26;"Commit.LOC.Removed";138;"haar";1;-160,033526194552;9
"27";27;"Commit.LOC.Removed";138;"haar";1;0;9
"28";28;"Commit.LOC.Removed";138;"haar";1;106,288250737784;9
"29";29;"Commit.LOC.Removed";138;"haar";1;25,7967706065021;9
"30";30;"Commit.LOC.Removed";138;"haar";1;50,4941585270165;9
"31";31;"Commit.LOC.Removed";138;"haar";1;-3,4496709396458;9
"32";32;"Commit.LOC.Removed";138;"haar";1;18,1699184680407;9
"33";33;"Commit.LOC.Removed";138;"haar";1;4,06081322909989;9
"34";34;"Commit.LOC.Removed";138;"haar";1;0;9
"35";35;"Commit.LOC.Removed";138;"haar";1;0;9
"36";36;"Commit.LOC.Removed";138;"haar";1;0;9
"37";37;"Commit.LOC.Removed";138;"haar";1;0;9
"38";38;"Commit.LOC.Removed";138;"haar";1;0;9
"39";39;"Commit.LOC.Removed";138;"haar";1;0;9
"40";40;"Commit.LOC.Removed";138;"haar";1;0;9
"41";41;"Commit.LOC.Removed";138;"haar";1;0;9
