"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Commits";382;"haar";1;-11,3137084989848;4
"2";2;"Commits";382;"haar";1;0;4
"3";3;"Commits";382;"haar";1;0;4
"4";4;"Commits";382;"haar";1;0;4
"5";5;"Commits";382;"haar";1;0;4
"6";6;"Commits";382;"haar";1;5,65685424949238;4
"7";7;"Commits";382;"haar";1;0;4
"8";8;"Commits";382;"haar";1;-5,65685424949238;4
"9";9;"Commits";382;"haar";1;-7,07106781186547;4
"10";10;"Commits";382;"haar";1;7,07106781186547;4
"11";1;"Commits";382;"haar";2;-8;3
"12";2;"Commits";382;"haar";2;0;3
"13";3;"Commits";382;"haar";2;4;3
"14";4;"Commits";382;"haar";2;4;3
"15";5;"Commits";382;"haar";2;0;3
