"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.Developers";363;"haar";1;0;5
"2";2;"Cumulative.Developers";363;"haar";1;0;5
"3";3;"Cumulative.Developers";363;"haar";1;0;5
"4";4;"Cumulative.Developers";363;"haar";1;0;5
"5";5;"Cumulative.Developers";363;"haar";1;0;5
"6";6;"Cumulative.Developers";363;"haar";1;0;5
"7";7;"Cumulative.Developers";363;"haar";1;7,77817459305202;5
"8";8;"Cumulative.Developers";363;"haar";1;0;5
"9";9;"Cumulative.Developers";363;"haar";1;0;5
"10";10;"Cumulative.Developers";363;"haar";1;0;5
"11";11;"Cumulative.Developers";363;"haar";1;0;5
"12";12;"Cumulative.Developers";363;"haar";1;0;5
"13";13;"Cumulative.Developers";363;"haar";1;0;5
"14";14;"Cumulative.Developers";363;"haar";1;0;5
"15";15;"Cumulative.Developers";363;"haar";1;0;5
"16";16;"Cumulative.Developers";363;"haar";1;0;5
"17";17;"Cumulative.Developers";363;"haar";1;0;5
"18";18;"Cumulative.Developers";363;"haar";1;6,36396103067893;5
"19";19;"Cumulative.Developers";363;"haar";1;0;5
"20";20;"Cumulative.Developers";363;"haar";1;0;5
"21";21;"Cumulative.Developers";363;"haar";1;0;5
"22";22;"Cumulative.Developers";363;"haar";1;0;5
"23";23;"Cumulative.Developers";363;"haar";1;0;5
"24";24;"Cumulative.Developers";363;"haar";1;0;5
"25";25;"Cumulative.Developers";363;"haar";1;0;5
"26";26;"Cumulative.Developers";363;"haar";1;0;5
"27";27;"Cumulative.Developers";363;"haar";1;0;5
"28";28;"Cumulative.Developers";363;"haar";1;0;5
"29";1;"Cumulative.Developers";363;"haar";2;0;4
"30";2;"Cumulative.Developers";363;"haar";2;0;4
"31";3;"Cumulative.Developers";363;"haar";2;0;4
"32";4;"Cumulative.Developers";363;"haar";2;5,5;4
"33";5;"Cumulative.Developers";363;"haar";2;0;4
"34";6;"Cumulative.Developers";363;"haar";2;0;4
"35";7;"Cumulative.Developers";363;"haar";2;0;4
"36";8;"Cumulative.Developers";363;"haar";2;0;4
"37";9;"Cumulative.Developers";363;"haar";2;4,5;4
"38";10;"Cumulative.Developers";363;"haar";2;0;4
"39";11;"Cumulative.Developers";363;"haar";2;0;4
"40";12;"Cumulative.Developers";363;"haar";2;0;4
"41";13;"Cumulative.Developers";363;"haar";2;0;4
"42";14;"Cumulative.Developers";363;"haar";2;0;4
"43";1;"Cumulative.Developers";363;"haar";3;0;3
"44";2;"Cumulative.Developers";363;"haar";3;18,7383297014435;3
"45";3;"Cumulative.Developers";363;"haar";3;0;3
"46";4;"Cumulative.Developers";363;"haar";3;0;3
"47";5;"Cumulative.Developers";363;"haar";3;9,54594154601839;3
"48";6;"Cumulative.Developers";363;"haar";3;0;3
"49";7;"Cumulative.Developers";363;"haar";3;0;3
"50";1;"Cumulative.Developers";363;"haar";4;18,75;2
"51";2;"Cumulative.Developers";363;"haar";4;11,25;2
"52";3;"Cumulative.Developers";363;"haar";4;0;2
