"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Added";149;"haar";1;10201,4295321783;6
"2";2;"Cumulative.LOC.Added";149;"haar";1;3137,43278812472;6
"3";3;"Cumulative.LOC.Added";149;"haar";1;2959,24187926571;6
"4";4;"Cumulative.LOC.Added";149;"haar";1;7329,16178699856;6
"5";5;"Cumulative.LOC.Added";149;"haar";1;3711,60349444818;6
"6";6;"Cumulative.LOC.Added";149;"haar";1;2052,73098578455;6
"7";7;"Cumulative.LOC.Added";149;"haar";1;42758,0399515693;6
"8";8;"Cumulative.LOC.Added";149;"haar";1;4709,33116270241;6
"9";9;"Cumulative.LOC.Added";149;"haar";1;0;6
"10";10;"Cumulative.LOC.Added";149;"haar";1;0;6
"11";11;"Cumulative.LOC.Added";149;"haar";1;2392,84934753529;6
"12";12;"Cumulative.LOC.Added";149;"haar";1;0;6
"13";13;"Cumulative.LOC.Added";149;"haar";1;11962,1254173328;6
"14";14;"Cumulative.LOC.Added";149;"haar";1;2901,96622998957;6
"15";15;"Cumulative.LOC.Added";149;"haar";1;0;6
"16";16;"Cumulative.LOC.Added";149;"haar";1;6559,82960906759;6
"17";17;"Cumulative.LOC.Added";149;"haar";1;2244,35692348611;6
"18";18;"Cumulative.LOC.Added";149;"haar";1;7377,24504811928;6
"19";19;"Cumulative.LOC.Added";149;"haar";1;2595,08188695461;6
"20";20;"Cumulative.LOC.Added";149;"haar";1;3150,16071018606;6
"21";21;"Cumulative.LOC.Added";149;"haar";1;2422,54783234512;6
"22";22;"Cumulative.LOC.Added";149;"haar";1;2534,97781055374;6
"23";23;"Cumulative.LOC.Added";149;"haar";1;0;6
"24";24;"Cumulative.LOC.Added";149;"haar";1;4792,06265610125;6
"25";25;"Cumulative.LOC.Added";149;"haar";1;0;6
"26";26;"Cumulative.LOC.Added";149;"haar";1;19908,5914243073;6
"27";27;"Cumulative.LOC.Added";149;"haar";1;0;6
"28";28;"Cumulative.LOC.Added";149;"haar";1;0;6
"29";29;"Cumulative.LOC.Added";149;"haar";1;21,2132034355891;6
"30";30;"Cumulative.LOC.Added";149;"haar";1;4940,55508015043;6
"31";31;"Cumulative.LOC.Added";149;"haar";1;335,168614282389;6
"32";32;"Cumulative.LOC.Added";149;"haar";1;1805,24361236923;6
"33";33;"Cumulative.LOC.Added";149;"haar";1;8527,00067432859;6
"34";34;"Cumulative.LOC.Added";149;"haar";1;0;6
"35";35;"Cumulative.LOC.Added";149;"haar";1;4893,17892581091;6
"36";36;"Cumulative.LOC.Added";149;"haar";1;8,48528137424728;6
"37";37;"Cumulative.LOC.Added";149;"haar";1;116,672618895769;6
"38";38;"Cumulative.LOC.Added";149;"haar";1;0;6
"39";39;"Cumulative.LOC.Added";149;"haar";1;23,3345237791655;6
"40";40;"Cumulative.LOC.Added";149;"haar";1;0;6
"41";41;"Cumulative.LOC.Added";149;"haar";1;0;6
"42";42;"Cumulative.LOC.Added";149;"haar";1;14,1421356237261;6
