"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Churn";252;"haar";1;1961,51421101148;3
"2";2;"Cumulative.LOC.Churn";252;"haar";1;0;3
"3";3;"Cumulative.LOC.Churn";252;"haar";1;0;3
"4";4;"Cumulative.LOC.Churn";252;"haar";1;0;3
"5";5;"Cumulative.LOC.Churn";252;"haar";1;0;3
"6";6;"Cumulative.LOC.Churn";252;"haar";1;0;3
"7";7;"Cumulative.LOC.Churn";252;"haar";1;0;3
"8";1;"Cumulative.LOC.Churn";252;"haar";2;23,9999999999995;2
"9";2;"Cumulative.LOC.Churn";252;"haar";2;0;2
"10";3;"Cumulative.LOC.Churn";252;"haar";2;0;2
