"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Modified";147;"haar";1;16,9705627484771;6
"2";2;"Cumulative.LOC.Modified";147;"haar";1;0;6
"3";3;"Cumulative.LOC.Modified";147;"haar";1;256,679761570717;6
"4";4;"Cumulative.LOC.Modified";147;"haar";1;1033,08300731355;6
"5";5;"Cumulative.LOC.Modified";147;"haar";1;964,493649538451;6
"6";6;"Cumulative.LOC.Modified";147;"haar";1;3464,1161210329;6
"7";7;"Cumulative.LOC.Modified";147;"haar";1;933,380951166242;6
"8";8;"Cumulative.LOC.Modified";147;"haar";1;796,202235616052;6
"9";9;"Cumulative.LOC.Modified";147;"haar";1;1232,48711960815;6
"10";10;"Cumulative.LOC.Modified";147;"haar";1;994,192134348283;6
"11";11;"Cumulative.LOC.Modified";147;"haar";1;7969,09342397239;6
"12";12;"Cumulative.LOC.Modified";147;"haar";1;10224,7640559575;6
"13";13;"Cumulative.LOC.Modified";147;"haar";1;38,1837661840691;6
"14";14;"Cumulative.LOC.Modified";147;"haar";1;27,5771644662746;6
"15";15;"Cumulative.LOC.Modified";147;"haar";1;516,187950266183;6
"16";16;"Cumulative.LOC.Modified";147;"haar";1;1217,63787720324;6
"17";17;"Cumulative.LOC.Modified";147;"haar";1;328,804653251747;6
"18";18;"Cumulative.LOC.Modified";147;"haar";1;4,24264068712364;6
"19";19;"Cumulative.LOC.Modified";147;"haar";1;0;6
"20";20;"Cumulative.LOC.Modified";147;"haar";1;0;6
"21";21;"Cumulative.LOC.Modified";147;"haar";1;2,82842712474667;6
"22";22;"Cumulative.LOC.Modified";147;"haar";1;6979,14393031123;6
"23";23;"Cumulative.LOC.Modified";147;"haar";1;2469,21687990343;6
"24";24;"Cumulative.LOC.Modified";147;"haar";1;742,462120245866;6
"25";25;"Cumulative.LOC.Modified";147;"haar";1;167,584307141209;6
"26";26;"Cumulative.LOC.Modified";147;"haar";1;130,107647738318;6
"27";27;"Cumulative.LOC.Modified";147;"haar";1;12,7279220613564;6
"28";28;"Cumulative.LOC.Modified";147;"haar";1;0;6
"29";29;"Cumulative.LOC.Modified";147;"haar";1;8,48528137423273;6
"30";30;"Cumulative.LOC.Modified";147;"haar";1;0;6
"31";31;"Cumulative.LOC.Modified";147;"haar";1;0;6
"32";32;"Cumulative.LOC.Modified";147;"haar";1;0;6
"33";33;"Cumulative.LOC.Modified";147;"haar";1;11,3137084989721;6
"34";34;"Cumulative.LOC.Modified";147;"haar";1;48,7903679018782;6
"35";35;"Cumulative.LOC.Modified";147;"haar";1;0;6
"36";36;"Cumulative.LOC.Modified";147;"haar";1;0;6
"37";37;"Cumulative.LOC.Modified";147;"haar";1;0;6
"38";38;"Cumulative.LOC.Modified";147;"haar";1;0;6
"39";39;"Cumulative.LOC.Modified";147;"haar";1;0;6
"40";40;"Cumulative.LOC.Modified";147;"haar";1;0;6
"41";41;"Cumulative.LOC.Modified";147;"haar";1;0;6
"42";42;"Cumulative.LOC.Modified";147;"haar";1;0;6
"43";43;"Cumulative.LOC.Modified";147;"haar";1;0;6
"44";44;"Cumulative.LOC.Modified";147;"haar";1;695,793072687564;6
"45";45;"Cumulative.LOC.Modified";147;"haar";1;383,958982184296;6
"46";46;"Cumulative.LOC.Modified";147;"haar";1;393,151370339721;6
"47";47;"Cumulative.LOC.Modified";147;"haar";1;311,834090503267;6
"48";48;"Cumulative.LOC.Modified";147;"haar";1;38,1837661840691;6
"49";49;"Cumulative.LOC.Modified";147;"haar";1;0;6
"50";50;"Cumulative.LOC.Modified";147;"haar";1;0;6
"51";51;"Cumulative.LOC.Modified";147;"haar";1;11,3137084989867;6
"52";52;"Cumulative.LOC.Modified";147;"haar";1;1284,81302141595;6
"53";53;"Cumulative.LOC.Modified";147;"haar";1;456,083873865326;6
"54";54;"Cumulative.LOC.Modified";147;"haar";1;82,7314933988237;6
"55";55;"Cumulative.LOC.Modified";147;"haar";1;2,12132034354727;6
"56";56;"Cumulative.LOC.Modified";147;"haar";1;12,0208152801788;6
"57";57;"Cumulative.LOC.Modified";147;"haar";1;0;6
"58";58;"Cumulative.LOC.Modified";147;"haar";1;373,352380466502;6
"59";59;"Cumulative.LOC.Modified";147;"haar";1;233,345237791553;6
"60";60;"Cumulative.LOC.Modified";147;"haar";1;175,362481734264;6
"61";1;"Cumulative.LOC.Modified";147;"haar";2;12;5
"62";2;"Cumulative.LOC.Modified";147;"haar";2;1364;5
"63";3;"Cumulative.LOC.Modified";147;"haar";2;3943,5;5
"64";4;"Cumulative.LOC.Modified";147;"haar";2;3873;5
"65";5;"Cumulative.LOC.Modified";147;"haar";2;4382,5;5
"66";6;"Cumulative.LOC.Modified";147;"haar";2;21522;5
"67";7;"Cumulative.LOC.Modified";147;"haar";2;2749,5;5
"68";8;"Cumulative.LOC.Modified";147;"haar";2;3101;5
"69";9;"Cumulative.LOC.Modified";147;"haar";2;627,5;5
"70";10;"Cumulative.LOC.Modified";147;"haar";2;156;5
"71";11;"Cumulative.LOC.Modified";147;"haar";2;4961;5
"72";12;"Cumulative.LOC.Modified";147;"haar";2;2424,00000000003;5
"73";13;"Cumulative.LOC.Modified";147;"haar";2;1708,49999999997;5
"74";14;"Cumulative.LOC.Modified";147;"haar";2;9,00000000001455;5
"75";15;"Cumulative.LOC.Modified";147;"haar";2;18,0000000000146;5
"76";16;"Cumulative.LOC.Modified";147;"haar";2;0;5
"77";17;"Cumulative.LOC.Modified";147;"haar";2;48,5000000000146;5
"78";18;"Cumulative.LOC.Modified";147;"haar";2;0;5
"79";19;"Cumulative.LOC.Modified";147;"haar";2;0;5
"80";20;"Cumulative.LOC.Modified";147;"haar";2;0;5
"81";21;"Cumulative.LOC.Modified";147;"haar";2;0;5
"82";22;"Cumulative.LOC.Modified";147;"haar";2;491,999999999985;5
"83";23;"Cumulative.LOC.Modified";147;"haar";2;1081,50000000001;5
"84";24;"Cumulative.LOC.Modified";147;"haar";2;979,499999999985;5
"85";25;"Cumulative.LOC.Modified";147;"haar";2;246,000000000015;5
"86";26;"Cumulative.LOC.Modified";147;"haar";2;1100,5;5
"87";27;"Cumulative.LOC.Modified";147;"haar";2;435,000000000015;5
"88";28;"Cumulative.LOC.Modified";147;"haar";2;9,99999999998545;5
"89";29;"Cumulative.LOC.Modified";147;"haar";2;825;5
"90";30;"Cumulative.LOC.Modified";147;"haar";2;309,999999999985;5
"91";1;"Cumulative.LOC.Modified";147;"haar";3;2629,73011923277;4
"92";2;"Cumulative.LOC.Modified";147;"haar";3;10705,2431137737;4
"93";3;"Cumulative.LOC.Modified";147;"haar";3;43447,8226166168;4
"94";4;"Cumulative.LOC.Modified";147;"haar";3;5529,22147548822;4
"95";5;"Cumulative.LOC.Modified";147;"haar";3;727,966431231558;4
"96";6;"Cumulative.LOC.Modified";147;"haar";3;15062,0815460546;4
"97";7;"Cumulative.LOC.Modified";147;"haar";3;1378,50466992316;4
"98";8;"Cumulative.LOC.Modified";147;"haar";3;12,7279220613709;4
"99";9;"Cumulative.LOC.Modified";147;"haar";3;83,0850467894343;4
"100";10;"Cumulative.LOC.Modified";147;"haar";3;0;4
"101";11;"Cumulative.LOC.Modified";147;"haar";3;347,89653634376;4
"102";12;"Cumulative.LOC.Modified";147;"haar";3;2373,05035766205;4
"103";13;"Cumulative.LOC.Modified";147;"haar";3;2376,23233817739;4
"104";14;"Cumulative.LOC.Modified";147;"haar";3;471,640223051421;4
"105";15;"Cumulative.LOC.Modified";147;"haar";3;1578,96944238956;4
"106";1;"Cumulative.LOC.Modified";147;"haar";4;52322,5;3
"107";2;"Cumulative.LOC.Modified";147;"haar";4;10892;3
"108";3;"Cumulative.LOC.Modified";147;"haar";4;17772,75;3
"109";4;"Cumulative.LOC.Modified";147;"haar";4;132,25;3
"110";5;"Cumulative.LOC.Modified";147;"haar";4;245,999999999942;3
"111";6;"Cumulative.LOC.Modified";147;"haar";4;4757,75;3
"112";7;"Cumulative.LOC.Modified";147;"haar";4;2302;3
"113";1;"Cumulative.LOC.Modified";147;"haar";5;43301,2747362159;2
"114";2;"Cumulative.LOC.Modified";147;"haar";5;350,548186773201;2
"115";3;"Cumulative.LOC.Modified";147;"haar";5;16522,4338259001;2
