"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Cumulative.LOC.Removed";140;"haar";1;6,36396103067894;8
"2";2;"Cumulative.LOC.Removed";140;"haar";1;883,883476483184;8
"3";3;"Cumulative.LOC.Removed";140;"haar";1;427,092495836675;8
"4";4;"Cumulative.LOC.Removed";140;"haar";1;151,320851173921;8
"5";5;"Cumulative.LOC.Removed";140;"haar";1;2193,44523524067;8
"6";6;"Cumulative.LOC.Removed";140;"haar";1;576,999133448224;8
"7";7;"Cumulative.LOC.Removed";140;"haar";1;52,3259018078043;8
"8";8;"Cumulative.LOC.Removed";140;"haar";1;5,65685424949334;8
"9";9;"Cumulative.LOC.Removed";140;"haar";1;76,3675323681473;8
"10";10;"Cumulative.LOC.Removed";140;"haar";1;0;8
"11";11;"Cumulative.LOC.Removed";140;"haar";1;0;8
"12";12;"Cumulative.LOC.Removed";140;"haar";1;0;8
"13";13;"Cumulative.LOC.Removed";140;"haar";1;29146,2344137283;8
"14";14;"Cumulative.LOC.Removed";140;"haar";1;212,132034355964;8
"15";15;"Cumulative.LOC.Removed";140;"haar";1;1300,36937060206;8
"16";16;"Cumulative.LOC.Removed";140;"haar";1;82,0243866176388;8
"17";17;"Cumulative.LOC.Removed";140;"haar";1;2764,7875144394;8
"18";18;"Cumulative.LOC.Removed";140;"haar";1;452,548339959387;8
"19";19;"Cumulative.LOC.Removed";140;"haar";1;65,0538238691661;8
"20";20;"Cumulative.LOC.Removed";140;"haar";1;248,194480196478;8
"21";21;"Cumulative.LOC.Removed";140;"haar";1;0;8
"22";22;"Cumulative.LOC.Removed";140;"haar";1;5,65685424949334;8
"23";23;"Cumulative.LOC.Removed";140;"haar";1;7,77817459304788;8
"24";24;"Cumulative.LOC.Removed";140;"haar";1;136,471608769003;8
"25";25;"Cumulative.LOC.Removed";140;"haar";1;3,53553390593152;8
"26";26;"Cumulative.LOC.Removed";140;"haar";1;2,82842712474667;8
"27";27;"Cumulative.LOC.Removed";140;"haar";1;1801,00097168214;8
"28";28;"Cumulative.LOC.Removed";140;"haar";1;39,5979797464461;8
"29";29;"Cumulative.LOC.Removed";140;"haar";1;112,42997820866;8
"30";30;"Cumulative.LOC.Removed";140;"haar";1;544,472221513643;8
"31";31;"Cumulative.LOC.Removed";140;"haar";1;4,94974746830849;8
"32";32;"Cumulative.LOC.Removed";140;"haar";1;77,0746391493303;8
"33";33;"Cumulative.LOC.Removed";140;"haar";1;0;8
"34";34;"Cumulative.LOC.Removed";140;"haar";1;65,0538238691661;8
"35";35;"Cumulative.LOC.Removed";140;"haar";1;16,97056274848;8
"36";36;"Cumulative.LOC.Removed";140;"haar";1;2,12132034356182;8
"37";37;"Cumulative.LOC.Removed";140;"haar";1;0,707106781184848;8
"38";38;"Cumulative.LOC.Removed";140;"haar";1;12,7279220613564;8
"39";39;"Cumulative.LOC.Removed";140;"haar";1;23,3345237791582;8
"40";40;"Cumulative.LOC.Removed";140;"haar";1;26,8700576850897;8
"41";41;"Cumulative.LOC.Removed";140;"haar";1;59,3969696196727;8
"42";42;"Cumulative.LOC.Removed";140;"haar";1;74,9533188057758;8
"43";43;"Cumulative.LOC.Removed";140;"haar";1;256,679761570718;8
"44";44;"Cumulative.LOC.Removed";140;"haar";1;358,503138061576;8
"45";45;"Cumulative.LOC.Removed";140;"haar";1;5261,58155880911;8
"46";46;"Cumulative.LOC.Removed";140;"haar";1;0;8
"47";47;"Cumulative.LOC.Removed";140;"haar";1;0;8
"48";48;"Cumulative.LOC.Removed";140;"haar";1;1588,161830545;8
"49";49;"Cumulative.LOC.Removed";140;"haar";1;57,982756057303;8
"50";50;"Cumulative.LOC.Removed";140;"haar";1;111,722871427468;8
"51";51;"Cumulative.LOC.Removed";140;"haar";1;212,132034355964;8
"52";52;"Cumulative.LOC.Removed";140;"haar";1;52,3259018078097;8
"53";53;"Cumulative.LOC.Removed";140;"haar";1;12,0208152801788;8
"54";54;"Cumulative.LOC.Removed";140;"haar";1;762,968216900277;8
"55";55;"Cumulative.LOC.Removed";140;"haar";1;2,82842712473939;8
"56";56;"Cumulative.LOC.Removed";140;"haar";1;0;8
"57";57;"Cumulative.LOC.Removed";140;"haar";1;26,1629509038903;8
"58";58;"Cumulative.LOC.Removed";140;"haar";1;616,597113194672;8
"59";59;"Cumulative.LOC.Removed";140;"haar";1;311,834090503267;8
"60";60;"Cumulative.LOC.Removed";140;"haar";1;388,908729652598;8
"61";61;"Cumulative.LOC.Removed";140;"haar";1;88,388347648317;8
"62";62;"Cumulative.LOC.Removed";140;"haar";1;507,702668891943;8
"63";63;"Cumulative.LOC.Removed";140;"haar";1;47,376154339494;8
"64";64;"Cumulative.LOC.Removed";140;"haar";1;756,604255869606;8
"65";65;"Cumulative.LOC.Removed";140;"haar";1;24,041630560343;8
"66";66;"Cumulative.LOC.Removed";140;"haar";1;4,24264068712364;8
"67";67;"Cumulative.LOC.Removed";140;"haar";1;1026,01193950168;8
"68";68;"Cumulative.LOC.Removed";140;"haar";1;420,021428024804;8
"69";69;"Cumulative.LOC.Removed";140;"haar";1;1933,93704654521;8
"70";70;"Cumulative.LOC.Removed";140;"haar";1;1397,9501064058;8
"71";71;"Cumulative.LOC.Removed";140;"haar";1;765,796644025031;8
"72";72;"Cumulative.LOC.Removed";140;"haar";1;0;8
"73";73;"Cumulative.LOC.Removed";140;"haar";1;2,12132034356182;8
"74";74;"Cumulative.LOC.Removed";140;"haar";1;0;8
"75";75;"Cumulative.LOC.Removed";140;"haar";1;101,823376490865;8
"76";76;"Cumulative.LOC.Removed";140;"haar";1;261,629509039019;8
"77";77;"Cumulative.LOC.Removed";140;"haar";1;2,12132034354727;8
"78";78;"Cumulative.LOC.Removed";140;"haar";1;1081,16626843423;8
"79";79;"Cumulative.LOC.Removed";140;"haar";1;386,080302527858;8
"80";80;"Cumulative.LOC.Removed";140;"haar";1;354,967604155652;8
"81";81;"Cumulative.LOC.Removed";140;"haar";1;190,211724139168;8
"82";82;"Cumulative.LOC.Removed";140;"haar";1;1803,1222920257;8
"83";83;"Cumulative.LOC.Removed";140;"haar";1;2141,11933343286;8
"84";84;"Cumulative.LOC.Removed";140;"haar";1;2272,64119473356;8
"85";85;"Cumulative.LOC.Removed";140;"haar";1;1061,367278561;8
"86";86;"Cumulative.LOC.Removed";140;"haar";1;291,327993848856;8
"87";87;"Cumulative.LOC.Removed";140;"haar";1;447,598592491093;8
"88";88;"Cumulative.LOC.Removed";140;"haar";1;146,371103705605;8
"89";89;"Cumulative.LOC.Removed";140;"haar";1;108,187337521551;8
"90";90;"Cumulative.LOC.Removed";140;"haar";1;0;8
"91";91;"Cumulative.LOC.Removed";140;"haar";1;0;8
"92";92;"Cumulative.LOC.Removed";140;"haar";1;323,147799002269;8
"93";93;"Cumulative.LOC.Removed";140;"haar";1;680,236723501468;8
"94";94;"Cumulative.LOC.Removed";140;"haar";1;427,799602617859;8
"95";95;"Cumulative.LOC.Removed";140;"haar";1;1318,04704013173;8
"96";96;"Cumulative.LOC.Removed";140;"haar";1;499,217387517681;8
"97";97;"Cumulative.LOC.Removed";140;"haar";1;22,6274169979442;8
"98";98;"Cumulative.LOC.Removed";140;"haar";1;537,401153701765;8
"99";99;"Cumulative.LOC.Removed";140;"haar";1;846,406817080308;8
"100";100;"Cumulative.LOC.Removed";140;"haar";1;24,7487373415497;8
"101";101;"Cumulative.LOC.Removed";140;"haar";1;279,307178568677;8
"102";102;"Cumulative.LOC.Removed";140;"haar";1;1847,67001924047;8
"103";103;"Cumulative.LOC.Removed";140;"haar";1;230,516810666828;8
"104";104;"Cumulative.LOC.Removed";140;"haar";1;2,82842712473939;8
"105";105;"Cumulative.LOC.Removed";140;"haar";1;11908,3853019626;8
"106";106;"Cumulative.LOC.Removed";140;"haar";1;65,0538238691806;8
"107";107;"Cumulative.LOC.Removed";140;"haar";1;24,0416305603576;8
"108";108;"Cumulative.LOC.Removed";140;"haar";1;4,24264068709454;8
"109";109;"Cumulative.LOC.Removed";140;"haar";1;10,6066017177945;8
"110";110;"Cumulative.LOC.Removed";140;"haar";1;0,707106781192124;8
"111";111;"Cumulative.LOC.Removed";140;"haar";1;7,07106781186303;8
"112";112;"Cumulative.LOC.Removed";140;"haar";1;0,707106781192124;8
"113";113;"Cumulative.LOC.Removed";140;"haar";1;19,0918830920127;8
"114";114;"Cumulative.LOC.Removed";140;"haar";1;0;8
"115";115;"Cumulative.LOC.Removed";140;"haar";1;0,707106781192124;8
"116";116;"Cumulative.LOC.Removed";140;"haar";1;0;8
"117";117;"Cumulative.LOC.Removed";140;"haar";1;30,4055915910285;8
"118";118;"Cumulative.LOC.Removed";140;"haar";1;1,41421356238425;8
"119";119;"Cumulative.LOC.Removed";140;"haar";1;16352,5514217201;8
"120";120;"Cumulative.LOC.Removed";140;"haar";1;0;8
"121";121;"Cumulative.LOC.Removed";140;"haar";1;26,1629509039049;8
"122";122;"Cumulative.LOC.Removed";140;"haar";1;35,3553390593443;8
"123";123;"Cumulative.LOC.Removed";140;"haar";1;1863,93347520774;8
"124";124;"Cumulative.LOC.Removed";140;"haar";1;55,8614357137412;8
"125";125;"Cumulative.LOC.Removed";140;"haar";1;5,65685424947878;8
"126";126;"Cumulative.LOC.Removed";140;"haar";1;9,1923881554103;8
"127";127;"Cumulative.LOC.Removed";140;"haar";1;21,2132034355891;8
"128";128;"Cumulative.LOC.Removed";140;"haar";1;8,48528137424728;8
"129";129;"Cumulative.LOC.Removed";140;"haar";1;7,07106781186303;8
"130";130;"Cumulative.LOC.Removed";140;"haar";1;162,634559672908;8
"131";131;"Cumulative.LOC.Removed";140;"haar";1;0,707106781192124;8
"132";132;"Cumulative.LOC.Removed";140;"haar";1;1,41421356238425;8
"133";133;"Cumulative.LOC.Removed";140;"haar";1;8,48528137421818;8
"134";134;"Cumulative.LOC.Removed";140;"haar";1;0;8
"135";135;"Cumulative.LOC.Removed";140;"haar";1;0;8
"136";136;"Cumulative.LOC.Removed";140;"haar";1;0;8
"137";137;"Cumulative.LOC.Removed";140;"haar";1;2,12132034354727;8
"138";138;"Cumulative.LOC.Removed";140;"haar";1;0;8
"139";139;"Cumulative.LOC.Removed";140;"haar";1;7,77817459305516;8
"140";140;"Cumulative.LOC.Removed";140;"haar";1;0;8
"141";141;"Cumulative.LOC.Removed";140;"haar";1;70,7106781186594;8
"142";142;"Cumulative.LOC.Removed";140;"haar";1;0;8
"143";143;"Cumulative.LOC.Removed";140;"haar";1;21,2132034355891;8
"144";144;"Cumulative.LOC.Removed";140;"haar";1;9,89949493660242;8
"145";145;"Cumulative.LOC.Removed";140;"haar";1;0;8
"146";146;"Cumulative.LOC.Removed";140;"haar";1;1177,3327906756;8
"147";147;"Cumulative.LOC.Removed";140;"haar";1;1226,83026535867;8
"148";148;"Cumulative.LOC.Removed";140;"haar";1;2766,20172800176;8
"149";149;"Cumulative.LOC.Removed";140;"haar";1;2,82842712473939;8
"150";150;"Cumulative.LOC.Removed";140;"haar";1;6,36396103067091;8
"151";151;"Cumulative.LOC.Removed";140;"haar";1;45,2548339959467;8
"152";152;"Cumulative.LOC.Removed";140;"haar";1;23,3345237791655;8
"153";153;"Cumulative.LOC.Removed";140;"haar";1;0;8
"154";154;"Cumulative.LOC.Removed";140;"haar";1;12,7279220613709;8
"155";155;"Cumulative.LOC.Removed";140;"haar";1;1381,6866504385;8
"156";156;"Cumulative.LOC.Removed";140;"haar";1;1110,15764646287;8
"157";157;"Cumulative.LOC.Removed";140;"haar";1;46,6690475583309;8
"158";158;"Cumulative.LOC.Removed";140;"haar";1;4,94974746828666;8
"159";159;"Cumulative.LOC.Removed";140;"haar";1;216,374675043102;8
"160";160;"Cumulative.LOC.Removed";140;"haar";1;215,66756826191;8
"161";161;"Cumulative.LOC.Removed";140;"haar";1;74,2462120245909;8
"162";162;"Cumulative.LOC.Removed";140;"haar";1;420,728534805996;8
"163";163;"Cumulative.LOC.Removed";140;"haar";1;46,6690475583309;8
"164";164;"Cumulative.LOC.Removed";140;"haar";1;31,1126983721915;8
"165";165;"Cumulative.LOC.Removed";140;"haar";1;4,24264068712364;8
"166";166;"Cumulative.LOC.Removed";140;"haar";1;36,0624458405073;8
"167";167;"Cumulative.LOC.Removed";140;"haar";1;23,3345237791364;8
"168";168;"Cumulative.LOC.Removed";140;"haar";1;0;8
"169";169;"Cumulative.LOC.Removed";140;"haar";1;575,584919885849;8
"170";170;"Cumulative.LOC.Removed";140;"haar";1;0;8
"171";171;"Cumulative.LOC.Removed";140;"haar";1;28,2842712474812;8
"172";172;"Cumulative.LOC.Removed";140;"haar";1;10177,387901618;8
"173";173;"Cumulative.LOC.Removed";140;"haar";1;224,85995641732;8
"174";174;"Cumulative.LOC.Removed";140;"haar";1;10,6066017177945;8
"175";175;"Cumulative.LOC.Removed";140;"haar";1;113,137084989867;8
"176";176;"Cumulative.LOC.Removed";140;"haar";1;672,458548908413;8
"177";177;"Cumulative.LOC.Removed";140;"haar";1;525,380338421615;8
"178";178;"Cumulative.LOC.Removed";140;"haar";1;3896,15836433787;8
"179";179;"Cumulative.LOC.Removed";140;"haar";1;28,2842712474521;8
"180";180;"Cumulative.LOC.Removed";140;"haar";1;3110,56273043962;8
"181";181;"Cumulative.LOC.Removed";140;"haar";1;292,74220741124;8
"182";182;"Cumulative.LOC.Removed";140;"haar";1;290,620887067664;8
"183";183;"Cumulative.LOC.Removed";140;"haar";1;243,24473272817;8
"184";184;"Cumulative.LOC.Removed";140;"haar";1;1047,93224971846;8
"185";185;"Cumulative.LOC.Removed";140;"haar";1;739,633693121141;8
"186";186;"Cumulative.LOC.Removed";140;"haar";1;513,359523141437;8
"187";187;"Cumulative.LOC.Removed";140;"haar";1;346,482322781405;8
"188";1;"Cumulative.LOC.Removed";140;"haar";2;1844;7
"189";2;"Cumulative.LOC.Removed";140;"haar";2;2235;7
"190";3;"Cumulative.LOC.Removed";140;"haar";2;595;7
"191";4;"Cumulative.LOC.Removed";140;"haar";2;58;7
"192";5;"Cumulative.LOC.Removed";140;"haar";2;14;7
"193";6;"Cumulative.LOC.Removed";140;"haar";2;20609,5;7
"194";7;"Cumulative.LOC.Removed";140;"haar";2;1221,49999999999;7
"195";8;"Cumulative.LOC.Removed";140;"haar";2;3463,99999999999;7
"196";9;"Cumulative.LOC.Removed";140;"haar";2;538;7
"197";10;"Cumulative.LOC.Removed";140;"haar";2;175,5;7
"198";11;"Cumulative.LOC.Removed";140;"haar";2;137,500000000015;7
"199";12;"Cumulative.LOC.Removed";140;"haar";2;101;7
"200";13;"Cumulative.LOC.Removed";140;"haar";2;1289,5;7
"201";14;"Cumulative.LOC.Removed";140;"haar";2;2019,5;7
"202";15;"Cumulative.LOC.Removed";140;"haar";2;496,5;7
"203";16;"Cumulative.LOC.Removed";140;"haar";2;54,5;7
"204";17;"Cumulative.LOC.Removed";140;"haar";2;999;7
"205";18;"Cumulative.LOC.Removed";140;"haar";2;3;7
"206";19;"Cumulative.LOC.Removed";140;"haar";2;141,5;7
"207";20;"Cumulative.LOC.Removed";140;"haar";2;8568;7
"208";21;"Cumulative.LOC.Removed";140;"haar";2;863,5;7
"209";22;"Cumulative.LOC.Removed";140;"haar";2;3973,99999999999;7
"210";23;"Cumulative.LOC.Removed";140;"haar";2;174;7
"211";24;"Cumulative.LOC.Removed";140;"haar";2;1487,00000000001;7
"212";25;"Cumulative.LOC.Removed";140;"haar";2;287;7
"213";26;"Cumulative.LOC.Removed";140;"haar";2;62,5;7
"214";27;"Cumulative.LOC.Removed";140;"haar";2;543,5;7
"215";28;"Cumulative.LOC.Removed";140;"haar";2;18,4999999999854;7
"216";29;"Cumulative.LOC.Removed";140;"haar";2;729,499999999985;7
"217";30;"Cumulative.LOC.Removed";140;"haar";2;368,499999999985;7
"218";31;"Cumulative.LOC.Removed";140;"haar";2;1049,49999999999;7
"219";32;"Cumulative.LOC.Removed";140;"haar";2;1892;7
"220";33;"Cumulative.LOC.Removed";140;"haar";2;959,499999999985;7
"221";34;"Cumulative.LOC.Removed";140;"haar";2;2374,5;7
"222";35;"Cumulative.LOC.Removed";140;"haar";2;1531,00000000003;7
"223";36;"Cumulative.LOC.Removed";140;"haar";2;61,5;7
"224";37;"Cumulative.LOC.Removed";140;"haar";2;72;7
"225";38;"Cumulative.LOC.Removed";140;"haar";2;490,5;7
"226";39;"Cumulative.LOC.Removed";140;"haar";2;2286,5;7
"227";40;"Cumulative.LOC.Removed";140;"haar";2;2870,5;7
"228";41;"Cumulative.LOC.Removed";140;"haar";2;2835,00000000003;7
"229";42;"Cumulative.LOC.Removed";140;"haar";2;5275,5;7
