"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"LOC";344;"haar";1;0;5
"2";2;"LOC";344;"haar";1;0;5
"3";3;"LOC";344;"haar";1;0;5
"4";4;"LOC";344;"haar";1;0;5
"5";5;"LOC";344;"haar";1;6632,95342937602;5
"6";6;"LOC";344;"haar";1;2472,96791301886;5
"7";7;"LOC";344;"haar";1;0;5
"8";8;"LOC";344;"haar";1;5829,16101977937;5
"9";9;"LOC";344;"haar";1;2237,89194720097;5
"10";10;"LOC";344;"haar";1;0;5
"11";11;"LOC";344;"haar";1;0;5
"12";12;"LOC";344;"haar";1;2063,51268061007;5
"13";13;"LOC";344;"haar";1;4076,03286077114;5
"14";14;"LOC";344;"haar";1;0;5
"15";15;"LOC";344;"haar";1;0;5
"16";16;"LOC";344;"haar";1;0;5
"17";17;"LOC";344;"haar";1;0;5
"18";18;"LOC";344;"haar";1;0;5
"19";19;"LOC";344;"haar";1;6342,39427385274;5
"20";20;"LOC";344;"haar";1;5018,37049783241;5
"21";21;"LOC";344;"haar";1;6764,92547179051;5
"22";1;"LOC";344;"haar";2;0;4
"23";2;"LOC";344;"haar";2;14592,7222222222;4
"24";3;"LOC";344;"haar";2;2688,10952380952;4
"25";4;"LOC";344;"haar";2;8584,63690476192;4
"26";5;"LOC";344;"haar";2;0;4
"27";6;"LOC";344;"haar";2;13201,2952380952;4
"28";7;"LOC";344;"haar";2;0;4
"29";8;"LOC";344;"haar";2;0;4
"30";9;"LOC";344;"haar";2;5112,17857142857;4
"31";10;"LOC";344;"haar";2;26571,8515151515;4
"32";1;"LOC";344;"haar";3;10318,612839305;3
"33";2;"LOC";344;"haar";3;19825,5543597637;3
"34";3;"LOC";344;"haar";3;11398,2380639129;3
"35";4;"LOC";344;"haar";3;0;3
"36";5;"LOC";344;"haar";3;54401,0626186272;3
