"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Date.Progress";361;"haar";1;1,30107647738325;5
"2";2;"Relative.Date.Progress";361;"haar";1;1,08470180234016;5
"3";3;"Relative.Date.Progress";361;"haar";1;1,51815825920752;5
"4";4;"Relative.Date.Progress";361;"haar";1;1,30178358416443;5
"5";5;"Relative.Date.Progress";361;"haar";1;1,95232182285606;5
"6";6;"Relative.Date.Progress";361;"haar";1;1,51815825920752;5
"7";7;"Relative.Date.Progress";361;"haar";1;1,51815825920752;5
"8";8;"Relative.Date.Progress";361;"haar";1;1,30178358416444;5
"9";9;"Relative.Date.Progress";361;"haar";1;1,51815825920752;5
"10";10;"Relative.Date.Progress";361;"haar";1;0,217081781824273;5
"11";11;"Relative.Date.Progress";361;"haar";1;1,73524004103178;5
"12";12;"Relative.Date.Progress";361;"haar";1;2,60286006154768;5
"13";13;"Relative.Date.Progress";361;"haar";1;1,73524004103179;5
"14";14;"Relative.Date.Progress";361;"haar";1;0;5
"15";15;"Relative.Date.Progress";361;"haar";1;0;5
"16";16;"Relative.Date.Progress";361;"haar";1;0;5
"17";17;"Relative.Date.Progress";361;"haar";1;2,3864853865046;5
"18";18;"Relative.Date.Progress";361;"haar";1;0;5
"19";19;"Relative.Date.Progress";361;"haar";1;0;5
"20";20;"Relative.Date.Progress";361;"haar";1;0;5
"21";21;"Relative.Date.Progress";361;"haar";1;0;5
"22";22;"Relative.Date.Progress";361;"haar";1;1,51815825920752;5
"23";23;"Relative.Date.Progress";361;"haar";1;0;5
"24";24;"Relative.Date.Progress";361;"haar";1;4,33810010257946;5
"25";1;"Relative.Date.Progress";361;"haar";2;4,141;4
"26";2;"Relative.Date.Progress";361;"haar";2;4,141;4
"27";3;"Relative.Date.Progress";361;"haar";2;4,601;4
"28";4;"Relative.Date.Progress";361;"haar";2;4,141;4
"29";5;"Relative.Date.Progress";361;"haar";2;3,374;4
"30";6;"Relative.Date.Progress";361;"haar";2;3,68049999999999;4
"31";7;"Relative.Date.Progress";361;"haar";2;3,06700000000001;4
"32";8;"Relative.Date.Progress";361;"haar";2;0;4
"33";9;"Relative.Date.Progress";361;"haar";2;2,3005;4
"34";10;"Relative.Date.Progress";361;"haar";2;0;4
"35";11;"Relative.Date.Progress";361;"haar";2;5,0615;4
"36";12;"Relative.Date.Progress";361;"haar";2;3,0675;4
"37";1;"Relative.Date.Progress";361;"haar";3;12,3637620690468;3
"38";2;"Relative.Date.Progress";361;"haar";3;12,2555747315252;3
"39";3;"Relative.Date.Progress";361;"haar";3;12,1463267338319;3
"40";4;"Relative.Date.Progress";361;"haar";3;2,16869649789915;3
"41";5;"Relative.Date.Progress";361;"haar";3;1,62669915011965;3
"42";6;"Relative.Date.Progress";361;"haar";3;10,302545801888;3
"43";1;"Relative.Date.Progress";361;"haar";4;34,4325;2
"44";2;"Relative.Date.Progress";361;"haar";4;26,68675;2
"45";3;"Relative.Date.Progress";361;"haar";4;41,10475;2
