Time col;Variable;pid0;pid0 revlevel;pid0 startseq;pid;pid revlevel;pid startseq;length;Max. deviation;Seq;a0;b0
Date;Relative.Date.Progress;15;4;2;121;6;11;4;0,004229266;15,733126-11,316007- 9,599682-12,604178;10,92089;-12,82757
Date;Relative.Date.Progress;17;5;1;126;5;4;4;0,001162162;5,53775-5,37975-5,34125-5,32675;2,8739;-14,96415
Date;Relative.Date.Progress;121;3;1;126;4;3;4;0,001501489;48,64062-48,02887-48,42275-48,30075;8,739286;-126,097
Date;Relative.Date.Progress;121;3;1;126;5;7;4;0,002398594;48,64062-48,02887-48,42275-48,30075;8,123429;-8,703039
Date;Relative.Date.Progress;121;5;6;378;6;7;4;0,004035838;6,42950-5,65550-5,89975-5,99500;0,5308642;5,292389
Date;Relative.Date.Progress;126;3;1;126;4;2;4;0,004206706;63,79137-56,46071-56,42438-56,45054;0,236175;51,73851
Date;Relative.Date.Progress;126;3;2;126;6;13;4;0,003444498;56,46071-56,42438-56,45054-56,35959;1,297415;53,2282
Date;Relative.Date.Progress;126;4;2;126;3;1;4;0,004206706;51,03363-19,99450-19,92450-19,96125;4,234149;-219,0686
Date;Relative.Date.Progress;126;4;4;126;4;6;4;0,002288045;19,92450-19,96125-19,95787-19,99188;1,080882;-1,647615
Date;Relative.Date.Progress;126;4;4;126;4;6;5;0,002288045;19,92450-19,96125-19,95787-19,99188-20,03100;1,080882;-1,647615
Date;Relative.Date.Progress;126;4;4;126;4;7;4;0,002071667;19,92450-19,96125-19,95787-19,99188;0,9392971;1,146189
Date;Relative.Date.Progress;126;4;6;126;4;7;4;0,004394541;19,95787-19,99188-20,03100-20,06062;0,8690096;2,584744
Date;Relative.Date.Progress;126;4;3;126;5;7;4;0,00231907;19,99450-19,92450-19,96125-19,95787;0,92953;13,4329
Date;Relative.Date.Progress;126;4;7;126;5;13;4;0,004209785;19,99188-20,03100-20,06062-20,02213;0,3184524;17,78787
Date;Relative.Date.Progress;126;4;7;126;6;28;4;0,002338896;19,99188-20,03100-20,06062-20,02213;0,8792135;17,82066
Date;Relative.Date.Progress;126;4;7;126;6;35;4;0,004852848;19,99188-20,03100-20,06062-20,02213;1,778409;15,59965
Date;Relative.Date.Progress;126;5;7;126;4;3;4;0,00231907;7,059047-6,983740-7,039602-7,031470;1,075812;-14,45129
Date;Relative.Date.Progress;126;5;13;126;4;7;4;0,004209785;6,920984-7,043844-7,106953-7,023868;3,140187;-55,85723
Date;Relative.Date.Progress;126;5;13;126;6;28;4;0,001924551;6,920984-7,043844-7,106953-7,023868;2,760894;0,1029555
Date;Relative.Date.Progress;126;6;13;126;3;2;4;0,003444498;2,49150-2,46350-2,49225-2,41375;0,7707636;-41,02636
Date;Relative.Date.Progress;126;6;28;126;4;7;4;0,002338896;2,46950-2,51400-2,54175-2,50275;1,13738;-20,26886
Date;Relative.Date.Progress;126;6;35;126;4;7;4;0,004852848;2,46975-2,49175-2,49700-2,47475;0,5623003;-8,771688
Date;Relative.Date.Progress;126;6;28;126;5;13;4;0,001924551;2,46950-2,51400-2,54175-2,50275;0,3622015;-0,03729065
Date;Relative.Date.Progress;126;6;12;126;6;22;4;0,001618513;2,50275-2,49150-2,46350-2,49225;0,3383459;1,650457
