"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"2";2;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"3";3;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"4";4;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"5";5;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"6";6;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"7";7;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"8";8;"Relative.LOC.Churn.Progress";324;"haar";1;0,0296984848098418;4
"9";9;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"10";10;"Relative.LOC.Churn.Progress";324;"haar";1;0;4
"11";11;"Relative.LOC.Churn.Progress";324;"haar";1;2,01313300603809;4
"12";1;"Relative.LOC.Churn.Progress";324;"haar";2;0;3
"13";2;"Relative.LOC.Churn.Progress";324;"haar";2;0,100000000000009;3
"14";3;"Relative.LOC.Churn.Progress";324;"haar";2;0,0429999999999922;3
"15";4;"Relative.LOC.Churn.Progress";324;"haar";2;0,0210000000000008;3
"16";5;"Relative.LOC.Churn.Progress";324;"haar";2;1,42349999999999;3
