"";"seq";"variable";"pid";"coefficient";"level";"value";"revlevel"
"1";1;"Relative.Team.Size";358;"haar";1;0;4
"2";2;"Relative.Team.Size";358;"haar";1;0;4
"3";3;"Relative.Team.Size";358;"haar";1;0;4
"4";4;"Relative.Team.Size";358;"haar";1;0;4
"5";5;"Relative.Team.Size";358;"haar";1;0;4
"6";6;"Relative.Team.Size";358;"haar";1;0;4
"7";7;"Relative.Team.Size";358;"haar";1;0;4
"8";8;"Relative.Team.Size";358;"haar";1;0;4
"9";9;"Relative.Team.Size";358;"haar";1;0;4
"10";10;"Relative.Team.Size";358;"haar";1;0;4
"11";11;"Relative.Team.Size";358;"haar";1;0;4
"12";12;"Relative.Team.Size";358;"haar";1;0;4
"13";13;"Relative.Team.Size";358;"haar";1;0;4
"14";14;"Relative.Team.Size";358;"haar";1;0;4
"15";15;"Relative.Team.Size";358;"haar";1;13,5182906660291;4
"16";1;"Relative.Team.Size";358;"haar";2;0;3
"17";2;"Relative.Team.Size";358;"haar";2;0;3
"18";3;"Relative.Team.Size";358;"haar";2;0;3
"19";4;"Relative.Team.Size";358;"haar";2;0;3
"20";5;"Relative.Team.Size";358;"haar";2;0;3
"21";6;"Relative.Team.Size";358;"haar";2;0;3
"22";7;"Relative.Team.Size";358;"haar";2;9,558875;3
"23";1;"Relative.Team.Size";358;"haar";3;0;2
"24";2;"Relative.Team.Size";358;"haar";3;0;2
"25";3;"Relative.Team.Size";358;"haar";3;6,75914533301455;2
